"line","word_count","font_size","is_bold","color","title_case","label"
"Sample Format For Reviewing A Journal Article","7","9.859","True","#000000","True","heading"
"R eading and summarizing a research article in the behavioral or medical sciences can be overwhelming.","16","10.035","False","#000000","False","paragraph"
"Below is a simple model to guide students through this process.","11","10.035","False","#000000","False","paragraph"
"Authors’ last names (year) conducted a study about ________________________. The","10","9.859","True","#000000","False","paragraph"
"participants were/the setting was ___________________________. (New paragraph) The findings","9","9.859","False","#000000","False","paragraph"
"were _____________________________. Discussion. (Possibly a new paragraph) The authors","9","10.046","False","#000000","False","paragraph"
"suggested _____________________. Discussion.","3","9.859","False","#000000","False","paragraph"
"Students should fill in the blanks with their own words.","10","10.035","False","#000000","False","paragraph"
"comprehension and may also be considered plagiarism.","7","10.035","False","#000000","False","paragraph"
"To copy directly from the article fails to show","9","10.035","False","#000000","False","paragraph"
"To “fill in the blanks”, a student should read the journal article and pay specific attention to:","17","9.859","True","#000000","False","heading"
"Sentence #1- Authors’ last names (year) conducted a study about _________________.","11","9.859","True","#000000","False","heading"
"Read the Abstract; this will give an overview of the study’s (article’s) purpose.","13","10.035","False","#000000","False","paragraph"
"Read the entire article without trying to summarize it.","9","10.035","False","#000000","False","paragraph"
"Go back and read the Literature Review or Background section of the article. Toward the end of","17","10.035","False","#000000","False","paragraph"
"the section, the authors should identify gaps in the existing literature and tell the reader how the","17","10.035","False","#000000","False","paragraph"
"current study will fill that gap. The authors will also state their hypothesis (purpose) at the end of","18","10.035","False","#000000","False","paragraph"
"this section.","2","10.035","False","#000000","False","paragraph"
"Section #2 - The participants were/the setting was ___________________________.","9","9.859","True","#000000","False","heading"
"Read the Methods section of the paper. In this section, the authors will describe how the data was","18","10.035","False","#000000","False","paragraph"
"collected, who was included in the sample, and any instruments used.","11","10.035","False","#000000","False","paragraph"
"A reader might want to consider sample size, demographic characteristics, or any interesting","13","10.035","False","#000000","False","paragraph"
"protocol.","1","10.035","False","#000000","False","paragraph"
"It is not necessary to report every fact (i.e., 35% of the participants were male, 71% identified","17","10.035","False","#000000","False","paragraph"
"their race as Asian).","4","10.035","False","#000000","False","paragraph"
"Section #3 - The findings were _____________________________.","7","9.859","True","#000000","False","heading"
"Read the Findings section of the article.","7","10.035","False","#000000","False","paragraph"
"Some statistics may be confusing. Pay attention to key words such as “increased”, “decreased”,","14","10.035","False","#000000","False","paragraph"
"“improved”, and “reduced”.","3","10.035","False","#000000","False","paragraph"
"“No change” may also be considered a significant finding.","9","10.035","False","#000000","False","paragraph"
"Next, read the Discussion section. The authors will present the findings in general terms.","14","10.035","False","#000000","False","paragraph"
"Section #4 - The authors suggested _____________________.","7","9.859","True","#000000","False","heading"
"Read the Discussion section and look for comments that the authors made about the intervention","15","10.035","False","#000000","False","paragraph"
"or program such as “Did it work?” or “Should it be continued?”.","12","10.035","False","#000000","False","paragraph"
"Look for the author’s critique of why the study did or did not produce results. Did anything","17","10.035","False","#000000","False","paragraph"
"unexpected influence the findings?","4","10.035","False","#000000","False","paragraph"
"The author may suggest a future line of research or “next steps” to improve the body of","17","10.035","False","#000000","False","paragraph"
"knowledge.","1","10.035","False","#000000","False","paragraph"
"Sample format, Page 1 of 2","6","9.054","False","#000000","False","paragraph"
"Additional Considerations:","2","9.859","True","#000000","True","heading"
"A literature review is a summary of what research has been completed in a topic area; it should be","19","10.035","False","#000000","False","paragraph"
"summarized in your own words.","5","10.035","False","#000000","False","paragraph"
"Read the entire article first and then go back and take notes. Jot down notes in your own words.","19","10.035","False","#000000","False","paragraph"
"This increases comprehension as well as decreases the likelihood of plagiarism.","11","10.035","False","#000000","False","paragraph"
"The review is written in third person; no “I” or “you”.","11","10.035","False","#000000","False","paragraph"
"Unless stated otherwise, a literature review ideally reflects articles published in the last five to ten","16","10.035","False","#000000","False","paragraph"
"years.","1","10.035","False","#000000","False","paragraph"
"Not every detail or fact needs to be reported. A reader will obtain a copy of the article if more","20","10.035","False","#000000","False","paragraph"
"information is needed.","3","10.035","False","#000000","False","paragraph"
"Write the literature review in the past tense; the research has already been completed.","14","10.035","False","#000000","False","paragraph"
"The article cannot “do”, “find”, or “say” anything. The authors are the people who conducted the","16","10.035","False","#000000","False","paragraph"
"study.","1","10.035","False","#000000","False","paragraph"
"The above format is a guideline. It may be necessary to change the verbs or to expand an idea.","19","10.035","False","#000000","False","paragraph"
"Sample format, Page 2 of 2","6","9.054","False","#000000","False","paragraph"
