"line","word_count","font_size","is_bold","color","title_case","label"
"Samples of descriptive paragraphs:","4","18.066","True","#000000","False","heading"
"S ample 1.The sample below is an opening paragraph from a student essay on the development of","17","15.768","False","#000000","False","paragraph"
"entertainment media. In it, she describes TV-watching in her family to make a point about how","16","15.768","False","#000000","False","paragraph"
"central TV was as a form of entertainment in the 60’s.","11","15.768","False","#000000","False","paragraph"
"(1) As I was growing up in the 60’s, television was the only entertainment my","15","15.96","False","#000000","False","paragraph"
"family knew of the electronic sort. (2) The 7 o’clock nightly news was such an","15","15.96","False","#000000","False","paragraph"
"important part of our family that my dad knocked a wall down and built a huge","16","15.96","False","#000000","False","paragraph"
"cabinet in its place just to accommodate our 19-inch black and white. (3) No one","15","15.96","False","#000000","False","paragraph"
"was allowed to talk or make a sound when the television was on; all eyes were","16","15.96","False","#000000","False","paragraph"
"glued to the moving and flickering image. The box commanded absolute","11","15.96","False","#000000","False","paragraph"
"respect.(4) In the daytime, “the television needs its rest” my mother would say, as","14","15.96","False","#000000","False","paragraph"
"she patted its pseudo-wooden top and covered it with a doilie she had made","14","15.96","False","#000000","False","paragraph"
"herself. (5)There is no doubt that TV was as central to our lives as it was to the","18","15.96","False","#000000","False","paragraph"
"lives of all our friends during that period. (adapted from an essay by Angeline","14","15.96","False","#000000","False","paragraph"
"Chan, used with permission.)","4","15.96","False","#000000","False","paragraph"
"Notice the writer’s use of action verbs (knocked, glued) and her use of sensory words (19- inch,","17","15.768","False","#000000","False","paragraph"
"black and white, huge, talk, sound, flickering)) to paint a picture of the scene in her living room.","18","15.768","False","#000000","False","paragraph"
"In the final sentence, she states the main point of the paragraph: that TV was central in families’","18","15.768","False","#000000","False","paragraph"
"lives during the 60’s. The appearance of a topic sentence at the end of a paragraph, rather than at","19","15.768","False","#000000","False","paragraph"
"the beginning is common in descriptive paragraphs, and it works well for this kind of","15","15.768","False","#000000","False","paragraph"
"development.","1","15.768","False","#000000","False","paragraph"
"S ample 2. This paragraph is a student’s response to an assignment to describe a place of","17","15.768","False","#000000","False","paragraph"
"personal importance or beauty:","4","15.768","False","#000000","False","paragraph"
"(1) The trail, perching precariously 500 feet above the roaring surf and then","13","15.96","False","#000000","False","paragraph"
"dipping effortlessly into dark lush valleys, snakes its way along the fluted","12","15.96","False","#000000","False","paragraph"
"coastline. (2) From a distance, it is hard to believe there would be any way to","16","15.96","False","#000000","False","paragraph"
"traverse the cliffs that dip like fingers into the frothing Pacific. (3)The first half of","15","15.96","False","#000000","False","paragraph"
"the trail is densely overgrown, and the air is dripping with the aroma of over ripe","16","15.96","False","#000000","False","paragraph"
"guava. Waterfalls and streams cascade unceasingly down along the trail from","11","15.96","False","#000000","False","paragraph"
"Mount Waialeale, the wettest spot on earth. (4) Vegetation grows thickly on the","13","15.96","False","#000000","False","paragraph"
"near vertical slopes above and below the trail, lending a sense of false security to","15","15.96","False","#000000","False","paragraph"
"the path, which at its widest measures ten feet across. (5)The landscape on the","14","15.96","False","#000000","False","paragraph"
"second half of the trail, the leeward side, changes dramatically from jungle to","13","15.96","False","#000000","False","paragraph"
"semi-arid desert. (6)Now, the cliffs are bare rock, and a three-foot wide ledge is","14","15.96","False","#000000","False","paragraph"
"all that protects the wary hiker from the black shoreline below.(7) Nevertheless,","12","15.96","False","#000000","False","paragraph"
"the white sand beach that marks the end of the trail is more than ample reward","16","15.96","False","#000000","False","paragraph"
"for the dangers survived.(8) The colors of this last valley, the Kalalau Valley, are","14","15.96","False","#000000","False","paragraph"
"a vivid red and green against a cloudless blue sky. (9)This, however, is not the","15","15.96","False","#000000","False","paragraph"
"end of the trip. The only trail out is the trail in. Not for the faint of heart, the","19","15.96","False","#000000","False","paragraph"
"Kalalua Trail on Kauai’s north shore is eleven miles of rugged adventure. (from","13","15.96","False","#000000","False","paragraph"
"an essay by Noreen Edgar, used with permission)","8","15.96","False","#000000","False","paragraph"
"This writer, too, makes liberal use of sense words (roaring, dark, lush, thickly etc.) and vivid","16","15.768","False","#000000","False","paragraph"
"action verbs (snakes, traverse, cascade). In addition, she uses a spatial arrangement that moves","14","15.768","False","#000000","False","paragraph"
"much in the way a hiker might, from a distant view, to a description of the first half of the trail,","21","15.768","False","#000000","False","paragraph"
"and then to the second half. The topic sentence, (sentence 9) as in the first sample, is found at","19","15.768","False","#000000","False","paragraph"
"the end instead of the beginning of the paragraph.","9","15.768","False","#000000","False","paragraph"
