"line","word_count","font_size","is_bold","color","title_case","label"
"Guía de facturación para Vodafone España","6","18.886","True","#000000","False","heading"
"A l emitir una factura, tenga en cuenta que la factura debe cumplir con todos los requisitos","17","10.272","False","#000000","False","paragraph"
"fiscales relevantes y contener toda la información obligatoria.","8","10.272","False","#000000","False","paragraph"
"P ara su información hemos resumido los principios relativos a los requisitos de facturación.","14","10.272","False","#000000","False","paragraph"
"Estos son los campos requeridos para el correcto procesamiento de sus facturas:","12","10.272","False","#000000","False","paragraph"
"Fecha de factura (fecha de emisión de la factura).","9","10.272","False","#000000","False","paragraph"
"Único y secuencial número de factura.","6","10.272","False","#000000","False","paragraph"
"Número de NIF para cada sociedad de Vodafone conforme a lo indicado en su pedido","15","10.272","False","#000000","False","paragraph"
"o en su contrato.","4","10.272","False","#000000","False","paragraph"
"Su número de identificación fiscal.","5","10.272","False","#000000","False","paragraph"
"Su nombre de proveedor y su dirección completa.","8","10.272","False","#000000","False","paragraph"
"La cantidad y descripción de los bienes y / o servicios suministrados.","12","10.272","False","#000000","False","paragraph"
"Precios unitarios netos, importe neto y bruto de la factura.","10","10.272","False","#000000","False","paragraph"
"El porcentaje aplicable del Impuesto sobre el Valor Añadido (IVA) y el importe total","14","10.272","False","#000000","False","paragraph"
"del IVA.","2","10.272","False","#000000","True","paragraph"
"El número de orden de compra proporcionado por Vodafone (en caso de que la","14","10.272","False","#000000","False","paragraph"
"factura se emita con pedido). Si no se hace referencia a ningún número de pedido en","16","10.272","False","#000000","False","paragraph"
"la factura, se rechazará a excepción de los siguientes servicios: Alquiler, electricidad,","12","10.272","False","#000000","False","paragraph"
"interconexión, roaming, servicios públicos y contenidos. Si el pedido tiene varias","11","10.272","False","#000000","False","paragraph"
"líneas, la línea de pedido también debe especificarse en la factura.","11","10.272","False","#000000","False","paragraph"
"C2 General","2","6.96","False","#000000","True","paragraph"
"El Tipo de documento: factura / nota de abono/ Factura rectificativa (en el caso de","15","10.272","False","#000000","False","paragraph"
"una nota de abono/ factura rectificativa, el número de factura correspondiente a la","13","10.272","False","#000000","False","paragraph"
"nota de abono/ factura rectificativa debe ser indicado).","8","10.272","False","#000000","False","paragraph"
"Tipo de cambio (si corresponde).","5","10.272","False","#000000","False","paragraph"
"Si correspondiera: si se aplica el mecanismo de cobro revertido, debe mencionarse","12","10.272","False","#000000","False","paragraph"
"""cargo revertido"" en la factura.","5","10.272","False","#000000","False","paragraph"
"Si correspondiera: referencia a la exención del IVA aplicado o entrega","11","10.272","False","#000000","False","paragraph"
"intracomunitaria.","1","10.272","False","#000000","False","paragraph"
"Envío de sus facturas","4","10.32","True","#000000","False","heading"
"1. La facturación electrónica es la opción de facturación principal, debido a las","13","10.32","False","#000000","False","paragraph"
"facilidades que otorga. Estas son las principales:","7","10.272","False","#000000","False","paragraph"
"a. Pagos a tiempo,","4","10.272","False","#000000","False","paragraph"
"b. Menos facturas rechazadas,","4","10.272","False","#000000","False","paragraph"
"c. Mejor conciliación de cuentas,","5","10.272","False","#000000","False","paragraph"
"d. Posibilidad de revisar el status de tus facturas,","9","10.272","False","#000000","False","paragraph"
"Los proveedores que están registrados en la solución de facturación electrónica de","12","10.272","False","#000000","False","paragraph"
"Taulia deben enviar sus facturas electrónicamente. Para obtener más información o","11","10.272","False","#000000","False","paragraph"
"para registrarse en nuestra solución de facturación electrónica, por favor póngase en","12","10.272","False","#000000","False","paragraph"
"contacto con business-support.es@vodafone.com.","3","10.272","False","#000000","False","paragraph"
"Únicamente si no puede enviar sus facturas a través del portal de facturación","13","10.272","False","#000000","False","paragraph"
"electrónica, por favor envíe sus facturas en papel a las direcciones de envío abajo","14","10.272","False","#000000","False","paragraph"
"indicadas, pero tenga en cuenta que esta opción no garantiza la recepción y pago a","15","10.272","False","#000000","False","paragraph"
"tiempo de sus facturas.","4","10.272","False","#000000","False","paragraph"
"Certificado de residencia","3","10.32","True","#000000","False","heading"
"P or favor asegúrese de enviar el certificado de residencia en el extranjero al siguiente buzón:","16","10.272","False","#000000","False","paragraph"
"business-support.es@vodafone.com","1","10.32","True","#000000","False","paragraph"
"D e otra manera procederemos al pago de sus facturas aplicando la retención oportuna.","14","10.272","False","#000000","False","paragraph"
"C2 General","2","6.96","False","#000000","True","paragraph"
