"line","word_count","font_size","is_bold","color","title_case","label"
"/ DIRECTORS’ REPORT","3","16.086","False","#008c45","True","heading"
"PRINCIPAL ACTIVITIES","2","13.788","False","#008c45","True","heading"
"The principal activity of the Bega Cheese Group in the course of the","13","9.944","False","#414143","False","paragraph"
"ﬁnancial year was receiving, processing, manufacturing and","7","9.944","False","#414143","False","paragraph"
"distributing dairy and associated products. A number of key events","10","9.944","False","#414143","False","paragraph"
"in relation to the activities of the Group during the year ended 30","13","9.944","False","#414143","False","paragraph"
"June 2016 are set out in the Executive Chairman’s review and the","12","9.944","False","#414143","False","paragraph"
"Chief Executive Ofﬁcer’s review of operations and activities, which is","10","9.944","False","#414143","False","paragraph"
"to be read in conjunction with this Directors’ report.","9","9.944","False","#414143","False","paragraph"
"DIVIDENDS","1","13.788","False","#008c45","True","heading"
"The dividends paid to shareholders during the ﬁnancial year were:","10","9.944","False","#414143","False","paragraph"
"2016 2015","2","10.04","True","#ffffff","True","paragraph"
"$’000 $’000","2","10.04","True","#ffffff","True","paragraph"
"Interim ordinary dividend for the year","6","9.944","False","#414143","False","paragraph"
"ended 30 June 2016 of 4.5 cents","7","9.944","False","#414143","False","paragraph"
"6,867 -","2","9.944","False","#414143","True","paragraph"
"Final ordinary dividend for the year","6","9.944","False","#414143","False","paragraph"
"ended 30 June 2015 of 4.5 cents","7","9.944","False","#414143","False","paragraph"
"6,867 -","2","9.944","False","#414143","True","paragraph"
"Interim ordinary dividend for the year","6","9.944","False","#414143","False","paragraph"
"ended 30 June 2015 of 4.0 cents","7","9.944","False","#414143","False","paragraph"
"6,104","1","9.944","False","#414143","True","paragraph"
"Final ordinary dividend for the year","6","9.944","False","#414143","False","paragraph"
"ended 30 June 2014 of 4.5 cents","7","9.944","False","#414143","False","paragraph"
"6,867","1","9.944","False","#414143","True","paragraph"
"In addition to the above dividends, since the end of the ﬁnancial year","13","9.944","False","#414143","False","paragraph"
"the Directors have recommended payment of a ﬁnal ordinary","9","9.944","False","#414143","False","paragraph"
"dividend of $7,630,000 (5.0 cents per fully paid share) to be paid on","13","9.944","False","#414143","False","paragraph"
"15 September 2016.","3","9.944","False","#414143","True","paragraph"
"REVIEW OF OPERATIONS","3","13.788","False","#008c45","True","heading"
"A comprehensive review of operations is set out in the Chief","11","9.944","False","#414143","False","paragraph"
"Executive Ofﬁcer’s review of operations and activities.","7","9.944","False","#414143","False","paragraph"
"SIGNIFICANT CHANGES IN THE STATE OF AFFAIRS","7","13.788","False","#008c45","True","heading"
"Other than that disclosed in the Executive Chairman’s review and the","11","9.944","False","#414143","False","paragraph"
"Chief Executive Ofﬁcer’s review of operations and activities, there","9","9.944","False","#414143","False","paragraph"
"have been no signiﬁcant changes in the state of affairs of Bega","12","9.944","False","#414143","False","paragraph"
"Cheese Group since the last Annual Report.","7","9.944","False","#414143","False","paragraph"
"INDEMNIFICATION AND INSURANCE PREMIUMS FOR OFFICERS","6","13.788","False","#008c45","True","heading"
"During the ﬁnancial year, Bega Cheese Group paid a premium in","11","9.944","False","#414143","False","paragraph"
"respect of a contract insuring the Directors and all executive ofﬁcers","11","9.944","False","#414143","False","paragraph"
"of the Group and of any related body corporate against a liability","12","9.944","False","#414143","False","paragraph"
"incurred as such a Director or executive ofﬁcer, not exceeding the","11","9.944","False","#414143","False","paragraph"
"extent permitted by law. The contracts of insurance prohibit","9","9.944","False","#414143","False","paragraph"
"disclosure of the nature of the liabilities and the amount of the","12","9.944","False","#414143","False","paragraph"
"premiums. The Group has not otherwise, during or since the ﬁnancial","11","9.944","False","#414143","False","paragraph"
"year, except to the extent permitted by law, indemniﬁed or agreed to","12","9.944","False","#414143","False","paragraph"
"indemnify an ofﬁcer of the Group or any related body corporate","11","9.944","False","#414143","False","paragraph"
"against a liability incurred as such an ofﬁcer. This does not include","12","9.944","False","#414143","False","paragraph"
"remuneration or employment related beneﬁts, any sum payable","8","9.944","False","#414143","False","paragraph"
"pursuant to a ﬁnancial support direction or contribution notice issued","10","9.944","False","#414143","False","paragraph"
"in respect of any pension scheme, ﬁnes and pecuniary penalties for","11","9.944","False","#414143","False","paragraph"
"a deliberate or intentional act, nor amounts which are prohibited to","11","9.944","False","#414143","False","paragraph"
"be paid by law.","4","9.944","False","#414143","True","paragraph"
"20 / BEGA CHEESE LIMITED 2016 / DIRECTORS’ REPORT","9","8.43","False","#008c45","True","paragraph"
