"line","word_count","font_size","is_bold","color","title_case","label"
"28 June 2019","4","15.07","False","#000000","True","paragraph"
"T O: ALL REGISTERED FINANCIAL CORPORATIONS (RFCs)","7","15.809","True","#000000","False","paragraph"
"ECONOMIC AND FINANCIAL STATISTICS – RESPONSE TO SUBMISSIONS ON PROPOSED CHANGES TO REPORTING CONSOLIDATION FOR SECURITISATION SPECIAL PURPOSE VEHICLES (SPVs)","20","15.809","True","#000000","True","heading"
"In May 2019, the Australian Bureau of Statistics, the Reserve Bank of Australia and the","15","15.07","False","#000000","True","paragraph"
"Australian Prudential Regulation Authority (APRA) (collectively ‘the agencies’) consulted on","10","15.07","False","#000000","False","paragraph"
"proposed changes to reporting requirements for registered financial corporations (RFCs) that","11","15.07","False","#000000","False","paragraph"
"are not a related party of an authorised deposit-taking institution (ADI). APRA proposed","13","15.07","False","#000000","False","paragraph"
"changes to the Economic and Financial Statistics (EFS) data collection relating to the","13","15.07","False","#000000","False","paragraph"
"consolidation of securitisation SPVs.","4","15.07","False","#000000","False","paragraph"
"This letter contains APRA’s response to consultation feedback. Based on the submission","12","15.07","False","#000000","False","paragraph"
"received, APRA will proceed with the proposed changes to Reporting Standard ARS 701.0","13","15.07","False","#000000","False","paragraph"
"ABS/RBA Definitions for the EFS Collection (ARS 701.0) and consequential changes to","12","14.606","False","#000000","False","paragraph"
"Reporting Practice Guide RPG 701.0 ABS/RBA Reporting Concepts for the EFS Collection","12","14.606","False","#000000","True","paragraph"
"(RPG 701.0) as outlined in May 2019.","7","15.07","False","#000000","False","paragraph"
"Background","1","15.809","True","#000000","True","heading"
"In March 2018, amendments to the Financial Sector (Collection of Data) Act 2001 (FSCODA)","14","15.07","False","#000000","False","paragraph"
"broadened the scope of entities that must register under the FSCODA and enabled APRA to","15","15.07","False","#000000","False","paragraph"
"collect information from non-ADI lenders. These amendments were made to allow APRA and","13","15.07","False","#000000","False","paragraph"
"the Council of Financial Regulators to better monitor the financial stability impacts of non-ADI","14","15.07","False","#000000","False","paragraph"
"lenders and to determine appropriate actions if needed to address a potential increase of risk","15","15.07","False","#000000","False","paragraph"
"in this sector.","3","15.07","False","#000000","False","paragraph"
"In May 2019, the agencies commenced consultation on proposed changes to the treatment of","14","15.07","False","#000000","False","paragraph"
"SPVs in the EFS data collection to improve the collection of RFC data. The agencies proposed","16","15.07","False","#000000","False","paragraph"
"changes to ARS 701.0 and consequential changes to RPG 701.0. These changes require a","14","15.07","False","#000000","False","paragraph"
"RFC that is not a related party of an ADI to consolidate the positions and transactions of all","18","15.07","False","#000000","False","paragraph"
"securitisation SPVs in a single set of reporting for EFS. These changes do not apply to a RFC","18","15.07","False","#000000","False","paragraph"
"that is a related party to an ADI.","8","15.07","False","#000000","False","paragraph"
"The assets and liabilities of securitisation SPVs would therefore be consolidated on to a RFC’s","15","15.07","False","#000000","False","paragraph"
"domestic books. Assets originated into, or transferred to, an SPV are included in the RFC’s","15","15.07","False","#000000","False","paragraph"
"reporting.","1","15.07","False","#000000","False","paragraph"
"The requirement for an external auditor’s report as set out in Standard RRS 710 Audit","15","15.07","False","#000000","False","paragraph"
"Requirements for Registered Financial Corporations – EFS collection will apply to the","12","14.606","False","#000000","False","paragraph"
"reporting RFC, and not the individual SPVs.","7","15.07","False","#000000","False","paragraph"
"Submissions received","2","15.809","True","#000000","False","heading"
"APRA received one submission from an industry body. The submission agreed that APRA’s","13","15.07","False","#000000","False","paragraph"
"proposed changes to the EFS collection were the best way to capture the bulk of the","16","15.07","False","#000000","False","paragraph"
"securitisation industry as intended. The submission noted issues to consider around the","12","15.07","False","#000000","False","paragraph"
"structure and control relationship of SPVs, and also suggested a change to reporting dates for","15","15.07","False","#000000","False","paragraph"
"RFCs.","1","15.07","False","#000000","True","paragraph"
"Structure and control of SPVs","5","15.809","True","#000000","False","heading"
"The submission indicated a number of entities may require APRA to further tailor their","14","15.07","False","#000000","False","paragraph"
"reporting requirements to cater for their unique structures. If this is the case, APRA","14","15.07","False","#000000","False","paragraph"
"encourages affected entities to contact APRA by email at DataAnalytics@apra.gov.au .","11","15.07","False","#000000","False","paragraph"
"Reporting date","2","15.809","True","#000000","True","heading"
"The submission also raised concerns regarding the due date for reporting from smaller RFCs,","14","15.07","False","#000000","False","paragraph"
"citing inconsistencies with the burden imposed on their larger peers. APRA and the agencies","14","15.07","False","#000000","False","paragraph"
