"line","word_count","font_size","is_bold","color","title_case","label"
"Own plant tools and equipment section – Tradesmen","8","79.14","True","#ffffff","False","heading"
"AXA Business Insurance","3","27.636","True","#ffffff","True","heading"
"Content page","2","21.104","True","#015094","False","heading"
"TradesmenMeaning coveredWhat termsWhat is not of defined covered","8","21.104","False","#015094","False","paragraph"
"Meaning of defined terms","4","23.742","True","#015094","False","paragraph"
"What is covered","3","23.742","True","#015094","False","paragraph"
"What is not covered","4","23.742","True","#015094","False","paragraph"
"Business Insurance - Own plant tools and equipment section –","10","10.2","False","#015094","False","paragraph"
"TradesmenMeaning Content termsWhat coveredWhat","4","21.104","False","#015094","False","paragraph"
"pageAXA is not of defined covered","6","21.104","True","#015094","False","paragraph"
"Own plant tools and equipment section – Tradesmen","8","23.742","True","#015094","False","heading"
"Your schedule will show if this section is covered","9","16.284","True","#005094","False","heading"
"Meanings of defined terms","4","23.742","True","#015094","False","heading"
"These definitions apply to this section and are in addition to the policy definitions that have already","17","11.475","False","#333333","False","paragraph"
"been described in the Essential Information document. If a word or phrase has a defined meaning it","17","11.475","False","#333333","False","paragraph"
"will be underlined and will have the same meaning wherever it is used in this section","16","11.475","False","#333333","False","paragraph"
"Damage","1","12.213","True","#005094","True","heading"
"Loss or destruction or damage.","5","11.475","False","#333333","False","paragraph"
"Hacking","1","12.213","True","#005094","True","heading"
"Unauthorised access to any computer or other equipment, component, system or item","12","11.475","False","#333333","False","paragraph"
"which processes, stores, transmits or retrieves data whether your property or not","12","11.475","False","#333333","False","paragraph"
"Phishing","1","12.213","True","#005094","True","heading"
"Any access or attempted access to data or information made by means of","13","11.475","False","#333333","False","paragraph"
"misrepresentation or deception.","3","11.475","False","#333333","False","paragraph"
"Own plant tools and equipment","5","12.213","True","#005094","False","heading"
"Constructional plant, machinery, trailers, tools, equipment, site huts, or caravans","10","11.475","False","#333333","False","paragraph"
"(including their contents) belonging to you","6","11.475","False","#333333","False","paragraph"
"Portable tools and equipment including electronic communication and computing","9","11.475","False","#333333","False","paragraph"
"equipment the personal property of partners, principals, directors or employees up","11","11.475","False","#333333","False","paragraph"
"to the value of £500 any one person, which are ordinarily used or needed on the site","17","11.475","False","#333333","False","paragraph"
"of any contract carried out by you in connection with the business","12","11.475","False","#333333","False","paragraph"
"a) anywhere within the policy territories","6","11.475","False","#333333","False","paragraph"
"b) elsewhere within the European Union in connection with temporary work by","12","11.475","False","#333333","False","paragraph"
"persons ordinarily resident within the policy territories for a period or periods of","13","11.475","False","#333333","False","paragraph"
"up to 180 days in total, during any one period of insurance.","12","11.475","False","#333333","False","paragraph"
"Stock in trade belonging to you, referred to in your schedule as ’stock in trade’,","15","11.475","False","#333333","False","paragraph"
"while at your premises, or in a securely locked store or compound within the policy","15","11.475","False","#333333","False","paragraph"
"territories, or in transit by road, rail or inland waterway.","10","11.475","False","#333333","False","paragraph"
"AXA Business Insurance - Own plant tools and equipment section – Tradesmen - Meaning of defined terms Go to Contents page","21","10.2","False","#015094","False","paragraph"
"Terrorism","1","12.213","True","#005094","True","heading"
"In England, Scotland and Wales: Acts of persons acting on behalf of, or in connection","15","11.475","False","#333333","False","paragraph"
"with, any organisation which carries out activities directed towards the overthrowing or","12","11.475","False","#333333","False","paragraph"
"influencing, by force or violence, of Her Majesty’s Government in the United Kingdom or","14","11.475","False","#333333","False","paragraph"
"any other government de jure or de facto.","8","11.475","False","#333333","False","paragraph"
"In Northern Ireland: An act including, but not limited to the use of force or violence and","17","11.475","False","#333333","False","paragraph"
"or threat thereof of any person or group(s) of persons whether acting alone or on behalf","16","11.475","False","#333333","False","paragraph"
"of or in connection with any organisation(s) or government(s) committed for political,","12","11.475","False","#333333","False","paragraph"
"religious, ideological or similar purposes including the intention to influence any","11","11.475","False","#333333","False","paragraph"
"government and or put the public or any section of the public in fear.","14","11.475","False","#333333","False","paragraph"
"In the Channel Islands and the Isle of Man: An act of any person(s) acting on behalf of","18","11.475","False","#333333","False","paragraph"
"or in connection with any organisation which carries out activities directed towards the","13","11.475","False","#333333","False","paragraph"
"overthrowing or influencing by force or violence of any government de jure or de facto.","15","11.475","False","#333333","False","paragraph"
"Virus or similar mechanism","4","12.213","True","#005094","False","heading"
"Program code, programming instruction or any set of instructions intentionally","10","11.475","False","#333333","False","paragraph"
"constructed with the ability to damage, interfere with or otherwise adversely affect","12","11.475","False","#333333","False","paragraph"
"computer programs, data files or operations, whether involving self-replication or not.","11","11.475","False","#333333","False","paragraph"
"The meaning of virus or similar mechanism includes but is not limited to, trojan horses","15","11.475","False","#333333","False","paragraph"
"worms and logic bombs.","4","11.475","False","#333333","False","paragraph"
"Page 183 of 186","4","10.2","False","#015094","True","paragraph"
"termsWhat","1","21.104","True","#015094","False","paragraph"
"pageAXA coveredWhat Content","3","21.104","True","#015094","False","paragraph"
"TradesmenMeaning is not of defined covered","6","21.104","False","#015094","False","paragraph"
"What is covered","3","23.742","True","#015094","False","heading"
"What is covered","3","13.57","True","#ffffff","False","heading"
"Damage to property insured cover","5","16.284","True","#015094","False","heading"
