"line","word_count","font_size","is_bold","color","title_case","label"
"The Red Ribbon Express (RRE) is the world’s largest mass","10","12.653","False","#000000","False","paragraph"
"mobilisation drive on HIV/AIDS. The train will travel","8","12.653","False","#000000","False","paragraph"
"through 22 states, during its one year long journey, halting","10","12.653","False","#000000","False","paragraph"
"at 152 stations. Through the RRE, NACO, intends to break","10","12.653","False","#000000","False","paragraph"
"the silence surrounding the issue of HIV/AIDS, by taking","9","12.653","False","#000000","False","paragraph"
"the messages on prevention, care and support to people","9","12.653","False","#000000","False","paragraph"
"living in small towns and villages across the country. The","10","12.653","False","#000000","False","paragraph"
"aim is also to create an environment, free from stigma","10","12.653","False","#000000","False","paragraph"
"and discrimination faced by people living with HIV, so they","10","12.653","False","#000000","False","paragraph"
"can access the services, without fear and prejudice, and","9","12.653","False","#000000","False","paragraph"
"live a life of dignity. It has proved to be a successful multi-","13","12.653","False","#000000","False","paragraph"
"sectoral initiative, of the NACO and a powerful advocacy","9","12.653","False","#000000","False","paragraph"
"tool, both at the state and district level, besides enhancing","10","12.653","False","#000000","False","paragraph"
"local capacity to deal with HIV prevention.","7","12.653","False","#000000","False","paragraph"
"Table 6.1: The highlights of RRE–II coverage (till 11 March, 2010)","11","12.653","False","#000000","False","paragraph"
"State Date","2","12.5","True","#000000","True","paragraph"
"Halt Halt Persons","3","12.5","True","#000000","True","paragraph"
"stations days directly","3","12.5","True","#000000","False","paragraph"
"reached","1","12.5","True","#000000","False","paragraph"
"(in lakh)","2","12.5","True","#000000","False","paragraph"
"It includes visitors to train exhibition and those reached through outreach activities","12","8.435","False","#000000","False","paragraph"
"Persons Persons Persons","3","12.5","True","#000000","True","paragraph"
"trained counseled tested","3","12.5","True","#000000","False","paragraph"
"for HIV","2","12.5","True","#000000","True","paragraph"
"about injecting drug use and unprotected sex,","7","12.652","False","#000000","False","paragraph"
"reducing stigma and discrimination associated","5","12.652","False","#000000","False","paragraph"
"attached to HIV/AIDS and promoting HIV","6","12.653","False","#000000","False","paragraph"
"related services. The music competitions and","6","12.653","False","#000000","False","paragraph"
"football tournaments organised at district level","6","12.653","False","#000000","False","paragraph"
"culminated in the state level mega events, which","8","12.653","False","#000000","False","paragraph"
"saw huge youth participation.","4","12.653","False","#000000","False","paragraph"
"Faith based organisations were also sensitised","6","12.653","False","#000000","False","paragraph"
"and involved in the campaign. A special effort","8","12.653","False","#000000","False","paragraph"
"was made to reach out to the out-of-school youth","9","12.653","False","#000000","False","paragraph"
"in the states through training of youth clubs at","9","12.653","False","#000000","False","paragraph"
"district, block and village levels. The winners","7","12.653","False","#000000","False","paragraph"
"of the music competitions positioned as ""youth","7","12.653","False","#000000","False","paragraph"
"icons"" are further reaching out with messages on","8","12.653","False","#000000","False","paragraph"
"HIV/AIDS to the community through road shows at","8","12.653","False","#000000","False","paragraph"
"village/block level in their respective districts.","6","12.653","False","#000000","False","paragraph"
"Radio programmes: Three radio programmes in","6","12.652","False","#000000","False","paragraph"
"Hindi – “Babli Boli”, “5 Down Mohabbat Express”","8","12.642","False","#000000","False","paragraph"
"and “Kitne Door, Kitne Pass” were launched by","8","12.653","False","#000000","False","paragraph"
"NACO, targeting rural women, rural youth and","7","12.653","False","#000000","False","paragraph"
"urban migrants respectively. The programmes","5","12.653","False","#000000","False","paragraph"
"were aired for six months from September,","7","12.653","False","#000000","False","paragraph"
"2009 to March, 2010. The duration of the each","9","12.653","False","#000000","False","paragraph"
"episode was half an hour and two episodes","8","12.653","False","#000000","False","paragraph"
"of each programme were aired every week.","7","12.653","False","#000000","False","paragraph"
"The programmes were linked to the ground","7","12.653","False","#000000","False","paragraph"
"mobilisation in 21 vulnerable districts, in the","7","12.653","False","#000000","False","paragraph"
"states of UP, Bihar, Rajasthan, MP and Delhi","8","12.653","False","#000000","False","paragraph"
"through 100 Radio Listener Clubs formed in each","8","12.653","False","#000000","False","paragraph"
"of these districts. The radio clubs promoted not","8","12.653","False","#000000","False","paragraph"
"only listenership of the programmes, but also","7","12.653","False","#000000","False","paragraph"
"helped in further dissemination of messages in","7","12.653","False","#000000","False","paragraph"
"the communities. The SACS also produce and air","8","12.652","False","#000000","False","paragraph"
