"line","word_count","font_size","is_bold","color","title_case","label"
"MODERNIZING GOVERNMENT FOR THE 21ST CENTURY","6","22.284","False","#000000","True","heading"
"WHERE WE ARE: FEDERAL CONTEXT","5","12.38","False","#000000","True","heading"
"When America’s Founders established the","5","13.365","False","#000000","False","paragraph"
"Constitution, they laid out a clear mission for the","9","13.365","False","#000000","False","paragraph"
"Federal Government, from providing for the com-","7","13.365","False","#000000","False","paragraph"
"mon defense to securing the blessings of liberty.","8","13.365","False","#000000","False","paragraph"
"To this day, the business of Government remains","8","13.365","False","#000000","False","paragraph"
"to serve the American people by meeting their ex-","9","13.365","False","#000000","False","paragraph"
"pectations in these foundational mission areas.","6","13.365","False","#000000","False","paragraph"
"Nearly two decades into the 21st Century, the","8","13.365","False","#000000","False","paragraph"
"public still believes that the Federal Government","7","13.365","False","#000000","False","paragraph"
"serves critical roles and, in some areas, does","8","13.365","False","#000000","False","paragraph"
"them well.1 Yet public trust in the Federal","8","13.365","False","#000000","False","paragraph"
"Government continues to decline, sitting at near-","7","13.365","False","#000000","False","paragraph"
"historic lows.2 The Nation faces a significant","7","13.365","False","#000000","False","paragraph"
"national debt and annual deficits that require","7","13.365","False","#000000","False","paragraph"
"Government to change how it operates.","6","13.365","False","#000000","False","paragraph"
"HOW WE GOT HERE: ROOT CAUSE CHALLENGES AND EFFECTS","9","12.38","False","#000000","True","heading"
"Many of the Federal Government’s challenges","6","13.365","False","#000000","False","paragraph"
"and shortcomings arise from practices designed","6","13.365","False","#000000","False","paragraph"
"in the past and trends that can no longer be sus-","11","13.365","False","#000000","False","paragraph"
"tained. Major root cause challenges facing the","7","13.365","False","#000000","False","paragraph"
"Federal Government include:","3","13.365","False","#000000","False","paragraph"
"Accumulated Regulatory Burden. Over","4","13.618","False","#000000","True","paragraph"
"many decades, Federal agencies have imposed","6","13.365","False","#000000","False","paragraph"
"countless regulatory requirements on individu-","5","13.365","False","#000000","False","paragraph"
"als, businesses, landowners, and State and local","7","13.365","False","#000000","False","paragraph"
"governments. Some of these regulations serve","6","13.365","False","#000000","False","paragraph"
"important public purposes. Many regulations,","5","13.365","False","#000000","False","paragraph"
"however, are outdated, duplicative, or unnec-","6","13.365","False","#000000","False","paragraph"
"essary, yet continue to impose costly burdens.","7","13.365","False","#000000","False","paragraph"
"1 Pew Research Center, December 2017, “Government Gets Lower","9","9.72","False","#000000","False","paragraph"
"Ratings for Handling Health Care, Environment, Disaster Re-","8","9.72","False","#000000","True","paragraph"
"sponse.”","1","9.72","False","#000000","False","paragraph"
"2 Pew Research Center, May 2017, “Public Trust in Government","10","9.72","False","#000000","False","paragraph"
"Remains Near Historic Lows as Partisan Attitudes Shift.”","8","9.72","False","#000000","True","paragraph"
"Careful reconsideration of the regulatory burden","6","13.365","False","#000000","False","paragraph"
"is necessary to promote economic growth and in-","8","13.365","False","#000000","False","paragraph"
"dividual freedom.","2","13.365","False","#000000","False","paragraph"
"Structural Issues. Silos across Federal agen-","6","13.365","False","#000000","False","paragraph"
"cies and offices can stymie collaboration, result-","7","13.365","False","#000000","False","paragraph"
"ing in fragmented services and piecemeal efforts.","7","13.365","False","#000000","False","paragraph"
"Greater coordination is needed among and with-","7","13.365","False","#000000","False","paragraph"
"in agencies and also with the Congress to im-","9","13.365","False","#000000","False","paragraph"
"prove management of the Federal Government","6","13.365","False","#000000","False","paragraph"
"and to remove outdated regulations and other","7","13.365","False","#000000","False","paragraph"
"obstacles to change.","3","13.365","False","#000000","False","paragraph"
"Decision-Making and Processes. The pub-","5","13.618","False","#000000","True","paragraph"
"lic lacks sufficient opportunities to give feed-","7","13.365","False","#000000","False","paragraph"
"back on Federal programs and services, making","7","13.365","False","#000000","False","paragraph"
"it harder to identify weaknesses and make im-","8","13.365","False","#000000","False","paragraph"
"provements. Smarter use of data and evidence","7","13.365","False","#000000","False","paragraph"
"is needed to orient decisions and accountability","7","13.365","False","#000000","False","paragraph"
"around service and results.","4","13.365","False","#000000","False","paragraph"
"Leadership and Culture. Achieving benefi-","5","13.618","False","#000000","False","paragraph"
"cial outcomes that serve the public should be the","9","13.365","False","#000000","False","paragraph"
"Federal Government’s primary focus. Yet service","6","13.365","False","#000000","False","paragraph"
"delivery sometimes suffers due to checking un-","7","13.365","False","#000000","False","paragraph"
"necessary bureaucratic boxes. Managers need","5","13.365","False","#000000","False","paragraph"
"greater discretion to execute programs effective-","6","13.365","False","#000000","False","paragraph"
"ly, foster the highest-performing workforce, and","6","13.365","False","#000000","False","paragraph"
"solve real-time problems.","3","13.365","False","#000000","False","paragraph"
"Capabilities and Competencies. Antiqua-","4","13.618","False","#000000","True","paragraph"
"ted, unsecure technology risks can leave the pub-","8","13.365","False","#000000","False","paragraph"
"lic frustrated and vulnerable. Too many Federal","7","13.365","False","#000000","False","paragraph"
"employees perform outdated duties that rely on","7","13.365","False","#000000","False","paragraph"
"outdated skillsets, and Government too often","6","13.365","False","#000000","False","paragraph"
"struggles to award effective, timely contracts. A","7","13.365","False","#000000","False","paragraph"
"more nimble and effective approach is needed to","8","13.365","False","#000000","False","paragraph"
"keep technologies and workforce skills current","6","13.365","False","#000000","False","paragraph"
"and to ensure that the Federal workforce can","8","13.365","False","#000000","False","paragraph"
"meet future needs.","3","13.365","False","#000000","False","paragraph"
"7","1","9.72","False","#000000","True","paragraph"
"8","1","12.15","False","#000000","True","paragraph"
"MODERNIZING GOVERNMENT FOR THE 21ST CENTURY","6","13.365","False","#000000","True","heading"
"WHERE WE ARE HEADED: A MULTI-GENERATIONAL VISION FOR REFORM","9","13.365","False","#000000","False","heading"
"ers will determine the Administration’s success","10","13.365","False","#000000","False","paragraph"
"The vision for reform must be multi-gener- at reform. Modernizing and strengthening these","13","13.365","False","#000000","False","paragraph"
"ational, enabling the Federal Government to drivers will bolster results throughout Federal","12","13.365","False","#000000","False","paragraph"
"continue adapting to changing needs over time. agencies and mission areas.","11","13.365","False","#000000","False","paragraph"
"The Administration cannot pursue short-term","5","13.365","False","#000000","False","paragraph"
"fixes only to see Government quickly become","7","13.365","False","#000000","False","paragraph"
"outdated once again. Deep-seated transforma-","5","13.365","False","#000000","False","paragraph"
"tion takes time and will not happen in one or","10","13.365","False","#000000","False","paragraph"
"two years.","2","13.365","False","#000000","False","paragraph"
"In March, the Administration will announce","6","13.365","False","#000000","False","paragraph"
"the President’s Management Agenda, which","5","13.365","False","#000000","False","paragraph"
"will set forth a long-term vision for an effective","9","13.365","False","#000000","False","paragraph"
"Government that works on behalf of the American","8","13.365","False","#000000","False","paragraph"
"people and is focused on the following:","7","13.365","False","#000000","False","paragraph"
"Mission: The American people count on the","7","13.365","False","#000000","False","paragraph"
"Federal Government every day, from national se-","7","13.365","False","#000000","False","paragraph"
"curity to infrastructure to food and water safety.","8","13.365","False","#000000","False","paragraph"
"Public servants must be accountable for mission-","7","13.365","False","#000000","False","paragraph"
"driven results and have the necessary tools to","8","13.365","False","#000000","False","paragraph"
"deliver.","1","13.365","False","#000000","False","paragraph"
"Service: Federal customers range from small","6","13.365","False","#000000","False","paragraph"
"businesses seeking loans, to families receiving di- Modern information technology will func-","12","13.365","False","#000000","False","paragraph"
"saster support, to veterans owed proper benefits tion as the backbone of how Government serves","15","13.365","False","#000000","False","paragraph"
"and medical care. They deserve a customer ex- the public in ways that meet their expectations","16","13.365","False","#000000","False","paragraph"
"perience that compares to—or exceeds—that of and keep sensitive data and systems secure.","13","13.365","False","#000000","False","paragraph"
"leading private organizations.","3","13.365","False","#000000","False","paragraph"
"Data, accountability, and transparency","4","13.618","False","#000000","False","paragraph"
"Stewardship: Effective stewardship of tax- will provide the tools to deliver visibly better re-","14","13.365","False","#000000","False","paragraph"
"payer funds is a crucial responsibility, from pre- sults to the public and hold agencies accountable","16","13.365","False","#000000","False","paragraph"
"venting fraud to maximizing impact. Taxpayer to taxpayers.","8","13.365","False","#000000","False","paragraph"
"dollars must go to effective programs that ef-","8","13.365","False","#000000","False","paragraph"
"ficiently produce results. The Budget conserva- A modern workforce will enable senior lead-","13","13.365","False","#000000","False","paragraph"
"tively projects that $139 billion in savings can be ers and front line managers to align staff skills","18","13.365","False","#000000","False","paragraph"
"achieved over the next decade through the pre- with evolving mission needs. This will require","15","13.365","False","#000000","False","paragraph"
"vention of improper payments alone. more nimble and agile management of the work-","13","13.365","False","#000000","False","paragraph"
"force, including reskilling and redeploying exist-","6","13.365","False","#000000","False","paragraph"
"HOW WE WILL GET THERE: KEY DRIVERS OF REFORM","9","13.365","False","#000000","False","heading"
"change.","4","12.38","False","#000000","False","paragraph"
"The Federal Government’s challenges have not","6","13.365","False","#000000","False","paragraph"
"arisen in isolation, and cannot be solved through","8","13.365","False","#000000","False","paragraph"
"isolated efforts. The Administration will drive","6","13.365","False","#000000","False","paragraph"
"Government modernization by working at the","6","13.365","False","#000000","False","paragraph"
"junctions where these drivers intersect, rather","6","13.365","False","#000000","False","paragraph"
"than working in silos. Over time, it will target","9","13.365","False","#000000","False","paragraph"
"broad impacts on underlying issues, including","6","13.365","False","#000000","False","paragraph"
"legislative changes.","2","13.365","False","#000000","False","paragraph"
"FROM VISION TO ACTION: COMMITMENTS","5","12.38","False","#000000","True","heading"
"The Administration will make aggressive down","6","13.365","False","#000000","False","paragraph"
"payments on this vision, paving the way for sus-","9","13.365","False","#000000","False","paragraph"
"tained improvement over time that is efficient,","7","13.365","False","#000000","False","paragraph"
"effective, and accountable. The Administration","5","13.365","False","#000000","False","paragraph"
"will carry out this important work through mul-","8","13.365","False","#000000","False","paragraph"
"tiple channels that, together, will yield tangible","7","13.365","False","#000000","False","paragraph"
"BUDGET OF THE U. S. GOVERNMENT FOR FISCAL YEAR 2019","10","13.365","False","#000000","True","paragraph"
"9","1","12.15","False","#000000","True","paragraph"
"improvements for the Nation, its people, and the","8","13.365","False","#000000","False","paragraph"
"economy.","1","13.365","False","#000000","False","paragraph"
"The President’s Management Agenda. In","5","13.618","False","#000000","True","paragraph"
"March, the Administration will announce specif-","6","13.365","False","#000000","False","paragraph"
"ic efforts to advance the vision and improve the","9","13.365","False","#000000","False","paragraph"
"three drivers of reform. The Administration will","7","13.365","False","#000000","False","paragraph"
"name senior accountable officials and establish","6","13.365","False","#000000","False","paragraph"
"concrete goals and trackable metrics to ensure","7","13.365","False","#000000","False","paragraph"
"public accountability. This agenda will address","6","13.365","False","#000000","False","paragraph"
"critical challenges where Government as a whole","7","13.365","False","#000000","False","paragraph"
"still operates in the past. Specific goal areas will","9","13.365","False","#000000","False","paragraph"
"include:","1","13.365","False","#000000","False","paragraph"
"• Modernizing Information Technology","4","13.618","False","#000000","True","paragraph"
"(IT) to Increase Productivity and Se-","6","13.618","False","#000000","True","paragraph"
"curity. Although the Federal Government","5","13.365","False","#000000","False","paragraph"
"spends roughly $90 billion annually on","6","13.365","False","#000000","False","paragraph"
"IT, these systems remain outdated and","6","13.365","False","#000000","False","paragraph"
"poorly protected. The Administration","4","13.365","False","#000000","False","paragraph"
"will increase the use of modern technolo-","7","13.365","False","#000000","False","paragraph"
"gies, retire highly insecure and outdated","6","13.365","False","#000000","False","paragraph"
"systems, and direct modernization cost","5","13.365","False","#000000","False","paragraph"
"savings to mission-driven outcomes. The","5","13.365","False","#000000","False","paragraph"
"Administration will improve its ability to","6","13.365","False","#000000","False","paragraph"
"identify and combat cybersecurity risks to","6","13.365","False","#000000","False","paragraph"
"agencies’ data, systems, and networks.","5","13.365","False","#000000","False","paragraph"
"• Creating a 21st Century Framework","6","13.618","False","#000000","True","paragraph"
"for Data that Drives Efficiency,","5","13.618","False","#000000","True","paragraph"
"Accountability, and Transparency.","3","13.618","False","#000000","True","paragraph"
"The Federal Government needs a robust,","6","13.365","False","#000000","False","paragraph"
"integrated approach to using data to de-","7","13.365","False","#000000","False","paragraph"
"liver on mission, serve customers, and","6","13.365","False","#000000","False","paragraph"
"steward resources. The Administration","4","13.365","False","#000000","False","paragraph"
"will better manage and leverage data as an","8","13.365","False","#000000","False","paragraph"
"asset to better grow the economy, increase","7","13.365","False","#000000","False","paragraph"
"the effectiveness of Government, facilitate","5","13.365","False","#000000","False","paragraph"
"oversight, and promote transparency.","4","13.365","False","#000000","False","paragraph"
"• Developing a Workforce for the 21st","7","13.618","False","#000000","True","paragraph"
"Century. Outdated rules and technology","5","13.365","False","#000000","False","paragraph"
"have often left the Federal Government","6","13.365","False","#000000","False","paragraph"
"struggling to attract the best talent, to","7","13.365","False","#000000","False","paragraph"
"hire quickly, or to hold workers and lead-","8","13.365","False","#000000","False","paragraph"
"ers accountable. The Administration will","5","13.365","False","#000000","False","paragraph"
"modernize processes and practices to bring","6","13.365","False","#000000","False","paragraph"
"out the best in employees and enable the","8","13.365","False","#000000","False","paragraph"
"Federal workforce to more effectively de-","6","13.365","False","#000000","False","paragraph"
"liver mission results.","3","13.365","False","#000000","False","paragraph"
"• Improving the Customer Experience","5","13.618","False","#000000","True","paragraph"
"with Federal Services. The American","5","13.618","False","#000000","True","paragraph"
"people expect high-quality customer","4","13.365","False","#000000","False","paragraph"
"service from Federal programs. The","5","13.365","False","#000000","False","paragraph"
"Administration will ensure that Govern-","5","13.365","False","#000000","False","paragraph"
"ment no longer lags behind the private","7","13.365","False","#000000","False","paragraph"
"sector in customer experience.3","4","13.365","False","#000000","False","paragraph"
"• Shifting from Low-Value to High-","6","13.618","False","#000000","True","paragraph"
"Value Work. Hundreds of burdensome","5","13.365","False","#000000","False","paragraph"
"rules and requirements built up over","6","13.365","False","#000000","False","paragraph"
"decades force Federal agencies to de-","6","13.365","False","#000000","False","paragraph"
"vote their resources toward meaningless","5","13.365","False","#000000","False","paragraph"
"compliance. These resources can be bet-","6","13.365","False","#000000","False","paragraph"
"ter spent serving citizen needs. The","6","13.365","False","#000000","False","paragraph"
"Administration will clear out low-value,","5","13.365","False","#000000","False","paragraph"
"unnecessary, and obsolete policies and","5","13.365","False","#000000","False","paragraph"
"requirements to shift resources toward","5","13.365","False","#000000","False","paragraph"
"high-value work. The Administration","4","13.365","False","#000000","False","paragraph"
"has already begun this process by elimi-","7","13.365","False","#000000","False","paragraph"
"nating outdated plans and reports that","6","13.365","False","#000000","False","paragraph"
"burden Federal employees with unnec-","5","13.365","False","#000000","False","paragraph"
"essary hours of paperwork. With the","6","13.365","False","#000000","False","paragraph"
"Budget, Federal agencies are also propos-","6","13.365","False","#000000","False","paragraph"
"ing that the Congress eliminate or modify","7","13.365","False","#000000","False","paragraph"
"approximately 400 plans and reports be-","6","13.365","False","#000000","False","paragraph"
"cause they are outdated or duplicative","6","13.365","False","#000000","False","paragraph"
"(a list of these proposals is available on","8","13.365","False","#000000","False","paragraph"
"www.performance.gov).","1","13.288","False","#000000","False","paragraph"
"• Improving the Efficiency and Effec-","6","13.618","False","#000000","True","paragraph"
"tiveness of Administrative Services","4","13.618","False","#000000","False","paragraph"
"across Government. Agency missions","4","13.618","False","#000000","False","paragraph"
"are imperiled and taxpayer dollars are","6","13.365","False","#000000","False","paragraph"
"squandered when administrative func-","4","13.365","False","#000000","False","paragraph"
"tions across agencies—such as IT, human","6","13.365","False","#000000","False","paragraph"
"resources, and contracting—are inefficient","4","13.365","False","#000000","False","paragraph"
"or fail to take advantage of economies","7","13.365","False","#000000","False","paragraph"
"of scale. Half of Federal agencies report","7","13.365","False","#000000","False","paragraph"
"low satisfaction with such administra-","5","13.365","False","#000000","False","paragraph"
"tive functions. The Administration will","5","13.365","False","#000000","False","paragraph"
"improve the quality and efficiency of ad-","7","13.365","False","#000000","False","paragraph"
"ministrative services, freeing resources to","5","13.365","False","#000000","False","paragraph"
"improve outcomes and accountability for","5","13.365","False","#000000","False","paragraph"
"the American people.","3","13.365","False","#000000","False","paragraph"
"To drive these long-term Presidential pri-","6","13.365","False","#000000","False","paragraph"
"orities, the Administration will leverage cross-","6","13.365","False","#000000","False","paragraph"
"agency priority (CAP) goals to coordinate and","7","13.365","False","#000000","False","paragraph"
"3 American Customer Satisfaction Index. National, Sector, and In-","9","9.72","False","#000000","True","paragraph"
"dustry Results. December 2017.","4","11.36","False","#000000","False","paragraph"
"10","1","12.15","False","#000000","True","paragraph"
"MODERNIZING GOVERNMENT FOR THE 21ST CENTURY","6","13.365","False","#000000","True","heading"
"publicly track implementation across agen-","5","13.365","False","#000000","False","paragraph"
"cies. CAP goals will also strengthen Federal","7","13.365","False","#000000","False","paragraph"
"Government management in other priority","5","13.365","False","#000000","False","paragraph"
"areas, such as improving management of ma-","7","13.365","False","#000000","False","paragraph"
"jor acquisitions, reducing improper payments,","5","13.365","False","#000000","False","paragraph"
"increasing transparency of IT costs, enhanc-","6","13.365","False","#000000","False","paragraph"
"ing accountability for grant spending, and","6","13.365","False","#000000","False","paragraph"
"improving purchasing across Government","4","13.365","False","#000000","False","paragraph"
"as an enterprise. CAP goal teams will lead","8","13.365","False","#000000","False","paragraph"
"the execution of related Administration pri-","6","13.365","False","#000000","False","paragraph"
"orities, such as implementing the recom-","6","13.365","False","#000000","False","paragraph"
"mendations of the Report to the President on","8","13.288","False","#000000","False","paragraph"
"Federal IT Modernization focused on Network","6","13.288","False","#000000","False","paragraph"
"Modernization, Cybersecurity, and Shared","4","13.365","False","#000000","True","paragraph"
"Services. The Administration will estab-","5","13.365","False","#000000","False","paragraph"
"lish Centers of Excellence inside the General","7","13.365","False","#000000","False","paragraph"
"Services Administration to focus on critical","6","13.365","False","#000000","False","paragraph"
"priorities such as cloud migration, data center","7","13.365","False","#000000","False","paragraph"
"consolidation, and modernizing call centers to","6","13.365","False","#000000","False","paragraph"
"better serve citizens. The Administration will","6","13.365","False","#000000","False","paragraph"
"work to strengthen fundamental capabilities,","5","13.365","False","#000000","False","paragraph"
"such as the ability to manage data comprehen-","8","13.365","False","#000000","False","paragraph"
"sively and to use data routinely to improve op-","9","13.365","False","#000000","False","paragraph"
"erations, which are the backbone of how busi-","8","13.365","False","#000000","False","paragraph"
"ness is accomplished in the modern era. In","8","13.365","False","#000000","False","paragraph"
"addition to cross-agency efforts, each major","6","13.365","False","#000000","False","paragraph"
"Federal agency is publishing an updated stra-","7","13.365","False","#000000","False","paragraph"
"tegic plan with the Budget, establishing stra-","7","13.365","False","#000000","False","paragraph"
"tegic objectives for the Administration’s first","6","13.365","False","#000000","False","paragraph"
"term and committing to agency priority goals","7","13.365","False","#000000","False","paragraph"
"for the next two years. A full list of agency","10","13.365","False","#000000","False","paragraph"
"performance plans is available at www.perfor-","6","13.365","False","#000000","False","paragraph"
"mance.gov.","1","13.288","False","#000000","False","paragraph"
"Reorganization and Reform. Last March, the","6","13.618","False","#000000","True","paragraph"
"President sent out a call for change in Executive","9","13.365","False","#000000","False","paragraph"
"Order 13781, “Comprehensive Plan for Reorganizing","6","13.365","False","#000000","False","paragraph"
"the Executive Branch,” where he tasked the Office of","9","13.365","False","#000000","False","paragraph"
"Management and Budget (OMB) Director with pro-","7","13.365","False","#000000","False","paragraph"
"viding a plan to reorganize the Executive Branch.","8","13.365","False","#000000","False","paragraph"
"The Budget is a first step in presenting this plan to","11","13.365","False","#000000","False","paragraph"
"the American people. This plan includes changes","7","13.365","False","#000000","False","paragraph"
"that can be accomplished with existing authorities","7","13.365","False","#000000","False","paragraph"
"as well as others that would require new funding","9","13.365","False","#000000","False","paragraph"
"and authorities. These changes also include re-","7","13.365","False","#000000","False","paragraph"
"forms identified by individual Federal employees,","6","13.365","False","#000000","False","paragraph"
"who answered the Administration’s request for","6","13.365","False","#000000","False","paragraph"
"their best ideas to improve public services or better","9","13.365","False","#000000","False","paragraph"
"use taxpayer dollars.","3","13.365","False","#000000","False","paragraph"
"These reforms include, for example: elimi-","6","13.365","False","#000000","False","paragraph"
"nating unnecessary political positions; using","5","13.365","False","#000000","False","paragraph"
"shared services to improve IT services and","7","13.365","False","#000000","False","paragraph"
"reduce costs through economies of scale; re-","7","13.365","False","#000000","False","paragraph"
"aligning offices and personnel; and revamping","6","13.365","False","#000000","False","paragraph"
"regional offices. For instance, in order to im-","8","13.365","False","#000000","False","paragraph"
"prove customer service, the Department of the","7","13.365","False","#000000","False","paragraph"
"Interior has already begun to shift employees","7","13.365","False","#000000","False","paragraph"
"away from Washington, District of Columbia,","6","13.365","False","#000000","True","paragraph"
"closer to the citizens the Agency serves. The","8","13.365","False","#000000","False","paragraph"
"Department of Energy is also planning to re-","8","13.365","False","#000000","False","paragraph"
"view its existing laboratory network and iden-","7","13.365","False","#000000","False","paragraph"
"tify potential efficiencies.","3","13.365","False","#000000","False","paragraph"
"As part of this plan, the Administration is also","9","13.365","False","#000000","False","paragraph"
"planning to review how it can restructure func-","8","13.365","False","#000000","False","paragraph"
"tions across Federal agencies. For instance, it","7","13.365","False","#000000","False","paragraph"
"is planning a review of how it can streamline","9","13.365","False","#000000","False","paragraph"
"Federal statistical functions across multiple","5","13.365","False","#000000","False","paragraph"
"Federal agencies. The Administration is also re-","7","13.365","False","#000000","False","paragraph"
"viewing Federal development finance activities—","5","13.365","False","#000000","False","paragraph"
"currently spread across the Overseas Private","6","13.365","False","#000000","False","paragraph"
"Investment Corporation and multiple offices","5","13.365","False","#000000","False","paragraph"
"at the United States Agency for International","7","13.365","False","#000000","True","paragraph"
"Development and other Federal agencies—to","5","13.365","False","#000000","False","paragraph"
"identify ways to reduce duplication and better","7","13.365","False","#000000","False","paragraph"
"achieve national security and international de-","6","13.365","False","#000000","False","paragraph"
"velopment outcomes while supporting U.S. busi-","6","13.365","False","#000000","False","paragraph"
"ness and jobs. The Budget proposes to consolidate","8","13.365","False","#000000","False","paragraph"
"these functions into a new Development Finance","7","13.365","False","#000000","False","paragraph"
"Institution, including reforms that protect tax-","6","13.365","False","#000000","False","paragraph"
"payer dollars.","2","13.365","False","#000000","False","paragraph"
"In the months ahead, the Administration plans","7","13.365","False","#000000","False","paragraph"
"to unveil additional reorganization proposals de-","6","13.365","False","#000000","False","paragraph"
"signed to refocus programs around current and","7","13.365","False","#000000","False","paragraph"
"future needs.","2","13.365","False","#000000","False","paragraph"
"Getting Government Out of the Way. Within","7","13.618","False","#000000","True","paragraph"
"10 days of taking office, the President issued","8","13.365","False","#000000","False","paragraph"
"Executive Order 13771, “Reducing Regulation","5","13.365","False","#000000","False","paragraph"
"and Controlling Regulatory Costs,” which directs","6","13.365","False","#000000","False","paragraph"
"agencies to reduce regulatory burdens by elimi-","7","13.365","False","#000000","False","paragraph"
"nating two existing regulations for each new one","8","13.365","False","#000000","False","paragraph"
