"line","word_count","font_size","is_bold","color","title_case","label"
"References","1","15.554","False","#000000","True","heading"
"[1] Narendra Ahuja and Sinisa Todorovic. Learning the taxonomy and models of categories present in arbi-","16","10.805","False","#000000","False","paragraph"
"trary images. In International Conference on Computer Vision, 2007.","9","10.706","False","#000000","False","paragraph"
"[2] Yoshua Bengio. Learning deep architectures for ai. Foundations and Trends","11","10.805","False","#000000","False","paragraph"
"R? in Machine Learning,","4","10.706","False","#000000","True","paragraph"
"2(1):1–127, 2009.","2","10.805","False","#000000","True","paragraph"
"[3] Dan Ciresan, Alessandro Giusti, Juergen Schmidhuber, et al. Deep neural networks segment neuronal","14","10.805","False","#000000","False","paragraph"
"membranes in electron microscopy images. In Advances in Neural Information Processing Systems 25,","13","10.706","False","#000000","False","paragraph"
"2012.","1","10.805","False","#000000","True","paragraph"
"[4] Navneet Dalal and Bill Triggs. Histograms of oriented gradients for human detection. In Computer Vision","16","10.805","False","#000000","False","paragraph"
"and Pattern Recognition, 2005.","4","10.706","False","#000000","True","paragraph"
"[5] J. Deng, W. Dong, R. Socher, L.-J. Li, K. Li, and L. Fei-Fei. ImageNet: A Large-Scale Hierarchical","18","10.805","False","#000000","False","paragraph"
"Image Database. In Computer Vision and Pattern Recognition, 2009.","9","10.706","False","#000000","True","paragraph"
"[6] John Duchi, Elad Hazan, and Yoram Singer. Adaptive subgradient methods for online learning and","15","10.805","False","#000000","False","paragraph"
"stochastic optimization. In Conference on Learning Theory. ACL, 2010.","9","10.805","False","#000000","False","paragraph"
"[7] M. Everingham, L. Van Gool, C. K. I. Williams, J. Winn, and A. Zisserman. The pascal visual object","19","10.805","False","#000000","False","paragraph"
"classes (voc) challenge. International Journal of Computer Vision, 88(2):303–338, 2010.","10","10.805","False","#000000","False","paragraph"
"[8] Cl´ement Farabet, Camille Couprie, Laurent Najman, and Yann LeCun. Learning hierarchical features","13","10.805","False","#000000","False","paragraph"
"for scene labeling. IEEE Transactions on Pattern Analysis and Machine Intelligence, 35(8):1915–1929,","12","10.706","False","#000000","False","paragraph"
"2013.","1","10.805","False","#000000","True","paragraph"
"[9] Pedro F Felzenszwalb, Ross B Girshick, David McAllester, and Deva Ramanan. Object detection with","15","10.805","False","#000000","False","paragraph"
"discriminatively trained part-based models. IEEE Transactions on Pattern Analysis and Machine Intelli-","12","10.706","False","#000000","False","paragraph"
"gence, 32(9):1627–1645, 2010.","3","10.805","False","#000000","False","paragraph"
"[10] Sanja Fidler and Aleˇs Leonardis. Towards scalable representations of object categories: Learning a hier-","15","10.805","False","#000000","False","paragraph"
"archy of parts. In Computer Vision and Pattern Recognition, 2007.","10","10.805","False","#000000","False","paragraph"
"[11] R. B. Girshick, P. F. Felzenszwalb, and D. McAllester. Discriminatively trained deformable part models,","15","10.805","False","#000000","False","paragraph"
"release 5. http://people.cs.uchicago.edu/ rbg/latent-release5/.","4","10.805","False","#000000","False","paragraph"
"[12] Geoffrey E Hinton and Ruslan R Salakhutdinov.","8","10.805","False","#000000","True","paragraph"
"works. Science, 313(5786):504–507, 2006.","4","10.805","False","#000000","False","paragraph"
"Reducing the dimensionality of data with neural net-","8","10.805","False","#000000","False","paragraph"
"[13] Iasonas Kokkinos and Alan Yuille. Inference and learning with hierarchical shape models. International","14","10.805","False","#000000","False","paragraph"
"Journal of Computer Vision, 93(2):201–225, 2011.","6","10.706","False","#000000","True","paragraph"
"[14] Alex Krizhevsky, Ilya Sutskever, and Geoff Hinton. Imagenet classiﬁcation with deep convolutional","13","10.805","False","#000000","False","paragraph"
"neural networks. In Advances in Neural Information Processing Systems 25, 2012.","11","10.706","False","#000000","False","paragraph"
"[15] Quoc V Le, Marc’Aurelio Ranzato, Rajat Monga, Matthieu Devin, Kai Chen, Greg S Corrado, Jeff Dean,","17","10.805","False","#000000","True","paragraph"
"and Andrew Y Ng. Building high-level features using large scale unsupervised learning. In International","14","10.805","False","#000000","False","paragraph"
"Conference on Machine Learning, 2012.","5","10.706","False","#000000","True","paragraph"
"[16] Yann LeCun and Yoshua Bengio. Convolutional networks for images, speech, and time series. The","15","10.805","False","#000000","False","paragraph"
"handbook of brain theory and neural networks, 1995.","8","10.706","False","#000000","False","paragraph"
"[17] Jorge S´anchez and Florent Perronnin. High-dimensional signature compression for large-scale image","12","10.805","False","#000000","False","paragraph"
"classiﬁcation. In Computer Vision and Pattern Recognition, 2011.","8","10.706","False","#000000","False","paragraph"
"[18] Hannes Schulz and Sven Behnke. Object-class segmentation using deep convolutional neural networks.","13","10.805","False","#000000","False","paragraph"
"In Proceedings of the DAGM Workshop on New Challenges in Neural Computation, 2011.","13","10.706","False","#000000","True","paragraph"
"[19] Long Zhu, Yuanhao Chen, Alan Yuille, and William Freeman. Latent hierarchical structural learning for","15","10.805","False","#000000","False","paragraph"
"object detection. In Computer Vision and Pattern Recognition, 2010.","9","10.706","False","#000000","False","paragraph"
"[20] Song Chun Zhu and David Mumford. A stochastic grammar of images. Computer Graphics and Vision,","16","10.805","False","#000000","False","paragraph"
"2(4):259–362, 2007.","2","10.805","False","#000000","True","paragraph"
"9","1","12.005","False","#000000","True","paragraph"
