"line","word_count","font_size","is_bold","color","title_case","label"
"Mr. Pierre-Loic Doulcet","3","11.53","True","#000000","True","paragraph"
"Av Haldimand 71","3","11.53","True","#000000","True","paragraph"
"Yverdon-Les-Bains 1400","2","11.53","True","#000000","True","paragraph"
"Switzerland","1","11.53","True","#000000","True","paragraph"
"Date Description","2","11.53","True","#000000","True","paragraph"
"Room No. :711","3","11.16","False","#000000","True","paragraph"
"Arrival :10-24-19","2","11.16","False","#000000","True","paragraph"
"Departure :10-31-19","2","11.16","False","#000000","True","paragraph"
"Page No. : 1 of 2","6","11.16","False","#000000","True","paragraph"
"Folio No. :458133","3","11.16","False","#000000","True","paragraph"
"Conf. No. :33046504 /","4","11.16","False","#000000","True","paragraph"
"HQTSJSNZ","1","11.16","False","#000000","True","paragraph"
"Cashier No. : 129","4","11.16","False","#000000","True","paragraph"
"User ID : 0922ROLEG","4","11.16","False","#000000","True","paragraph"
"Date :10-31-19","2","11.16","False","#000000","True","paragraph"
"Charges Credits","2","11.53","True","#000000","True","paragraph"
"Mr. Pierre-Loic Doulcet","3","11.53","True","#000000","True","paragraph"
"Av Haldimand 71","3","11.53","True","#000000","True","paragraph"
"Yverdon-Les-Bains 1400","2","11.53","True","#000000","True","paragraph"
"Switzerland","1","11.53","True","#000000","True","paragraph"
"Date Description","2","11.53","True","#000000","True","paragraph"
"Signature","1","13.836","True","#000000","True","paragraph"
"Total","1","11.53","True","#000000","True","paragraph"
"Balance","1","11.53","True","#000000","True","paragraph"
"Charges Credits","2","11.53","True","#000000","True","paragraph"
