"line","word_count","font_size","is_bold","color","title_case","label"
"Offre de : Vente","4","12.947","False","#000000","True","paragraph"
"DESCRIPTION","1","10.982","False","#000000","True","heading"
"Elle vous accueillera avec ses prestations haut de gamme par","10","10.982","False","#000000","False","paragraph"
"son beau séjour/cuisine de 44m², à l'étage elle se compose de","11","10.982","False","#000000","False","paragraph"
"deux chambres, une salle de bain ainsi qu'une chambre","9","10.982","False","#000000","False","paragraph"
"parentale avec dressing et salle d'eau. Vous disposerez de","9","10.982","False","#000000","False","paragraph"
"deux places de parking extérieur ainsi que d'un garage. Vous","10","10.982","False","#000000","False","paragraph"
"serez sur l'axe direct pour aller à Genève, à 10 minutes du","12","10.982","False","#000000","False","paragraph"
"centre de Thonon. Les commodités (boulangerie, écoles, bus,","8","10.982","False","#000000","False","paragraph"
"pharmacie…) sont accessibles à pied. Le CEVA sera à 5","10","10.982","False","#000000","False","paragraph"
"minutes en voiture. N'attendez plus et venez visiter !","9","10.982","False","#000000","False","paragraph"
"DESCRIPTIF","1","10.982","False","#000000","True","heading"
"Année de construction","3","11.098","False","#000000","False","paragraph"
"Nombre de pièces","3","11.098","False","#000000","False","paragraph"
"Nombre de chambres","3","11.098","False","#000000","False","paragraph"
"Nombre de salles de bain","5","11.098","False","#000000","False","paragraph"
"Nombre de WC","3","11.098","False","#000000","True","paragraph"
"SECTEUR","1","10.982","False","#000000","True","heading"
"INFORMATIONS","1","10.982","False","#000000","True","heading"
"Taxe Habitation","2","10.982","False","#000000","True","paragraph"
"Taxe Foncière","2","10.982","False","#000000","True","paragraph"
"SURFACES","1","10.982","False","#000000","True","heading"
"Surface habitable","2","11.098","False","#000000","False","paragraph"
"Surface du terrain","3","11.098","False","#000000","False","paragraph"
"Surface carrez","2","11.098","False","#000000","False","paragraph"
"Surface Séjour","2","11.098","False","#000000","True","paragraph"
"RDC","1","11.305","True","#000000","True","paragraph"
"Entr","1","10.982","False","#000000","True","paragraph"
"Autre surface","2","10.982","False","#000000","False","paragraph"
"Cuisine","1","10.982","False","#000000","True","paragraph"
"Chambre","1","10.982","False","#000000","True","paragraph"
"Salle de bain","3","10.982","False","#000000","True","paragraph"
"Entr","1","10.982","False","#000000","True","paragraph"
"Entr","1","10.982","False","#000000","True","paragraph"
"VOTRE AGENCE","2","10.982","False","#000000","True","heading"
"HOME ET PATRIMOINE SCIEZ Sciez","5","11.305","True","#000000","True","paragraph"
"103 Route de Marignan Sciez 74140","6","10.982","False","#000000","True","paragraph"
"Tél : 04 50 70 57 14","7","11.305","False","#000000","True","paragraph"
"Mail : contact@home-patrimoine.com","3","10.982","False","#000000","False","paragraph"
"www.home-patrimoine.com","1","10.982","False","#000000","False","paragraph"
"Mlle. Zoe GARNIER","3","11.305","True","#000000","True","paragraph"
"contact@home-patrimoine.com","1","10.982","False","#000000","False","paragraph"
"Tél : 04 50 70 57 14","7","11.305","False","#000000","True","paragraph"
"Mandat n° : 155263","4","12.947","False","#000000","True","paragraph"
"389 000 €","3","33.32","True","#000000","True","heading"
"Maison - SCIEZ - 113.85 m²","6","11.098","False","#000000","True","paragraph"
"Sciez 74140","2","22.195","False","#000000","True","heading"
": 2016","2","11.098","False","#000000","True","paragraph"
": 5","2","11.098","False","#000000","True","paragraph"
": 3","2","11.098","False","#000000","True","paragraph"
": 2","2","11.098","False","#000000","True","paragraph"
": 2","2","11.098","False","#000000","True","paragraph"
": 768€","2","10.982","False","#000000","True","paragraph"
": 670€","2","10.982","False","#000000","True","paragraph"
": 113.85 m²","3","11.424","False","#000000","True","paragraph"
": 264 m²","3","11.424","False","#000000","True","paragraph"
": 113.85 m²","3","11.424","False","#000000","True","paragraph"
": 35 m²","3","11.424","False","#000000","True","paragraph"
": 5 m²","3","11.305","True","#000000","True","paragraph"
": 3 m²","3","11.305","True","#000000","True","paragraph"
": 8 m²","3","11.305","True","#000000","True","paragraph"
": 14 m²","3","11.305","True","#000000","True","paragraph"
": 6 m²","3","11.305","True","#000000","True","paragraph"
": 5 m²","3","11.305","True","#000000","True","paragraph"
": 5 m²","3","11.305","True","#000000","True","paragraph"
"Home et Patrimoine, SIRET : 75300019900038, RCS : 753000199 , SARL au capital de 40 000 € | carte professionnelle N° CPI 7401 2018 000 026 086 délivrée par CCI de","31","8.323","False","#000000","False","paragraph"
"Haute Savoie le 2018-03-12 | Garant : QBE Insurance","9","8.323","False","#000000","True","paragraph"
"by TCPDF (www.tcpdf.org) Powered","4","1.156","False","#000000","False","paragraph"
