"line","word_count","font_size","is_bold","color","title_case","label"
"Links to sample legislation and resource documents","7","11.5","False","#000000","False","heading"
"References to the national and sub-national legislations currently in force that most closely","13","10.5","False","#000000","False","paragraph"
"conform to these best practice guidelines are provided below:","9","10.5","False","#000000","False","paragraph"
"(a) United Kingdom of Great Britain and Northern Ireland, Health Act 2006,","12","10.5","False","#000000","True","paragraph"
"http://www.opsi.gov.uk/acts/acts2006/20060028.htm","1","10.5","False","#000000","False","paragraph"
"(b) New Zealand, Smoke-free Environments Amendment Act","7","10.5","False","#000000","True","paragraph"
"2003, http://www.legislation.govt.nz/browse_vw.asp?content-set=pal_statutes","2","10.5","False","#000000","False","paragraph"
"(c) Norway, Act No. 14 of 9 March 1973 relating to Prevention of the Harmful Effects","16","10.5","False","#000000","False","paragraph"
"of Tobacco,","2","10.5","False","#000000","True","paragraph"
"http://odin.dep.no/hod/engelsk/regelverk/p20042245/042041990030/dok-","1","10.5","False","#000000","False","paragraph"
"bn.html (It should be noted, however, that the option of smoking sections is not","14","10.5","False","#000000","False","paragraph"
"recommended under these guidelines.)","4","10.5","False","#000000","False","paragraph"
"(d) Scotland,","2","10.5","False","#000000","True","paragraph"
"Act 2005,","2","10.5","False","#000000","True","paragraph"
"Smoking, Health and Social Care (Scotland)","6","10.5","False","#000000","False","paragraph"
"http://www.opsi.gov.uk/legislation/scotland/acts2005/20050013.htm","1","10.5","False","#000000","False","paragraph"
"Regulations: http://www.opsi.gov.uk/si/si2006/20061115.htm","2","10.5","False","#000000","False","paragraph"
"(e) Uruguay,","2","10.5","False","#000000","True","paragraph"
"Decreto","1","10.5","False","#000000","True","paragraph"
"40/006,","1","10.5","False","#000000","True","paragraph"
"http://www.globalsmokefreepartnership.org/files/132.doc","1","10.5","False","#000000","False","paragraph"
"(f) Ireland, Public Health (Tobacco) (Amendment) Act 2004,","8","10.5","False","#000000","False","paragraph"
"http://193.178.1.79/2004/en/act/pub/0006/index.html","1","10.5","False","#000000","False","paragraph"
"(g) Bermuda,","2","10.5","False","#000000","True","paragraph"
"Act 2005,","2","10.5","False","#000000","True","paragraph"
"Tobacco Products (Public Health) Amendment","5","10.5","False","#000000","False","paragraph"
"http://www.globalsmokefreepartnership.org/files/139.DOC","1","10.5","False","#000000","False","paragraph"
"Resource documents","2","10.5","False","#000000","False","paragraph"
"WHO policy recommendations: protection from exposure to second-hand tobacco smoke.","10","10.5","False","#000000","False","paragraph"
"Geneva, World Health Organization, 2007.","5","10.5","False","#000000","True","paragraph"
"Available at:","2","10.5","False","#000000","True","paragraph"
"http://www.who.int/tobacco/resources/publications/wntd/2007/who_protection_exposure_final","1","10.5","False","#000000","False","paragraph"
"_ 25June2007.pdf","2","10.5","False","#000000","True","paragraph"
"Tobacco smoke and involuntary smoking. IARC Monographs on the Evolution of Carcinogenic","12","10.5","False","#000000","False","paragraph"
"Risks to Humans, Vol. 83, Lyon, France, World Health Organization and International Agency","13","10.5","False","#000000","True","paragraph"
"for Research on Cancer, 2004. Available at: THIS LINK","9","10.5","False","#000000","True","paragraph"
"The health consequences of involuntary exposure to tobacco smoke: a report of the Surgeon","14","10.5","False","#000000","False","paragraph"
"General. Washington, DC, United States Department of Health and Human Services, 2006.","12","10.5","False","#000000","True","paragraph"
"Available at: http://www.surgeongeneral.gov/library/secondhandsmoke/","3","10.5","False","#000000","False","paragraph"
"1","1","9.5","False","#000000","True","paragraph"
"Proposed identification of environmental tobacco smoke as a toxic air contaminant. San","12","10.5","False","#000000","False","paragraph"
"Francisco, United States","3","10.5","False","#000000","True","paragraph"
"Resources Board, 2005.","3","10.5","False","#000000","True","paragraph"
"of America, California Environmental","4","10.5","False","#000000","True","paragraph"
"Available at: http://repositories.cdlib.org/tc/surveys/CALEPA2005/","3","10.5","False","#000000","False","paragraph"
"Protection Agency: Air","3","10.5","False","#000000","True","paragraph"
"Joint briefing paper: Proposed guidelines for the implementation of Article 8 of the WHO","14","10.5","False","#000000","False","paragraph"
"Framework Convention on Tobacco Control. Framework Convention Alliance and the Global","11","10.5","False","#000000","True","paragraph"
"Smokefree Partnership, 2007.","3","10.5","False","#000000","True","paragraph"
"Available at: http://www.fctc.org/x/documents/Article8_COP2_Briefing_English.pdf","3","10.5","False","#000000","False","paragraph"
"Global Smokefree Partnership web site. A resource on smoke free success stories and","13","10.5","False","#000000","False","paragraph"
"challenges, this link includes perspectives on smoke free policies, links to evaluation reports,","13","10.5","False","#000000","False","paragraph"
"legislation and public information campaigns, as well as implementation guidelines. Available","11","10.5","False","#000000","False","paragraph"
"at: www.globalsmokefreepartnership.org","2","10.5","False","#000000","False","paragraph"
"After the smoke has cleared: evaluation of the impact of a new smoke free law. Wellington,","16","10.5","False","#000000","False","paragraph"
"New Zealand Ministry of Health, 2006.","6","10.5","False","#000000","True","paragraph"
"Available at:","2","10.5","False","#000000","True","paragraph"
"http://www.moh.govt.nz/moh.nsf/by+unid/A9D3734516F6757ECC25723D00752D50?O","1","10.5","False","#000000","False","paragraph"
"pen","1","10.5","False","#000000","True","paragraph"
