"line","word_count","font_size","is_bold","color","title_case","label"
"TABLE 4: STATE-WISE DECADAL GROWTH RATE OF POPULATION","8","15.246","True","#000000","True","heading"
"(Per cent)","2","11.979","False","#000000","False","paragraph"
"1961-1971 1971-1981","2","12.474","True","#000000","True","heading"
"81.17 63.93","2","11.979","False","#000000","True","paragraph"
"20.90 23.10","2","11.979","False","#000000","True","paragraph"
"38.91 35.15","2","11.979","False","#000000","True","paragraph"
"34.95 23.36","2","11.979","False","#000000","True","paragraph"
"20.91 24.16","2","11.979","False","#000000","True","paragraph"
"114.59 75.55","2","11.979","False","#000000","True","paragraph"
"27.12 20.39","2","11.979","False","#000000","True","paragraph"
"27.96 39.78","2","11.979","False","#000000","True","paragraph"
"70.85 26.07","2","11.979","False","#000000","True","paragraph"
"52.93 53.00","2","11.979","False","#000000","True","paragraph"
"34.77 26.74","2","11.979","False","#000000","True","paragraph"
"29.39 27.67","2","11.979","False","#000000","True","paragraph"
"32.22 28.75","2","11.979","False","#000000","True","paragraph"
"23.04 23.71","2","11.979","False","#000000","True","paragraph"
"29.65 29.69","2","11.979","False","#000000","True","paragraph"
"22.58 23.79","2","11.979","False","#000000","True","paragraph"
"24.22 26.75","2","11.979","False","#000000","True","paragraph"
"26.29 19.24","2","11.979","False","#000000","True","paragraph"
"31.95 26.53","2","11.979","False","#000000","True","paragraph"
"29.28 27.16","2","11.979","False","#000000","True","paragraph"
"27.45 24.54","2","11.979","False","#000000","True","paragraph"
"37.53 32.46","2","11.979","False","#000000","True","paragraph"
"31.50 32.04","2","11.979","False","#000000","True","paragraph"
"24.93 48.55","2","11.979","False","#000000","True","paragraph"
"39.88 50.05","2","11.979","False","#000000","True","paragraph"
"25.05 20.17","2","11.979","False","#000000","True","paragraph"
"27.81 28.15","2","11.979","False","#000000","True","paragraph"
"21.70 23.89","2","11.979","False","#000000","True","paragraph"
"27.83 32.97","2","11.979","False","#000000","True","paragraph"
"29.38 50.77","2","11.979","False","#000000","True","paragraph"
"22.30 17.50","2","11.979","False","#000000","True","paragraph"
"36.28 31.92","2","11.979","False","#000000","True","paragraph"
"19.54 25.39","2","11.979","False","#000000","True","paragraph"
"24.42 27.45","2","11.979","False","#000000","True","paragraph"
"26.87 23.17","2","11.979","False","#000000","True","paragraph"
"‘-’: Not Available.","3","11.979","False","#000000","True","paragraph"
"Source : Registrar General of India, Ministry of Home Affairs, Government of India.","13","11.979","False","#000000","True","paragraph"
