"line","word_count","font_size","is_bold","color","title_case","label"
"YOUR E-TICKET","2","29.238","False","#000000","False","heading"
"VALLORBE > PARIS GARE LYON","5","11.088","True","#000000","True","paragraph"
"91,00 EUR","2","7.974","False","#000000","True","paragraph"
"Surname: DOULCET","2","11.961","False","#000000","True","paragraph"
"First Name: PIERRE LOIC","4","11.961","False","#000000","True","paragraph"
"Passenger: ADULT","2","9.303","False","#000000","True","paragraph"
"REFERENCE NUMBER: UMUZPV","3","12.474","True","#000000","True","paragraph"
"Customer reference number: 0029090169271559463","4","10.632","False","#000000","False","paragraph"
"No. e-ticket: 499910121","3","9.303","False","#000000","False","paragraph"
"Reinforced security in stations: identity and luggage checks are implemented on certain lines, please remember to travel with a valid identity","21","8.639","False","#000000","False","paragraph"
"document. It may take longer to access platforms due to these measures, therefore we advise you to take this into account in your travel time.","25","8.639","False","#000000","False","paragraph"
"1187","1","3.336","True","#000000","True","paragraph"
"CIV","1","4.332","True","#000000","True","paragraph"
"-","1","1.998","True","#000000","True","paragraph"
"GAGBAT2Y","1","4.332","True","#000000","True","paragraph"
"Please arrive at the indicated departure platform at least 2 minutes prior to departure.","14","8.316","True","#000000","False","paragraph"
"You have purchased your e-ticket on","6","7.974","False","#000000","False","paragraph"
"SNCF wishes you a pleasant journey!","6","10.632","False","#000000","False","paragraph"
"THIS E-TICKET CONFIRMATION IS NOT REQUIRED","6","9.702","True","#000000","False","paragraph"
"TO BE STAMPED","3","9.702","True","#000000","True","paragraph"
"HOW TO MANAGE MY BOOKING?","5","13.29","False","#000000","True","heading"
"Your trip can be canceled or exchanged until the time of departure (subject to","14","9.009","True","#000000","False","paragraph"
"conditions).","1","9.009","True","#000000","False","paragraph"
"By phone: 0033 892 35 35 35 (cost of an international call and additional charges from","16","8.639","False","#000000","False","paragraph"
"your service provider)","3","8.639","False","#000000","False","paragraph"
"On French train stations: via a ticket window or at the Borne Libre Service self-service","15","8.639","False","#000000","False","paragraph"
"terminal","1","8.639","False","#000000","False","paragraph"
"E-TICKET CONDITIONS OF USE(1)","4","13.29","False","#000000","False","heading"
"NOMINATIVE, INDIVIDUAL AND CAN NOT BE TRANSFERRED TO THIRD PARTIES","10","9.009","True","#000000","True","paragraph"
"Only valid for the train, date, class and designated route.","10","8.639","False","#000000","False","paragraph"
"To be valid, the electronic ticket confirmation should be:","9","9.009","True","#000000","False","paragraph"
"accompanied by a valid identity card with photo(2).","8","9.009","True","#000000","False","paragraph"
"presented when boarding the train and during ticket control.","9","9.009","True","#000000","False","paragraph"
"printed on white A4 paper, without changing the print size. A good quality printing","14","9.009","True","#000000","False","paragraph"
"is required.","2","9.009","True","#000000","False","paragraph"
"the ticket can be re-printed at the train station.","9","9.009","True","#000000","False","paragraph"
"To ensure timely departure of TGV and Intercités we ask you to be present on the platform","17","8.639","False","#000000","False","paragraph"
"of departure at least 2 minutes before the departure time.","10","8.639","False","#000000","False","paragraph"
"After, access to the train can no longer be guaranteed.","10","8.639","False","#000000","False","paragraph"
"We remind you that it is obligatory to label your luggage.","11","8.639","False","#000000","False","paragraph"
"(1) The electronic ticket is not valid if conditions are not met. In that case,","15","6.605","False","#000000","False","paragraph"
"SNCF reserves the right to charge you a fine corresponding to a full fare","14","6.605","False","#000000","False","paragraph"
"ticket for the train taken (see traveler's fare).","8","6.605","False","#000000","False","paragraph"
"(2) ID card, passport or residency permit","7","6.605","False","#000000","False","paragraph"
