"line","word_count","font_size","is_bold","color","title_case","label"
"TABLE 125: STATE-WISE COMPOSITION OF OUTSTANDING LIABILITIES - 1997 (Contd.)","10","15.246","False","#000000","False","heading"
"(As at end-March)","3","14.641","False","#000000","False","heading"
"States Total Market NSSF WMA","5","12.474","True","#000000","True","paragraph"
"Internal Loans from","3","12.474","True","#000000","True","paragraph"
"Debt","1","12.474","True","#000000","True","paragraph"
"RBI","1","12.474","True","#000000","True","paragraph"
"1","1","11.979","False","#000000","True","paragraph"
"2= 3 4 5","4","11.979","False","#000000","True","paragraph"
"(3 to 6)+14","3","11.979","False","#000000","True","paragraph"
"Andhra Pradesh 48.11 40.45 - 3.26","6","11.979","False","#000000","True","paragraph"
"Arunachal Pradesh 1.23 1.1 - -","6","11.979","False","#000000","True","paragraph"
"Assam","1","11.979","False","#000000","True","paragraph"
"12.69 10.02 - 2.41","4","11.979","False","#000000","True","paragraph"
"Bihar","1","11.979","False","#000000","True","paragraph"
"40.75 41.54 - -","4","11.979","False","#000000","True","paragraph"
"Chhattisgarh - - - -","5","11.979","False","#000000","True","paragraph"
"Goa","1","11.979","False","#000000","True","paragraph"
"1.4 1.02 - -","4","11.979","False","#000000","True","paragraph"
"Gujarat 19.75 17.1 - -","5","11.979","False","#000000","True","paragraph"
"Haryana 11.53 9.67 - 0.06","5","11.979","False","#000000","True","paragraph"
"Himachal Pradesh 8.02 2.94 - 4.55","6","11.979","False","#000000","True","paragraph"
"Jammu and Kashmir 11.72 4.49 - -","7","11.979","False","#000000","True","paragraph"
"Jharkhand","1","11.979","False","#000000","True","paragraph"
"- - -","3","11.979","False","#000000","True","paragraph"
"Karnataka 22.44 19.59 - -","5","11.979","False","#000000","True","paragraph"
"Kerala","1","11.979","False","#000000","True","paragraph"
"29.03 24.912 - -","4","11.979","False","#000000","True","paragraph"
"Madhya Pradesh 27.13 23.57 - -","6","11.979","False","#000000","True","paragraph"
"Maharashtra 30.47 26.07 - -","5","11.979","False","#000000","True","paragraph"
"Manipur","1","11.979","False","#000000","True","paragraph"
"2.17 1.61 - 0.26","4","11.979","False","#000000","True","paragraph"
"Meghalaya 1.36 1.38 - -","5","11.979","False","#000000","True","paragraph"
"Mizoram 1.17 0.46 - 0.27","5","11.979","False","#000000","True","paragraph"
"Nagaland 2.99 2.6 - -","5","11.979","False","#000000","True","paragraph"
"Odisha","1","11.979","False","#000000","True","paragraph"
"34.04 27.58 - 4.4","4","11.979","False","#000000","True","paragraph"
"Punjab","1","11.979","False","#000000","True","paragraph"
"19.18 10.93 - 1.03","4","11.979","False","#000000","True","paragraph"
"Rajasthan 36.77 28.63 - 4.99","5","11.979","False","#000000","True","paragraph"
"Sikkim","1","11.979","False","#000000","True","paragraph"
"0.16 - - -","4","11.979","False","#000000","True","paragraph"
"Tamil Nadu 34.11 31.41 - -","6","11.979","False","#000000","True","paragraph"
"Tripura","1","11.979","False","#000000","True","paragraph"
"2.3 1.89 - -","4","11.979","False","#000000","True","paragraph"
"Uttaranchal","1","11.979","False","#000000","True","paragraph"
"- - -","3","11.979","False","#000000","True","paragraph"
"Uttar Pradesh 80.62 74.89 - 4.34","6","11.979","False","#000000","True","paragraph"
"West Bengal 34.23 32.19 - -","6","11.979","False","#000000","True","paragraph"
"NCT Delhi","2","11.979","False","#000000","True","paragraph"
"- - -","3","11.979","False","#000000","True","paragraph"
"ALL STATES 513.38 436.02 - 25.57","6","11.979","False","#000000","True","paragraph"
"2 Includes `2.45 crore outstanding under “Market Loan Suspense”.","9","11.979","False","#000000","False","paragraph"
"445","1","14.641","False","#000000","True","paragraph"
"Loans Loans Loans","3","12.474","True","#000000","True","paragraph"
"from from from","3","12.474","True","#000000","True","paragraph"
"Banks LIC GIC","3","12.474","True","#000000","True","paragraph"
"& FIs","2","12.474","True","#000000","True","paragraph"
"6= 7 8","3","11.979","False","#000000","True","paragraph"
"(7 to13)","2","11.979","False","#000000","False","paragraph"
"4.4 2.62 -","3","11.979","False","#000000","True","paragraph"
"0.13 - -","3","11.979","False","#000000","True","paragraph"
"0.26 0.08 -","3","11.979","False","#000000","True","paragraph"
"0.19 -","2","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"0.38 0.31 -","3","11.979","False","#000000","True","paragraph"
"2.64 1.17 -","3","11.979","False","#000000","True","paragraph"
"1.8 0.55 -","3","11.979","False","#000000","True","paragraph"
"0.53 0.13 -","3","11.979","False","#000000","True","paragraph"
"7.23 0.66 -","3","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"2.86 1.22 -","3","11.979","False","#000000","True","paragraph"
"4.11 1.77 -","3","11.979","False","#000000","True","paragraph"
"3.56 0.38 -","3","11.979","False","#000000","True","paragraph"
"4.39 0.21 -","3","11.979","False","#000000","True","paragraph"
"0.29 0.08 -","3","11.979","False","#000000","True","paragraph"
"0.04 -","2","11.979","False","#000000","True","paragraph"
"0.43 0.11 -","3","11.979","False","#000000","True","paragraph"
"0.39 0.24 -","3","11.979","False","#000000","True","paragraph"
"2.06 0.56 -","3","11.979","False","#000000","True","paragraph"
"7.23 0.17 -","3","11.979","False","#000000","True","paragraph"
"3.16 0.57 -","3","11.979","False","#000000","True","paragraph"
"0.16 0.03 -","3","11.979","False","#000000","True","paragraph"
"2.7 1.3 -","3","11.979","False","#000000","True","paragraph"
"0.41 0.41 -","3","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"1.34 0.6 -","3","11.979","False","#000000","True","paragraph"
"2.04 0.77 -","3","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"51.06 14.18 -","3","11.979","False","#000000","True","paragraph"
"(` Billion)","2","11.979","False","#000000","True","paragraph"
"Loans Loans Loans","3","12.474","True","#000000","True","paragraph"
"from from SBI from","4","12.474","True","#000000","True","paragraph"
"NABARD & Other NCDC","4","12.474","True","#000000","True","paragraph"
"Banks","1","12.474","True","#000000","True","paragraph"
"9 10 11","3","11.979","False","#000000","True","paragraph"
"0.91 - 0.25","3","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"0.01 0.24","2","11.979","False","#000000","True","paragraph"
"-0.36 0.2","2","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"0.07 - -","3","11.979","False","#000000","True","paragraph"
"1.11 - 0.44","3","11.979","False","#000000","True","paragraph"
"0.64 - 0.49","3","11.979","False","#000000","True","paragraph"
"0.05 - 0.25","3","11.979","False","#000000","True","paragraph"
"0.02 6.08 -","3","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"0.89 - 0.69","3","11.979","False","#000000","True","paragraph"
"0.48 - 1.45","3","11.979","False","#000000","True","paragraph"
"1.86 - 1.28","3","11.979","False","#000000","True","paragraph"
"0.02 2.89","2","11.979","False","#000000","True","paragraph"
"- 0.09","2","11.979","False","#000000","True","paragraph"
"- 0.03","2","11.979","False","#000000","True","paragraph"
"- 0.03","2","11.979","False","#000000","True","paragraph"
"- 0.04","2","11.979","False","#000000","True","paragraph"
"0.66 - 0.2","3","11.979","False","#000000","True","paragraph"
"0.71 5.9 0.46","3","11.979","False","#000000","True","paragraph"
"1.64 - 0.81","3","11.979","False","#000000","True","paragraph"
"- 0.01","2","11.979","False","#000000","True","paragraph"
"0.6 - 0.68","3","11.979","False","#000000","True","paragraph"
"- 0.02","2","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"0.18 0.03","2","11.979","False","#000000","True","paragraph"
"0.06 - 0.51","3","11.979","False","#000000","True","paragraph"
"- -","2","11.979","False","#000000","True","paragraph"
"8.21 11.83 11.08","3","11.979","False","#000000","True","paragraph"
