"line","word_count","font_size","is_bold","color","title_case","label"
"Sl. Name of Name of District","6","13.437","True","#000000","True","paragraph"
"No. State/UT","2","13.437","True","#000000","True","paragraph"
"West Bengal Bankura","3","13.437","True","#000000","True","paragraph"
"Sl. Name of Name of District","6","13.437","True","#000000","True","paragraph"
"No State/UT","2","13.437","True","#000000","True","paragraph"
"Madhubani","1","13.437","True","#000000","True","paragraph"
"1 Bihar Madhubani","3","13.437","True","#000000","True","paragraph"
"Katihar","1","13.437","True","#000000","True","paragraph"
"Disease/ Illness No. No. of","5","13.437","True","#000000","True","paragraph"
"of Deaths","2","13.437","True","#000000","True","paragraph"
"Cases","1","13.437","True","#000000","True","paragraph"
"xix. Acute","2","13.437","True","#000000","True","paragraph"
"Diarrhoeal 46 0","3","13.245","False","#000000","True","paragraph"
"Disease","1","13.437","True","#000000","True","paragraph"
"xx. Acute","2","13.437","True","#000000","True","paragraph"
"Diarrhoeal 34 0","3","13.245","False","#000000","True","paragraph"
"Disease","1","13.437","True","#000000","True","paragraph"
"Date of Date of Current","5","13.437","True","#000000","True","paragraph"
"start of reporting Status","4","13.437","True","#000000","False","paragraph"
"outbreak","1","13.437","True","#000000","False","paragraph"
"Under","1","13.245","False","#000000","True","paragraph"
"Control","1","13.245","False","#000000","True","paragraph"
"10/11/13 15/11/13","2","13.245","False","#000000","True","paragraph"
"Under","1","13.245","False","#000000","True","paragraph"
"Control","1","13.245","False","#000000","True","paragraph"
"10/11/13 14/11/13","2","13.245","False","#000000","True","paragraph"
"Comments/ Action taken","3","13.437","True","#000000","False","paragraph"
"Cases of loose motion and vomiting reported from Village","9","13.245","False","#000000","False","paragraph"
"Daldali, SC Binodnagar, Block Onda, District Bankura. District","8","13.245","False","#000000","True","paragraph"
"RRT and Block health team investigated the outbreak. Active","9","13.245","False","#000000","False","paragraph"
"search for cases done. Cases treated at local health centre. 2 stool","12","13.245","False","#000000","False","paragraph"
"samples collected were negative for cholera culture. Out of 3","10","13.245","False","#000000","False","paragraph"
"water samples collected 1 sample was non potable. Chlorination","9","13.245","False","#000000","False","paragraph"
"of water sources done. Health education given regarding safe","9","13.245","False","#000000","False","paragraph"
"drinking water and sanitation.","4","13.245","False","#000000","False","paragraph"
"Cases of loose motion and vomiting reported from Village","9","13.245","False","#000000","False","paragraph"
"Icharia, SC Mankhamar, Block Onda, District Bankura. District","8","13.245","False","#000000","True","paragraph"
"RRT and Block health team investigated the outbreak. House to","10","13.245","False","#000000","False","paragraph"
"house survey done. All cases treated locally. 4 stool samples","10","13.245","False","#000000","False","paragraph"
"collected were negative for cholera culture. Out of 34 water","10","13.245","False","#000000","False","paragraph"
"samples collected, 8 samples were non potable. Chlorination of","9","13.245","False","#000000","False","paragraph"
"water sources done. Health education given regarding safe","8","13.245","False","#000000","False","paragraph"
"drinking water and sanitation.","4","13.245","False","#000000","False","paragraph"
"DISEASE OUTBREAKS OF PREVIOUS WEEKS REPORTED LATE","7","13.437","True","#000000","True","paragraph"
"Disease/ Illness Cases Deaths Date of Current","7","13.437","True","#000000","True","paragraph"
"Comments/ Action taken","3","13.437","True","#000000","False","paragraph"
"start of Status","3","13.437","True","#000000","False","paragraph"
"outbreak","1","13.437","True","#000000","False","paragraph"
"Cases of diarrhoea and vomiting reported from Village Indra Mandal tola, SC","12","13.245","False","#000000","False","paragraph"
"xxi. Acute","2","13.437","True","#000000","True","paragraph"
"Sugapatti, PHC Phulparas, District Madhubani. District RRT investigated the","9","13.245","False","#000000","False","paragraph"
"Diarrhoeal 69 0 30/09/13","4","13.245","False","#000000","True","paragraph"
"Under outbreak. House to house survey done. Medical camp organized.","10","13.245","False","#000000","False","paragraph"
"Disease","1","13.437","True","#000000","True","paragraph"
"Control Symptomatic treatement given to cases. ORS packets and halogen tablets","11","13.245","False","#000000","False","paragraph"
"distributed in the community. Chlorination of water sources done. IEC done","11","13.245","False","#000000","False","paragraph"
"regarding safe drinking water and sanitation.","6","13.245","False","#000000","False","paragraph"
"Cases of diarrhoea and vomiting reported from Village/SC Rupauli, PHC","10","13.245","False","#000000","False","paragraph"
"xxii. Acute","2","13.437","True","#000000","False","paragraph"
"Jhanjharpur, District Madhubani. District RRT and Block health team","9","13.245","False","#000000","False","paragraph"
"Diarrhoeal 30 1 28/10/13","4","13.245","False","#000000","True","paragraph"
"Under investigated the outbreak. Active search for cases done. Medical camp","11","13.245","False","#000000","False","paragraph"
"Disease","1","13.437","True","#000000","True","paragraph"
"Control organized. All cases treated. One death occurred in 14yr old female child.","13","13.245","False","#000000","False","paragraph"
"ORS packets and halogen tablets distributed. Chlorination of water sources","10","13.245","False","#000000","False","paragraph"
"done. IEC activity regarding safe drinking water done.","8","13.245","False","#000000","False","paragraph"
"Cases of diarrhoea reported from Village Ahuta, Alipur, SC Lachhor,","10","13.245","False","#000000","False","paragraph"
"xxiii. Acute","2","13.437","True","#000000","False","paragraph"
"PHC/Block Balrampur, District Katihar. District RRT investigated the","8","13.245","False","#000000","False","paragraph"
"Diarrhoeal 13 3 24/10/13","4","13.245","False","#000000","True","paragraph"
"Under outbreak. House to house survey done. Cases occurred in a Adiwasi","12","13.245","False","#000000","False","paragraph"
"Disease","1","13.437","True","#000000","True","paragraph"
"control community. 3 deaths occurred in 45yr, 35yr and 5yr old male. Temporary","13","13.245","False","#000000","False","paragraph"
"medical camps organized. All cases treated symptomatically. Chlorination of","9","13.245","False","#000000","False","paragraph"
"water sources done. Health education given.","6","13.245","False","#000000","False","paragraph"
"5","1","12.812","False","#000000","True","paragraph"
