"line","word_count","font_size","is_bold","color","title_case","label"
"DoYouSpain.com Bono de Prepago","4","20.034","True","#000000","True","heading"
"Reserva DYS-33351183","2","20.034","True","#000000","True","heading"
"de CAR","2","13.63","False","#000000","True","paragraph"
"principal","1","13.63","False","#000000","False","paragraph"
"hacia","1","13.63","False","#000000","False","paragraph"
"Tarradellas. derecha","2","13.63","False","#000000","False","paragraph"
"la","1","13.63","False","#000000","True","paragraph"
"DoYouSpain:","1","14.31","True","#000000","True","paragraph"
"una por","2","15.741","True","#000000","True","paragraph"
"modificar","1","15.741","True","#000000","False","paragraph"
"DoYouSpain.com","1","17.172","True","#000000","True","heading"
"Condiciones Generales de Record","4","17.172","True","#000000","True","heading"
"Requisitos de edad:","3","14.31","True","#000000","False","heading"
"Edad mínima 19 años con 1 año de carné para los grupos pequeños y medianos.","15","13.63","False","#000000","False","paragraph"
"Edad mínima 21 años con 1 año de carné para el resto de grupos.","14","13.63","False","#000000","False","paragraph"
"Suplemento conductor joven (19-20 años): 9 €/día, máx. 108 €.","10","13.63","False","#000000","False","paragraph"
"Suplemento conductor joven (21-24 años): 7 €/día min.14 € max.84 €.","11","13.63","False","#000000","False","paragraph"
"Suplemento conductor joven para vehículos automáticos de lujo: 25 €/día, max. 300 €.","13","13.63","False","#000000","False","paragraph"
"Los conductores senior (70+ años) disponen de dos opciones. Puede, o bien abonar el suplemento de","16","13.63","False","#000000","False","paragraph"
"conductor senior, o contratar el Total Confort Cover del proveedor.","10","13.63","False","#000000","False","paragraph"
"Suplemento conductor senior (70+ años) 7 €/día min 14 €, máx. 84 € para vehículos","15","13.63","False","#000000","False","paragraph"
"pequeños/medianos/famialiares/monovolúmenes y 25 €/día, max. 300 € vehículos automáticos de lujo.","11","13.63","False","#000000","False","paragraph"
"El coste del Total Comfort Cover es 77.00 €.","9","13.63","False","#000000","False","paragraph"
"Permiso de conducir internacional:","4","14.31","True","#000000","False","heading"
"En caso de que no disponga de un permiso de conducir de la Unión Europea, es necesario presentar","18","13.63","False","#000000","False","paragraph"
"junto a su carnet de conducir original un permiso de conducir internacional para alquilar un vehículo.","16","13.63","False","#000000","False","paragraph"
"Los carnés de conducir con caracteres no romanos o los carnés pertenecientes a países de fuera de","17","13.63","False","#000000","False","paragraph"
"la UE deben ir acompañados de un permiso internacional o de una traducción oficial.","14","13.63","False","#000000","False","paragraph"
"Conductor adicional:","2","14.31","True","#000000","False","heading"
"Conductor adicional 7.95 € por día, máximo 94.5 € por alquiler (precio para cada conductor adicional).","16","13.63","False","#000000","False","paragraph"
"Número máximo de conductores adicionales por alquiler: 3.","8","13.63","False","#000000","False","paragraph"
"Pago:","1","14.31","True","#000000","True","heading"
"Se necesita una tarjeta de crédito (Visa o Mastercard) a nombre del conductor principal para recoger","16","13.63","False","#000000","False","paragraph"
"el vehículo. No se aceptarán tarjetas no nominativas. Esta compañía no acepta tarjetas de prepago,","15","13.63","False","#000000","False","paragraph"
"recargables ni virtuales, ni cualquier otro tipo de tarjeta que no tenga el estampado en relieve.","16","13.63","False","#000000","False","paragraph"
"Este proveedor acepta el pago con tarjeta de débito, siempre que sea Visa o Mastercard, y EC-Karte.","17","13.63","False","#000000","False","paragraph"
"En este caso, la fianza será cobrada, no bloqueada.","9","13.63","False","#000000","False","paragraph"
"Se aceptará American Express si se contrata la Total Comfort Cover del proveedor (excepto para las","16","13.63","False","#000000","False","paragraph"
"categorías del Range Rover Evoque (manual y automático); en estos casos no se aceptará el pago","16","13.63","False","#000000","False","paragraph"
"mediante American Express.)","3","13.63","False","#000000","False","paragraph"
"La cobertura Total Comfort Cover también es obligatoria si el conductor principal no es el titular de la","18","13.63","False","#000000","False","paragraph"
"tarjeta.","1","13.63","False","#000000","False","paragraph"
"No se aceptan tarjetas de prepago ni EC-Karte.","8","13.63","False","#000000","False","paragraph"
"Seguro:","1","14.31","True","#000000","True","heading"
"El seguro incluye un seguro por colisión sujeto a una franquicia. El importe de la franquicia es: 1400 €.","19","13.63","False","#000000","False","paragraph"
"Puede contratar la cobertura para quitar la franquicia en la oficina local cuando recoge el coche por","17","13.63","False","#000000","False","paragraph"
"38.50 € día. O también puede contratar con DoYouSpain un seguro de reembolso de franquicia por","16","13.63","False","#000000","False","paragraph"
"tan solo 9.45 € por día - Total para su reserva: 18.90 €. Si prefiere no contratar el seguro ofrecido por","21","13.63","False","#000000","False","paragraph"
"el proveedor RECORD, le pedirán de la tarjeta de crédito un depósito de 1400.00 €.","15","13.63","False","#000000","False","paragraph"
"Por favor, tenga en cuenta que para los grupos Range Rover Evoque, 7 plazas automático, Jaguar F","17","13.63","False","#000000","False","paragraph"
"Pace y los premium automáticos, si contrata la Total Comfort Cover del proveedor la franquicia se","16","13.63","False","#000000","False","paragraph"
"reducirá a 1000 € que se cobrará de su tarjeta como depósito.","12","13.63","False","#000000","False","paragraph"
"Kilometraje:","1","14.31","True","#000000","True","heading"
"Kilometraje limitado: 160km. por día.Precio por kilómetro extra: 0.45 €.","10","13.63","False","#000000","False","paragraph"
"Tenga en cuenta que si devuelve el coche antes de lo esperado siempre se aplicará el límite de","18","13.63","False","#000000","False","paragraph"
