"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"The Contract of Insurance","1","1","0","1","2","4","0","0","2","0","heading"
"This policy, The Schedule, the enclosed Institute Clauses and the information You provided to Us when applying","0","0","0","1","3","17","0","3","6","0","paragraph"
"for this insurance together with any additional information supplied subsequently form the basis on which this","0","0","0","1","0","16","0","2","3","0","paragraph"
"contract has been arranged.","0","0","0","1","0","4","0","1","1","0","paragraph"
"The policy is not valid unless The Schedule is attached to the policy and has been countersigned by an authorised","0","0","0","1","3","20","0","3","3","0","paragraph"
"official of the Company and bears the Company’s stamp.","0","0","0","1","3","9","0","1","3","0","paragraph"
"Important","1","1","0","1","2","1","0","0","0","0","heading"
"This policy is a legal contract. You must tell Us about any facts or changes which affect Your insurance and which","0","0","0","1","3","21","0","3","7","0","paragraph"
"have occurred either since the policy started or since the last renewal date. If You are not sure whether certain","0","0","0","1","3","20","0","2","3","0","paragraph"
"facts are relevant, please ask Your insurance adviser or local Aviva office. If You do not tell Us about relevant","0","0","0","1","3","20","0","2","5","0","paragraph"
"changes, Your policy may not be valid or the policy may not cover You fully.","0","0","0","1","3","15","0","3","3","0","paragraph"
"You should keep a written record (including copies of letters) of any information You give Us or Your insurance","0","0","0","1","3","19","0","5","8","0","paragraph"
"adviser when You renew this policy.","0","0","0","1","3","6","0","1","3","0","paragraph"
"Aviva Insurance Limited","0","0","0","1","2","3","0","0","1","0","paragraph"
"PO Box 6, Surrey Street Norwich NR1 3NS","0","0","0","1","2","8","0","0","2","0","paragraph"
"Registered in Scotland No 2116","0","0","0","1","2","5","0","1","2","0","paragraph"
"Registered Office: Pitheavlis, Perth, Scotland, PH2 0NH","0","0","0","1","2","7","0","0","5","1","paragraph"
"BCIMM9356_F_97000743_POB.indd","0","0","0","1","2","1","0","0","1","0","paragraph"
"Authorised and regulated by the Financial Services Authority.","0","0","0","1","3","8","0","2","1","0","paragraph"
"1","0","0","0","1","2","1","1","0","0","1","paragraph"
"10/07/2012 12:01","0","0","0","1","2","2","0","0","0","0","paragraph"
"Introduction","1","1","0","1","2","1","0","0","1","0","heading"
"Welcome to Aviva. We are committed to providing a first-class service. Aviva is the UK’s largest insurer with over","0","0","0","1","3","19","0","2","5","0","paragraph"
"200 years’ experience in the insurance industry.","0","0","0","1","0","7","0","0","2","0","paragraph"
"This is your insurance policy which sets out your insurance protection in detail. Your premium has been calculated","0","0","0","1","3","18","0","2","4","0","paragraph"
"on the basis of the extent of cover you have selected which is specified in the schedule, the information you have","0","0","0","1","0","21","0","2","6","0","paragraph"
"provided and the declaration you have made.","0","0","0","1","0","7","0","2","2","0","paragraph"
"Please read the policy and the schedule carefully to ensure that the cover meets your requirements. Please","0","0","0","1","3","17","0","3","4","0","paragraph"
"contact your insurance adviser if you have any questions or if you wish to make adjustments.","0","0","0","1","0","16","0","3","5","0","paragraph"
"Contents","1","1","0","1","2","1","0","0","1","0","heading"
"This policy consists of individual sections. You should read this policy in conjunction with the schedule which","0","0","0","1","3","17","0","3","6","0","paragraph"
"confirms the sections you are insured under and gives precise details of the extent of your insurance protection.","0","0","0","1","0","18","0","3","5","0","paragraph"
"Contact details for claims and help","1","1","0","1","3","6","0","0","3","0","heading"
"Services","1","1","0","1","2","1","0","0","1","0","heading"
"As an Aviva customer, you can access additional services to help you keep your business running smoothly. For","0","0","0","1","3","18","0","5","5","0","paragraph"
"our joint protection telephone calls may be recorded and/or monitored.","0","0","0","1","0","10","0","3","1","0","paragraph"
