"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Proceedings of the Twenty-Ninth International","0","0","0","1","2","5","0","0","2","0","paragraph"
"Florida Artificial Intelligence Research Society Conference","0","0","0","1","2","6","0","0","1","0","paragraph"
"TAO: System for Table Detection and Extraction from PDF Documents","0","1","0","1","2","10","0","0","4","0","heading"
"Martha O. Perez-Arriaga, Trilce Estrada, and Soraya Abad-Mota","0","1","0","1","2","8","0","0","3","0","heading"
"Departments of Computer Science, and Electrical and Computer Engineering","0","0","0","1","2","9","0","0","3","0","paragraph"
"University of New Mexico","0","0","0","1","2","4","0","0","2","0","paragraph"
"{marperez, estrada, soraya}@cs.unm.edu","0","0","0","1","0","3","0","0","1","0","paragraph"
"Abstract","0","0","0","1","2","1","0","0","1","0","heading"
"Digital documents present knowledge in most areas of","0","0","0","1","3","8","0","0","3","0","paragraph"
"study, exchanging and communicating information in a","0","0","0","1","0","7","0","2","2","0","paragraph"
"portable way. To better use the knowledge embedded","0","0","0","1","3","8","0","2","2","0","paragraph"
"in an ever-growing information source, effective tools","0","0","0","1","0","7","0","1","1","0","paragraph"
"for automatic information extraction are needed. Tables","0","0","0","1","3","7","0","1","2","0","paragraph"
"are crucial information elements in documents of sci-","0","0","0","1","0","8","0","0","3","0","paragraph"
"entiﬁc nature. Most publications use tables to represent","0","0","0","1","3","8","0","2","3","0","paragraph"
"and report concrete ﬁndings of research. Current meth-","0","0","0","1","3","8","0","1","2","0","paragraph"
"ods used to extract table data from PDF documents lack","0","0","0","1","3","10","0","3","3","0","paragraph"
"precision in detecting, extracting, and representing data","0","0","0","1","0","7","0","2","3","0","paragraph"
"from diverse layouts.","0","0","0","1","0","3","0","0","1","0","paragraph"
"We present the system TAble Organization (TAO) to","0","0","0","0","3","8","0","1","4","0","paragraph"
"automatically detect, extract and organize information","0","0","0","1","0","6","0","3","1","0","paragraph"
"from tables in PDF documents. TAO uses a process-","0","0","0","1","3","9","0","1","4","0","paragraph"
"ing, based on the k-nearest neighbor method and lay-","0","0","0","1","0","9","0","1","2","0","paragraph"
"out heuristics, to detect tables within a document and to","0","0","0","1","0","10","0","1","3","0","paragraph"
"extract table information. This system generates an en-","0","0","0","1","3","8","0","1","3","0","paragraph"
"riched representation of the data extracted from tables","0","0","0","1","0","8","0","2","3","0","paragraph"
"in the PDF documents. TAO’s performance is compara-","0","0","0","1","3","8","0","0","2","0","paragraph"
"ble to other table extraction methods, but it overcomes","0","0","0","1","0","9","0","2","2","0","paragraph"
"some related work limitations and proves to be more ro-","0","0","0","1","0","10","0","1","1","0","paragraph"
"bust in experiments with diverse document layouts.","0","0","0","1","0","7","0","0","3","0","paragraph"
"1 Introduction","0","1","0","1","2","2","0","0","1","1","heading"
"Scientiﬁc digital documents allow us to present and share in-","0","0","0","1","3","10","0","3","2","0","paragraph"
"formation in different areas of knowledge. The ever-growing","0","0","0","1","3","8","0","1","3","0","paragraph"
"numberofdocumentsavailableontheInternetmakesitdifﬁ-","0","0","0","1","3","1","0","0","1","0","paragraph"
"cult to analyze them at the same pace they are produced. The","0","0","0","1","3","12","0","2","4","0","paragraph"
"myriad topics and ways in which digital documents present","0","0","0","1","0","9","0","0","3","0","paragraph"
"the information hinder the extraction and management of","0","0","0","1","0","8","0","1","2","0","paragraph"
"their contents.","0","0","0","1","0","2","0","0","1","0","paragraph"
"Scientiﬁc publications use tables to represent results and","0","0","0","1","3","8","0","2","3","0","paragraph"
"associations. Tables are simple representations of informa-","0","0","0","1","3","7","0","0","4","0","paragraph"
"tion that show relationships between concepts. People iden-","0","0","0","1","3","8","0","1","4","0","paragraph"
"tify tables within documents easily, but given the number of","0","0","0","1","0","10","0","2","3","0","paragraph"
"documents to analyze, the identiﬁcation is time consuming.","0","0","0","1","0","8","0","2","1","0","paragraph"
"Performingthistaskautomaticallyisdifﬁcultduetothevari-","0","0","0","1","2","1","0","0","1","0","paragraph"
"ety of document formats (e.g., PDF, HTML), tables’ layouts","0","0","0","1","3","9","0","0","3","0","paragraph"
"and types of information.","0","0","0","1","0","4","0","0","2","0","paragraph"
"The main challenge in detecting tables in digital docu-","0","0","0","1","3","9","0","1","3","0","paragraph"
"ments is that tables are mixed with other elements, such","0","0","0","1","0","10","0","1","3","0","paragraph"
"Copyright c? 2016, Association for the Advancement of Artiﬁcial","0","0","0","1","2","9","0","0","4","0","paragraph"
"Intelligence (www.aaai.org). All rights reserved.","0","0","0","1","3","5","0","1","2","0","paragraph"
"as ﬁgures and text. Also, the PDF documents present more","0","0","0","1","3","10","0","1","3","0","paragraph"
"challenges to detect tables due to the lack of table tags. Our","0","0","0","1","3","12","0","1","4","0","paragraph"
"approach focuses on PDF documents.","0","0","0","1","3","5","0","1","2","0","paragraph"
"Current methods (Liu et al. 2007; Oro and Ruffolo 2009)","0","0","0","1","3","10","0","0","3","0","paragraph"
"for automatic table detection and extraction in PDF docu-","0","0","0","1","3","9","0","0","3","0","paragraph"
"ments are useful, but still have some restrictions. These re-","0","0","0","1","3","10","0","0","2","0","paragraph"
"strictions include detection of tables only in documents with","0","0","0","1","0","9","0","1","4","0","paragraph"
"single column, detection relying on patterns not present in","0","0","0","1","0","9","0","1","3","0","paragraph"
"all tables, and extraction lacking elements needed to accu-","0","0","0","1","0","9","0","2","3","0","paragraph"
"rately reconstruct the information provided in a table. To","0","0","0","1","3","9","0","2","2","0","paragraph"
"overcome these limitations, we propose the TAble Organi-","0","0","0","0","3","8","0","2","3","0","paragraph"
"zation (TAO) system that not only provides automatic table","0","0","0","0","3","9","0","1","2","0","paragraph"
"detectionandextractionindigitaldocuments,butalsogener-","0","0","0","1","0","1","0","0","1","0","paragraph"
"ates a detailed representation of table elements for structural","0","0","0","1","0","9","0","0","3","0","paragraph"
"and functional analyses.","0","0","0","1","0","3","0","0","1","0","paragraph"
"TAO is efﬁcient, comprehensive and robust. It is efﬁcient","0","0","0","1","3","9","0","0","2","0","paragraph"
"because it takes advantage of the structure formed by tables,","0","0","0","1","0","10","0","2","4","0","paragraph"
"avoiding an exhaustive search of table elements where there","0","0","0","1","0","9","0","1","2","0","paragraph"
"is no such structure. It is comprehensive because it discovers","0","0","0","1","3","10","0","1","3","0","paragraph"
"metadata (e.g., header, font, data type, coordinates) and data","0","0","0","1","0","9","0","0","6","0","paragraph"
"from tables embedded in a document. Finally, TAO is robust","0","0","0","1","3","10","0","1","3","0","paragraph"
"because it does not depend on ﬁxed patterns or layouts to","0","0","0","1","0","11","0","1","3","0","paragraph"
"detect tables, and it is able to detect them on different lay-","0","0","0","1","0","12","0","2","3","0","paragraph"
"out documents (see Section 2). Even though scientiﬁc pub-","0","0","0","1","3","9","0","1","3","0","paragraph"
"lications are an important target for TAO, its methods serve","0","0","0","1","3","10","0","1","4","0","paragraph"
"the purpose of extracting information from any PDF doc-","0","0","0","1","3","9","0","1","3","0","paragraph"
"ument containing tables. TAO is compared to related work","0","0","0","1","3","9","0","2","3","0","paragraph"
"(see Sections 3,4). TAO’s output portable format facilitates","0","0","0","1","3","8","0","2","2","0","paragraph"
"information organization and sharing, and further analysis","0","0","0","1","0","7","0","0","3","0","paragraph"
"(see Section 5).","0","0","0","1","2","3","0","1","0","0","paragraph"
"Our main contributions are: 1) an adaptive method to de-","0","0","0","1","3","10","0","0","2","1","paragraph"
"tect and extract tables’ information, 2) an annotated repre-","0","0","0","1","0","9","0","3","2","1","paragraph"
"sentation of the information extracted from tables for further","0","0","0","1","0","9","0","1","3","0","paragraph"
"structural, functional, and semantic analyses, and 3) a web-","0","0","0","1","0","9","0","0","2","1","paragraph"
"based prototype of the system at http://integra.cs.unm.edu.","0","0","0","1","0","7","0","1","3","0","paragraph"
"2 Table Detection and Extraction","0","1","0","1","2","5","0","0","2","1","heading"
"The TAble Organization (TAO) system is capable of detect-","0","0","0","1","3","9","0","0","1","0","paragraph"
"ing and recognizing tables within PDF documents. Table","0","0","0","0","3","8","0","1","3","0","paragraph"
"detection is the process of identifying tables from a docu-","0","0","0","0","0","10","0","1","4","0","paragraph"
"ment, and table recognition of identifying and extracting the","0","0","0","0","0","9","0","2","1","0","paragraph"
"cells contained in a table (Hu et al. 1999). To acomplish this","0","0","0","1","3","12","0","2","2","0","paragraph"
"processing, TAO combines a supervised machine learning","0","0","0","1","3","7","0","1","2","0","paragraph"
"method with layout heuristics, and consists of three main","0","0","0","1","0","9","0","1","2","1","paragraph"
"591","0","0","0","1","2","1","1","0","0","1","paragraph"
"modules: 1) document conversion, 2) table detection, and 3)","0","0","0","1","0","9","0","0","2","3","paragraph"
"table extraction, (see Figure 1).","0","0","0","1","3","5","0","1","0","1","paragraph"
"TAO’s input is a PDF document. Using PDFMiner, the","0","0","0","1","3","9","0","1","3","0","paragraph"
"PDF document is converted to an XML format contain-","0","0","0","1","3","9","0","1","2","0","paragraph"
"ing all elements in the document (e.g., characters, ﬁgure’s","0","0","0","1","0","9","0","1","3","0","paragraph"
"placeholders, layouts). PDFMiner’s output includes separate","0","0","0","1","3","6","0","1","3","0","paragraph"
"XML tags for every character and every space. The second","0","0","0","1","3","10","0","0","3","0","paragraph"
"module, table detection, parses this large XML ﬁle and iden-","0","0","0","1","3","10","0","1","3","0","paragraph"
"tiﬁes table candidates, storing them in a per-page fashion.","0","0","0","1","0","9","0","1","3","0","paragraph"
"The third module, table extraction, uses the table candidates","0","0","0","1","3","9","0","1","3","0","paragraph"
"to ﬁnd particular cells and their content. Once the tables","0","0","0","1","3","10","0","0","4","0","paragraph"
"are identiﬁed, this module augments tables with informa-","0","0","0","1","0","8","0","1","2","0","paragraph"
"tion regarding their metadata and position within the doc-","0","0","0","1","0","9","0","1","4","0","paragraph"
"ument. TAO’s output is a JSON document with the table’s","0","0","0","1","3","10","0","0","3","0","paragraph"
