"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Table 324. Arrests by Sex and Age: 2009","1","1","0","1","2","8","0","0","4","1","heading"
"[In thousands (11,062.6 represents 11,062,600) For year ending December 31. Based on Uniform Crime Reporting (UCR)","0","0","0","1","3","16","0","3","4","2","paragraph"
"Program. Represents arrests reported (not charged) by 12,910 agencies with a total population of 247,526,916 as estimated","0","0","0","1","3","17","0","4","4","2","paragraph"
"by the FBI. Some persons may be arrested more than once during a year, therefore, the data in this table, in some cases,","0","0","0","1","3","23","0","2","6","0","paragraph"
"could represent multiple arrests of the same person. See text, this section and source]","0","0","0","1","3","14","0","3","3","0","paragraph"
"Represents zero. X Not applicable. 1 Buying, receiving, possessing stolen property. 2 Except forcible rape and prostitution.","0","0","0","0","3","17","0","3","6","3","paragraph"
"Source: U.S. Department of Justice, Federal Bureau of Investigation, Uniform Crime Reports, Arrests Master Files.","0","0","0","1","2","15","0","0","7","0","paragraph"
"Table 325. Arrests by Race: 2009","1","1","0","1","2","6","0","0","3","2","heading"
"[Based on Uniform Crime Reporting (UCR) Program. Represents arrests reported (not charged) by 12,371 agencies","0","0","0","1","3","15","0","4","3","1","paragraph"
"with a total population of 239,839,971 as estimated by the FBI. See headnote, Table 324]","0","0","0","1","3","15","0","2","4","2","paragraph"
"1 Except forcible rape and prostitution.","0","0","0","0","3","6","0","0","2","1","paragraph"
"Source: U.S. Department of Justice, Federal Bureau of Investigation, “Crime in the United States, Arrests,” September 2010,","0","0","0","1","3","17","0","0","7","0","paragraph"
"<http://www.fbi.gov/ucr/cius2009/arrests/index.html>.","0","0","0","1","0","1","0","0","0","0","paragraph"
"206 Law Enforcement, Courts, and Prisons","0","1","0","1","2","6","0","0","3","1","heading"
"U.S. Census Bureau, Statistical Abstract of the United States: 2012","0","0","0","1","2","10","0","0","3","1","paragraph"
