"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Book review","1","0","0","1","3","2","0","0","1","0","heading"
"Paul Slack","0","1","0","1","2","2","0","0","1","0","heading"
"Plague: A Very Short Introduction","0","1","0","1","2","5","0","0","2","0","heading"
"Oxford/New York: Oxford University Press, 2012.","0","1","0","1","2","6","0","0","2","0","heading"
"138 pp; 19 illustrations; References; Further Reading;","0","1","0","1","3","7","0","0","4","2","heading"
"Index","0","1","0","1","2","1","0","0","1","0","heading"
"There are names designating nothing else but a particular disease. Plague is certainly","0","0","0","1","3","13","0","1","4","0","paragraph"
"not one of those: rather than a name, it is a list of associations, a cultural","0","0","0","1","0","16","0","0","4","0","paragraph"
"phenomenon that has helped (or dishelped) shaping human history, not only","0","0","0","1","0","11","0","3","2","0","paragraph"
"demography, as one would expect, but also politics and economy, art and literature,","0","0","0","1","0","13","0","2","6","0","paragraph"
"psychology.","0","0","0","1","0","1","0","0","1","0","paragraph"
"The amazing series of Oxford University Press’ „Very Short Introductions“ (more","0","0","0","1","3","11","0","0","3","0","paragraph"
"than 300 titles as yet!) is expected to provide basic information and overview of","0","0","0","1","0","14","0","2","3","0","paragraph"
"(often) complex topics. However, this edition, written by Paul Slack, Emeritus","0","0","0","1","3","11","0","1","3","0","paragraph"
"Professor of Early Modern Social History at Oxford University, Fellow of British","0","0","0","1","2","12","0","0","5","0","paragraph"
"Academy, ex Principal of Linacre College, and the author of The Impact of Plague in","0","0","0","0","3","15","0","0","6","0","paragraph"
"Tudor and Stuart England (1990) and other works, has pleasantly surprised even the","0","0","0","0","3","13","0","1","3","0","paragraph"
"most spoiled readers: rather than compiling a chronicle or mere chronography, Paul","0","0","0","1","3","12","0","1","3","0","paragraph"
"Slack re-created a long continuum of time in a vivid and dynamic way, similar to a","0","0","0","1","3","16","0","2","4","0","paragraph"
"fiction, but well ducumented and thus powerful. By his own words, „Mine has been","0","0","0","1","3","14","0","0","3","0","paragraph"
"an historian’s view […], designed to show how [the reactions to plague] were all","0","0","0","1","0","14","0","2","3","0","paragraph"
"shaped by the circumstances.“ In the best tradition of the Les Annales school of the","0","0","0","0","3","15","0","1","3","0","paragraph"
"second half of the 20th century, Paul Slack has shaped a real social history of plague,","0","0","0","1","3","16","0","1","4","0","paragraph"
"devoting more attention to the everyday life (and death), using mostly Italian,","0","0","0","1","3","12","0","2","3","0","paragraph"
"English, French, and Spanish sources and literature. In that particular (and","0","0","0","1","3","11","0","0","4","0","paragraph"
"necessarily limited) framework, Dubrovnik appears as „Venetian port“, and, when it","0","0","0","1","3","11","0","1","4","0","paragraph"
"comes to the analysis of art pieces related to epidemics, a lot of attention is devoted","0","0","0","1","0","16","0","2","5","0","paragraph"
"to Camus and Bergman, but there is no mention of Borislav Pekić’s novel Besnilo","0","0","0","0","3","14","0","0","5","0","paragraph"
"(„Rabies“; later filmed, too), for instance.","0","0","0","1","3","6","0","1","1","0","paragraph"
"The structure of Slack’s „Introduction“ to plague, already steps off the usual road of","0","0","0","1","3","14","0","1","5","0","paragraph"
"presenting historical matters: the author first deals with the name („important","0","0","0","1","0","11","0","2","2","0","paragraph"
"because it creates identity“), dipping immediately into the toughest question – of","0","0","0","1","0","12","0","2","3","0","paragraph"
"425","1","1","1","1","2","1","1","0","0","1","paragraph"
"diagnosing plague and comparing epidemics from various epochs. Here, the author","0","0","0","1","3","11","0","2","4","0","paragraph"
"analyses the most recent scientific literature and frames the most reasonable and","0","0","0","1","0","12","0","2","1","0","paragraph"
"probable conclusion on the plague’s variations not in symptoms, but in epidemic","0","0","0","1","0","12","0","0","5","0","paragraph"
"pathways over time and space. (Hereby, the term „frame“ is liked by Paul Slack in","0","0","0","1","3","15","0","1","5","0","paragraph"
"particular, taken over from Charles Rosenberg and refering to the reaction of society","0","0","0","1","3","13","0","2","3","0","paragraph"
"to the „picture“ of a disease.)","0","0","0","1","0","6","0","0","2","0","paragraph"
"In Chapter 2, three major plague pandemics are discussed: the first is supposed to","0","0","0","1","3","14","0","2","2","1","paragraph"
"be related to c. 541-c. 750 in Mediterranean and Europe, the second to the period","0","0","0","1","3","15","0","1","3","2","paragraph"
"of 1347-c. 1771 in Europe, and the third, beginning in 1894 in India and China","0","0","0","1","3","15","0","1","3","1","paragraph"
"and still lasting. According to Paul Slack, all single epidemics, even if distributed","0","0","0","1","3","13","0","3","1","0","paragraph"
"over a long period of (re)appearances, can be explained by those three pandemic","0","0","0","1","0","13","0","2","3","1","paragraph"
"phenomena. Curious is that, while in the 14th-century Europe, the mortality was","0","0","0","1","3","12","0","0","4","0","paragraph"
"about 50-60 %, in the later epidemics, the mortality reached 20 % (17th-18th c.)","0","0","0","1","0","14","0","1","4","1","paragraph"
"or even less.","0","0","0","1","0","3","0","0","0","0","paragraph"
"Of course, the major sub-topic of the booklet must be the Black Death in the mid","0","0","0","1","3","16","0","1","4","0","paragraph"
"14th century, the impact of which is the central theme of Chapter 3, while the","0","0","0","1","3","15","0","0","3","0","paragraph"
"„private horrors“ caused by this most horrible epidemics in human history, of","0","0","0","1","0","12","0","1","3","0","paragraph"
"Chapter 4. Since doctors were not particularly able to provide assistance to the","0","0","0","1","3","13","0","1","3","0","paragraph"
"diseased, the folk, logically, oriented more toward the saints-protectors, of which","0","0","0","1","0","11","0","2","2","0","paragraph"
"especially beloved was St. Rochus. (In Istria, in Western Croatia, Rochus had not","0","0","0","1","3","13","0","0","4","0","paragraph"
"been only the most venerated in the time of plague, with some 30 churches build","0","0","0","1","0","15","0","2","3","1","paragraph"
"either ex voto or in greatfulness, but his cult was revived during the later epidemics","0","0","0","0","0","15","0","1","4","0","paragraph"
"of cholera, in the 19th century.)","0","0","0","1","0","6","0","0","2","0","paragraph"
"In Chapter 5, dealt is with the emergence of public health measures, with all the","0","0","0","1","3","15","0","1","3","0","paragraph"
"difficulties related to cultural differences in accepting their forced imposal. Actually,","0","0","0","1","3","11","0","3","3","0","paragraph"
"one might say that plague „invented“ public health and that, particularly because of","0","0","0","1","0","13","0","3","3","0","paragraph"
"that fact, plague has to be considered important „teacher“ on the transmission of","0","0","0","1","0","13","0","1","2","0","paragraph"
"diseases, on the importance of personal hygienic habits and flexibility and","0","0","0","1","0","11","0","0","4","0","paragraph"
"preparedness of a local community (as proved in Marseilles in the 14th c.). Finally,","0","0","0","1","3","14","0","1","4","0","paragraph"
"Chapter 6, entitled „Enduring images“, lists and comments on the long series of the","0","0","0","1","3","14","0","1","5","0","paragraph"
"pieces of art and literature, provoked by or devoted to plague. Fascinating sounds","0","0","0","1","3","13","0","2","5","0","paragraph"
"how motives and taste were changing in visual arts, introducing and demistifying","0","0","0","1","0","12","0","2","3","0","paragraph"
"death (including the famous motive of dance macabre), and how fashion books on","0","0","0","0","0","13","0","1","4","0","paragraph"
"ars moriendi entered literature and started to prepare readers for a more peaceful","0","0","0","0","0","13","0","3","3","0","paragraph"
"end. In a short conclusion, Slack, like every serious scholar, humbly relativises his","0","0","0","1","3","13","0","2","2","0","paragraph"
"work and theses, stressing the impredictability of plague, but also the lessons we","0","0","0","1","0","13","0","1","6","0","paragraph"
"have learned from the epidemics in human history.","0","0","0","1","0","8","0","1","2","0","paragraph"
"426","1","1","1","1","2","1","1","0","0","1","paragraph"
"We certainly do not know everything about the plague epidemics of our past: we do","0","0","0","1","3","15","0","1","5","0","paragraph"
"not know whether central Asia is really the reservoir of rats responsible for major","0","0","0","1","3","14","0","1","3","0","paragraph"
"European epidemics; or whether the quick propagating of the disease, seen in only","0","0","0","1","3","13","0","1","3","0","paragraph"
"some epidemics, may have been related to the life habits of the black rat or to the","0","0","0","1","0","17","0","2","3","0","paragraph"
"„direct“ transmission from the flea to the man. However, it is quite certain that,","0","0","0","1","3","14","0","0","4","0","paragraph"
"after having read Paul Slack’s „Very Short Introduction“, we are not only more","0","0","0","1","3","13","0","2","3","0","paragraph"
"informed, but far more impressed by the broadness of changes plague epidemics","0","0","0","1","0","12","0","0","2","0","paragraph"
"provoked, as illustrated in Slack’s „miniatures“ on the flagellants, the culpriting of","0","0","0","1","3","12","0","3","2","0","paragraph"
"Jews, the sudden „advancement“ of the poor after the dissappearance of their lords","0","0","0","1","3","13","0","0","4","0","paragraph"
"(with the resulting increase of wages, decline of serfdom, change of clothing fashion,","0","0","0","1","0","13","0","1","5","0","paragraph"
"reduction of the number of children in order to keep new higher standard, etc.).","0","0","0","1","0","14","0","1","5","0","paragraph"
"At the certain moment, Slack states that „One of the continuities in the history of","0","0","0","1","3","15","0","1","4","0","paragraph"
"plague which justify this book was its educative function.“ A proper, real history is","0","0","0","1","3","14","0","1","4","0","paragraph"
"never just a (hi)story: for if it is proper, it must teach in order to avoid repeating","0","0","0","1","0","17","0","4","3","0","paragraph"
"mistakes, and it must inspire in order to shorten the way to the solutions of similar","0","0","0","1","0","16","0","3","5","0","paragraph"
"problems. Paul Slack’s history of plague is proper not only because we are aware that","0","0","0","1","3","15","0","0","5","0","paragraph"
"plague is a re-emerging disease: it is proper because the author’s wit and persuasive","0","0","0","1","0","14","0","1","4","0","paragraph"
"style, as well as the documentedness of the narrative, make us believe the story of","0","0","0","1","0","15","0","2","3","0","paragraph"
"plague be important part of the most delicate process of human progress.","0","0","0","1","0","12","0","0","4","0","paragraph"
"Amir Muzur*","1","0","0","1","2","2","0","0","1","0","heading"
"* Contact address: Amir Muzur, M.D., M.A., Ph.D., Full Professor and Head, Department of Social Sciences and","0","0","0","0","3","17","0","0","9","0","paragraph"
"Medical Humanities, Faculty of Medicine, University of Rijeka, Rijeka, Croatia, B. Branchetta 20, 51000 Rijeka,","0","0","0","1","2","15","0","0","9","1","paragraph"
"Croatia, Phone: +385-51-651-213, Fax: +385-651-219, E-mail: amir.muzur@medri.uniri.hr","0","0","0","1","3","7","0","0","3","0","paragraph"
"427","1","1","1","1","2","1","1","0","0","1","paragraph"
