"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"J.D. Power and Associates Reports:","1","0","0","1","2","5","0","1","2","0","heading"
"Vehicle Owners Show Willingness to Spend on Automotive Infotainment Features","1","0","0","1","2","10","0","2","3","0","heading"
"Autonomous Driving Technology Piques Interest of Premium Vehicle Owners","0","0","0","1","2","9","0","0","2","0","paragraph"
"WESTLAKE VILLAGE, Calif.: 26 April 2012 — Vehicle owners have come to expect additional safety","0","0","0","0","3","15","0","2","5","1","paragraph"
"features and are now turning their attention more to infotainment technologies in their vehicle, according to the","0","0","0","1","0","17","0","2","4","0","paragraph"
"J.D. Power and Associates 2012 U.S. Automotive Emerging Technologies StudySM released today.","0","0","0","1","3","12","0","1","2","0","paragraph"
"The study measures vehicle owner interest and purchase intent for emerging automotive technologies, both before","0","0","0","1","3","15","0","2","3","0","paragraph"
"and after market price is revealed. The top-five considered technologies—based on vehicle owners who indicate","0","0","0","1","3","15","0","4","4","1","paragraph"
"that they “definitely” or “probably” would purchase in their next vehicle—both pre-price and at market price are:","0","0","0","1","0","17","0","2","3","0","paragraph"
"Pre-Price Feature Interest","0","0","0","1","2","3","0","0","1","0","paragraph"
"Light emitting diode (LED) headlights","0","0","0","1","3","5","0","0","2","0","paragraph"
"Natural language voice-activation","0","0","0","1","3","3","0","0","1","0","paragraph"
"Next-generation head-up display","0","0","0","1","3","3","0","0","1","0","paragraph"
"Wireless connectivity system","0","0","0","1","3","3","0","0","1","0","paragraph"
"Remote vehicle diagnostics","0","0","0","1","3","3","0","0","1","0","paragraph"
"At Market Price Feature Interest","0","0","0","1","2","5","0","0","1","0","paragraph"
"70% HD radio (at $100)","0","0","0","0","3","5","0","0","1","0","paragraph"
"52%","0","0","0","1","2","1","0","0","1","0","paragraph"
"69% Enhanced collision mitigation system (at $750) 46%","0","0","0","0","3","8","0","0","2","0","paragraph"
"69% Wireless connectivity system (at $300) 45%","0","0","0","0","3","7","0","0","2","0","paragraph"
"68% Surround-view rear-vision camera (at $550) 44%","0","0","0","0","3","7","0","0","2","0","paragraph"
"65% Personal assistance safety services (at $15/month) 41%","0","0","0","0","3","8","0","0","3","0","paragraph"
"Not unexpectedly, purchase interest declines across all features when a price is introduced.","0","0","0","1","3","13","0","2","3","0","paragraph"
"“While vehicle owners remain very interested in technologies that make their vehicle safer, they are turning their","0","0","0","1","3","17","0","3","4","0","paragraph"
"attention more and more toward features and technologies that allow them to be productive, connected and","0","0","0","1","0","16","0","2","4","0","paragraph"
"entertained while in their vehicles,” said Mike VanNieuwkuyk, executive director of global automotive at J.D.","0","0","0","1","3","15","0","2","4","0","paragraph"
"Power and Associates. “Given the variety of interests from consumers, automakers will be challenged to pursue","0","0","0","1","3","16","0","4","6","0","paragraph"
"technologies that fit their consumer’s interests in order to attract them to their products.”","0","0","0","1","0","14","0","2","6","0","paragraph"
"Autonomous Driving—Polarizing Views on Value","1","0","0","1","2","5","0","1","3","0","heading"
"One of the newest, and the most expensive, technologies included in this study is autonomous driving mode—a","0","0","0","1","3","17","0","1","3","1","paragraph"
"feature that allows the vehicle to take control of acceleration, braking and steering, without any human","0","0","0","1","0","16","0","2","7","0","paragraph"
"interaction. While this technology is still being developed and tested, 20 percent of all vehicle owners say they","0","0","0","1","3","18","0","3","5","0","paragraph"
"“definitely would” or “probably would” purchase it in their next vehicle after learning the estimated market price","0","0","0","1","0","17","0","5","3","0","paragraph"
"of $3,000. Prior to learning the price, interest for this technology was at 37 percent.","0","0","0","1","3","15","0","1","4","0","paragraph"
"The study finds that vehicle owners are nearly as likely to select fully autonomous driving mode as they are to","0","0","0","1","3","20","0","2","4","0","paragraph"
"select semi-autonomous driving technologies such as emergency stop assist ($800), traffic jam assist ($800) or","0","0","0","1","0","15","0","0","2","0","paragraph"
"speed limit assist ($800).","0","0","0","1","0","4","0","0","1","0","paragraph"
"“Consumers are still learning about how autonomous driving technology could be used in their vehicles,” said","0","0","0","1","3","16","0","4","3","0","paragraph"
"VanNieuwkuyk. “Many owners are skeptical about releasing control of their vehicle and would like to see the","0","0","0","1","3","17","0","4","4","0","paragraph"
"technology proved out before they adopt it.”","0","0","0","1","0","7","0","2","3","0","paragraph"
"(Page 1 of 3)","0","0","0","1","3","4","0","0","1","2","paragraph"
"Vehicle owners with the highest interest in fully autonomous driving at market price are males (25%), those","0","0","0","1","3","17","0","0","6","0","paragraph"
"between the ages of 18 and 37 (30%), and those living in urban areas (30%). The study also finds a high degree","0","0","0","1","3","22","0","2","6","0","paragraph"
"of interest (41%) in fully autonomous driving among vehicle owners who expressed interest in the automatic","0","0","0","1","0","16","0","1","6","0","paragraph"
"parallel parking feature, further illustrating similar interest in both semi-autonomous and fully autonomous","0","0","0","1","0","13","0","1","2","0","paragraph"
"driving modes.","0","0","0","1","0","2","0","1","1","0","paragraph"
"Interest in autonomous driving mode differs among premium and non-premium vehicle owners. After learning the","0","0","0","1","3","15","0","1","3","0","paragraph"
"price, interest in the feature is at 18 percent among non-premium vehicle owners and at 31 percent among","0","0","0","1","0","18","0","0","6","0","paragraph"
"premium owners.","0","0","0","1","0","2","0","0","1","0","paragraph"
"Research conducted1 by J.D. Power’s Consumer Insight and Strategy Group to track social media activity","0","0","0","1","3","15","0","1","4","0","paragraph"
"regarding autonomous driving finds that online sentiment is generally positive. While some vehicle owners","0","0","0","1","3","14","0","2","3","0","paragraph"
"perceive the benefit of autonomous driving as taking the control away from careless, distracted drivers, others see","0","0","0","1","0","17","0","3","5","0","paragraph"
"it as an opportunity to be free and to enjoy the time while traveling. However, auto enthusiasts see autonomous","0","0","0","1","3","19","0","3","4","0","paragraph"
"driving as the loss of status and would not want to give up the pleasure of driving.","0","0","0","1","0","17","0","4","4","0","paragraph"
"Other social media research findings include:","0","0","0","1","3","6","0","1","1","0","paragraph"
"Many drivers believe that autonomous driving is an emerging trend, but is still far off in daily use","0","0","0","1","3","18","0","2","4","0","paragraph"
"primarily due to legal barriers and real-life implementation hurdles.","0","0","0","1","0","9","0","0","2","0","paragraph"
"Drivers would want the option for autonomy during times of “boring” driving, such as commuting to and","0","0","0","1","3","17","0","3","5","0","paragraph"
"from work, highway driving, going to the store or finding a parking space, but want to take control for","0","0","0","1","0","19","0","4","4","0","paragraph"
"pleasure driving or manual maneuvering.","0","0","0","1","0","5","0","0","2","0","paragraph"
"Given consumer expectation that an autonomous vehicle will cost more upfront and also to maintain than","0","0","0","1","3","16","0","4","2","0","paragraph"
"a traditional vehicle, some consumers envision the potential for vehicle-sharing programs with neighbors","0","0","0","1","0","13","0","2","4","0","paragraph"
"or within families as a means to offset these costs.","0","0","0","1","0","10","0","1","3","0","paragraph"
"The 2012 U.S. Automotive Emerging Technologies Study is based on responses from more than 17,400 vehicle","0","0","0","1","3","16","0","1","3","1","paragraph"
"owners. The study was fielded in March 2012. The study includes 23 primary technologies, each with related","0","0","0","1","3","17","0","3","5","1","paragraph"
"secondary technologies; analyses on device connectivity, navigation, safety and premium sound systems; a key","0","0","0","1","0","14","0","1","4","0","paragraph"
"emerging technologies packaging exercise; an emerging technologies adoption calculator; and expanded","0","0","0","1","0","11","0","3","2","0","paragraph"
"psychographic and lifestyle-driven content.","0","0","0","1","0","4","0","1","1","0","paragraph"
"About J.D. Power and Associates","1","0","0","1","2","5","0","0","2","0","heading"
"Headquartered in Westlake Village, Calif., J.D. Power and Associates is a global marketing information services","0","0","0","1","3","15","0","0","5","0","paragraph"
"company providing performance improvement, social media and customer satisfaction insights and solutions.","0","0","0","1","0","12","0","1","5","0","paragraph"
"The company’s quality and satisfaction measurements are based on responses from millions of consumers","0","0","0","1","3","14","0","1","5","1","paragraph"
"annually. For more information on car reviews and ratings, car insurance, health insurance, cell phone ratings, and","0","0","1","0","3","17","0","0","6","0","paragraph"
"more, please visit JDPower.com. J.D. Power and Associates is a business unit of The McGraw-Hill Companies.","0","0","0","0","3","16","0","1","5","0","paragraph"
"About The McGraw-Hill Companies","1","0","0","1","2","4","0","0","1","0","heading"
"McGraw-Hill announced on September 12, 2011, its intention to separate into two public companies: McGraw-","0","0","0","1","3","15","0","2","5","1","paragraph"
"Hill Financial, a leading provider of content and analytics to global financial markets, and McGraw-Hill","0","0","0","1","3","15","0","1","6","0","paragraph"
"Education, a leading education company focused on digital learning and education services worldwide. McGraw-","0","0","0","1","3","14","0","2","5","0","paragraph"
"Hill Financial’s leading brands include Standard & Poor’s Ratings Services, S&P Capital IQ, S&P Indices, Platts","0","0","0","1","3","16","0","3","8","0","paragraph"
"energy information services and J.D. Power and Associates. With sales of $6.2 billion in 2011, the Corporation","0","0","0","1","3","17","0","0","4","0","paragraph"
"has approximately 23,000 employees across more than 280 offices in 40 countries. Additional information is","0","0","0","1","3","15","0","0","4","3","paragraph"
"available at http://www.mcgraw-hill.com/.","0","0","0","0","0","3","0","0","1","1","paragraph"
"1 Autonomous driving social media research includes information from October 2011 through April 2012, consisting of over 25,000 online sound bites","0","0","0","0","3","21","0","3","5","2","paragraph"
"across various social media channels.","0","0","0","1","0","5","0","0","1","0","paragraph"
