"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Underwritten by:","1","0","0","1","2","2","0","1","0","0","paragraph"
"ACE European Group Limited","0","0","0","1","2","4","0","0","1","0","paragraph"
"Main business – General Insurance.","0","0","0","1","3","5","0","0","2","0","paragraph"
"Registered in England No. 1112892.","0","0","0","1","2","5","0","1","1","0","paragraph"
"Head Office: ACE Building, 100 Leadenhall Street, London,","0","0","0","1","2","8","0","0","4","1","paragraph"
"EC3A 3BP.","0","0","0","1","1","2","0","0","0","1","paragraph"
"ACE European Group Ltd is authorised by the Prudential","0","0","0","1","3","9","0","1","2","0","paragraph"
"Regulation Authority (PRA) and regulated by the","0","0","0","1","3","7","0","1","2","0","paragraph"
"Financial Conduct Authority (FCA), Reference Number","0","0","0","1","3","6","0","0","2","0","paragraph"
"Full details can be found online in the","0","0","0","1","3","8","0","2","1","0","paragraph"
"PRA/FCA website or by contacting the PRA on 020 7601","0","0","0","1","3","10","0","1","3","0","paragraph"
"4878 or the FCA on 0800 111 6768","0","0","0","1","2","8","0","0","1","1","paragraph"
"Endsleigh Sport","0","1","1","1","2","2","0","0","1","0","heading"
"Group Personal Injury","0","1","1","1","2","3","0","0","1","0","heading"
"Insurance Policy","0","1","1","1","2","2","0","0","1","0","heading"
"Code: Endsleigh Sports Association Template","0","0","0","1","2","5","0","0","2","0","paragraph"
"Personal Injury Policy Document","1","1","1","1","2","4","0","0","1","0","heading"
"Contents","1","1","1","1","2","1","0","0","1","0","heading"
"Insurance Agreement","0","0","0","1","2","2","0","0","1","0","heading"
"General Definitions","0","0","0","1","2","2","0","0","1","0","heading"
"Section 1 - Personal Injury Insurance","0","0","0","1","2","6","0","0","2","0","heading"
"Section 2 – Coma","0","0","0","1","2","4","0","0","2","0","heading"
"Section 3 – Broken Bones","0","0","0","1","2","5","0","0","2","0","paragraph"
"Section 4 – Primary Dislocation","0","0","0","1","2","5","0","0","2","0","paragraph"
"Section 5 – Physiotherapy following Broken Bones","0","0","0","1","3","7","0","1","3","0","paragraph"
"General Exclusions","0","0","0","1","2","2","0","0","1","0","heading"
"General Conditions","0","0","0","1","2","2","0","0","1","0","heading"
"Complaints Procedures","0","0","0","1","2","2","0","0","1","0","heading"
"Claim Provisions","0","0","0","1","2","2","0","0","1","0","paragraph"
"Financial Services Compensation Scheme","0","0","0","1","2","4","0","0","1","0","heading"
"Data Protection","0","0","0","1","2","2","0","0","1","0","heading"
"Insurance Agreement","1","1","1","1","2","2","0","0","1","0","heading"
"The Insured and ACE European Group Limited (ACE)","0","0","0","0","3","8","0","0","4","0","paragraph"
"agree that:","0","0","0","1","0","2","0","1","0","0","paragraph"
"The Insured will pay the Premium.","0","0","0","0","2","6","0","2","2","0","paragraph"
"ACE will subject to the terms, conditions and exclusions of","0","0","0","0","3","10","0","2","4","0","paragraph"
"this Policy, provide the Insurance in the manner and to the","0","0","0","1","3","11","0","1","2","0","paragraph"
"extent set out in this Policy. All information supplied to ACE","0","0","0","0","3","11","0","2","4","0","paragraph"
"by the Insured shall be incorporated into and be the basis","0","0","0","0","3","11","0","3","1","0","paragraph"
"of this Policy.","0","0","0","1","2","3","0","0","1","0","paragraph"
"This Policy, the Policy Schedule(s) and endorsements, if","0","0","0","1","3","8","0","0","3","0","paragraph"
"any, shall be read together as one contract and any word or","0","0","0","1","0","12","0","2","2","1","paragraph"
"expression to which specific meaning has been attached","0","0","0","1","0","8","0","1","2","0","paragraph"
"shall unless the context otherwise requires bear such","0","0","0","1","0","8","0","2","2","0","paragraph"
"meaning wherever it may appear.","0","0","0","1","0","5","0","3","1","0","paragraph"
"Chairman and CEO","0","0","0","1","2","3","0","0","2","0","paragraph"
"ACE European Group Limited","0","0","0","1","2","4","0","0","1","0","paragraph"
"General Definitions","1","1","1","1","2","2","0","0","1","0","heading"
"The following Definitions are applicable to the Policy as a","0","0","0","1","3","10","0","1","2","0","paragraph"
"whole:","0","0","0","1","0","1","0","0","0","0","paragraph"
"£ shall me United Kingdom pounds sterling; GBP where","0","0","0","0","3","9","0","2","4","0","paragraph"
"used in this policy shall also mean United Kingdom pounds","0","0","0","1","3","10","0","3","2","0","paragraph"
"sterling","0","0","0","1","0","1","0","0","1","0","paragraph"
"ACE Assistance shall mean the advice and services,","0","0","0","0","3","8","0","2","3","0","paragraph"
"including medical repatriation services organised by ACE.","0","0","0","1","3","7","0","2","2","0","paragraph"
"Accident/Accidental shall mean a sudden identifiable","0","0","0","0","3","6","0","2","1","0","paragraph"
"violent external event that happens by chance and which","0","0","0","1","0","9","0","1","2","0","paragraph"
"could not be expected; or unavoidable exposure to severe","0","0","0","1","0","9","0","2","1","0","paragraph"
"weather.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Accident Medical Expenses shall mean expenses","0","0","0","0","3","6","0","2","2","0","paragraph"
"necessarily incurred by the Insured for immediate and","0","0","0","1","3","8","0","1","1","0","paragraph"
"urgent treatment due to the Insured having sustained","0","0","0","1","3","8","0","3","1","0","paragraph"
"Accidental Bodily Injury which results in a valid claim under","0","0","0","1","3","10","0","1","2","0","paragraph"
"benefits 1 to 4 as shown in Section 1 of the Schedule.","0","0","0","1","3","12","0","1","3","2","paragraph"
"Benefit Amount shall mean the maximum amount ACE can","0","0","0","0","3","9","0","3","2","0","paragraph"
"pay as shown in the Schedule of Benefits.","0","0","0","1","3","8","0","2","2","0","paragraph"
"Benefit Period shall mean the total period (but not","0","0","0","0","3","9","0","2","2","0","paragraph"
"necessarily consecutive period) as shown in the Schedule","0","0","0","1","3","8","0","1","2","0","paragraph"
"of Benefits for which Benefits are payable in respect of any","0","0","0","1","3","11","0","0","3","0","paragraph"
"one Claim.","0","0","0","1","2","2","0","0","1","1","paragraph"
"Bodily Injury shall mean injury which is caused solely by","0","0","0","0","3","10","0","3","2","0","paragraph"
"Accidental means and which independently of illness or any","0","0","0","1","3","9","0","0","2","0","paragraph"
"other cause, occurs within 24 months from the date of the","0","0","0","1","0","11","0","1","3","0","paragraph"
"Accident.","0","0","0","1","2","1","0","0","1","0","paragraph"
"Child/Children shall mean any person who is unmarried","0","0","0","0","3","8","0","2","3","0","paragraph"
"and under 18 years of age.","0","0","0","1","0","6","0","0","2","0","paragraph"
"Claim shall mean a single loss or series of losses Due To","0","0","0","0","3","12","0","2","4","0","paragraph"
"one cause.","0","0","0","1","0","2","0","0","1","1","paragraph"
"Coma shall mean a continuous unarousable state","0","0","0","0","3","7","0","2","2","0","paragraph"
"Confinement shall mean admission to a Hospital as an In-","0","0","0","0","3","10","0","2","4","0","paragraph"
"patient as a result of Bodily Injury or illness for a continuous","0","0","0","1","3","12","0","0","3","0","paragraph"
"period of 24 hours or more on the advice of and under the","0","0","0","1","0","13","0","0","3","0","paragraph"
"constant supervision of a Qualified Medical Practitioner.","0","0","0","1","3","7","0","0","2","0","paragraph"
"Deferment Period shall mean a period at the beginning of a","0","0","0","0","3","11","0","2","3","0","paragraph"
"period of temporary disablement during which Benefits shall","0","0","0","1","3","8","0","1","3","0","paragraph"
"not be payable.","0","0","0","1","0","3","0","0","0","0","paragraph"
"Dental Expenses shall mean dental expenses necessarily","0","0","0","0","3","7","0","2","2","0","paragraph"
"incurred by the Insured Person if external oral impact results","0","0","0","1","3","10","0","1","1","0","paragraph"
"in damage to the Insured Person’s teeth or dentures.","0","0","0","1","3","9","0","0","4","0","paragraph"
"Due To shall mean directly or indirectly caused by, arising","0","0","0","0","3","10","0","4","0","0","paragraph"
"from or in connection with.","0","0","0","1","0","5","0","0","1","0","paragraph"
"Excess shall mean the first part of a Claim which must be","0","0","0","0","3","12","0","3","3","0","paragraph"
"paid by the Policyholder.","0","0","0","1","2","4","0","1","1","0","paragraph"
"2","0","0","0","1","2","1","1","0","0","1","paragraph"
"Code: Endsleigh Sports Association Template","0","0","0","1","2","5","0","0","2","0","paragraph"
"Hospital shall mean an establishment which:","0","0","0","0","3","6","0","2","2","0","paragraph"
"exists primarily for the diagnosis, medical care and","0","0","0","1","0","8","0","1","2","0","paragraph"
"treatment of sick or injured people on an In-patient basis","0","0","0","1","3","10","0","1","3","0","paragraph"
"under the supervision of Qualified Medical Practitioner(s)","0","0","0","1","3","7","0","0","2","0","paragraph"
"one or more of whom is available for consultation at all","0","0","0","1","0","11","0","0","2","1","paragraph"
"times;","0","0","0","1","0","1","0","0","1","0","paragraph"
"provides (where appropriate) facilities for major surgery","0","0","0","1","0","7","0","1","2","0","paragraph"
"within the confines of the establishment or in facilities","0","0","0","1","0","9","0","0","3","0","paragraph"
"controlled by the establishment;","0","0","0","1","0","4","0","1","1","0","paragraph"
"provides full-time nursing service by and under the","0","0","0","1","0","8","0","1","1","0","paragraph"
"supervision of nursing staff.","0","0","0","1","0","4","0","0","2","0","paragraph"
"‘Hospital’ shall not include a special unit in a hospital or a","0","0","0","0","3","12","0","2","3","0","paragraph"
"place existing primarily: for the treatment of psychiatric","0","0","0","1","0","8","0","1","2","0","paragraph"
"disease or sub-normality; for the care of the aged, drug","0","0","0","1","0","10","0","0","3","0","paragraph"
"addicts or alcoholics;","0","0","0","1","0","3","0","0","2","0","paragraph"
"as a health hydro or nature cure clinic, a nursing or","0","0","0","1","0","11","0","0","3","0","paragraph"
"convalescent home, extended","0","0","0","1","0","3","0","1","0","0","paragraph"
"hospice.","0","0","0","1","0","1","0","0","1","0","paragraph"
"care facility, rest home or","0","0","0","1","0","5","0","1","1","0","paragraph"
"Hospital Confinement shall mean any continuous period of","0","0","0","0","3","8","0","2","2","0","paragraph"
"24 hours or more during which time the Insured has been","0","0","0","1","3","11","0","0","3","0","paragraph"
"confined to Hospital.","0","0","0","1","3","3","0","1","1","0","paragraph"
"In-patient shall mean an Insured Person who has gone","0","0","0","0","3","9","0","3","3","0","paragraph"
"through the full admission procedure and for whom a clinical","0","0","0","1","0","10","0","0","2","0","paragraph"
"case record has been opened and whose admission is","0","0","0","1","0","9","0","1","2","0","paragraph"
"necessary for the medical care and treatment of Bodily","0","0","0","1","3","9","0","0","3","0","paragraph"
"Injury or illness and not merely for any form of nursing,","0","0","0","1","3","11","0","0","4","0","paragraph"
"convalescence, rehabilitation, rest or extended care.","0","0","0","1","0","6","0","0","4","0","paragraph"
"Insured Persons shall mean any person or category of","0","0","0","0","3","9","0","2","3","0","paragraph"
"person described under this heading in the Schedule(s) of","0","0","0","1","3","9","0","1","2","0","paragraph"
"Benefits.","0","0","0","1","2","1","0","0","1","0","paragraph"
"Loss of Earnings shall mean temporary disablement which","0","0","0","0","3","8","0","2","3","0","paragraph"
"entirely prevents the Insured Person from engaging in their","0","0","0","1","3","9","0","2","1","0","paragraph"
"usual occupation if in full-time employment or any","0","0","0","1","0","8","0","0","2","0","paragraph"
"employment for which the Insured Person has a current","0","0","0","1","3","9","0","0","3","0","paragraph"
"contract of employment if in part-time occupation.","0","0","0","1","0","7","0","0","3","0","paragraph"
"Loss of Hearing shall mean total and irrecoverable","0","0","0","0","3","8","0","2","3","0","paragraph"
"deafness confirmed by","0","0","0","1","0","3","0","1","1","0","paragraph"
"tests.","0","0","0","1","0","1","0","0","1","0","paragraph"
"audiometer and sound threshold","0","0","0","1","0","4","0","0","1","0","paragraph"
"Loss of Limb shall mean in respect of:","0","0","0","0","3","8","0","2","3","0","paragraph"
"a. an arm physical severance or total loss of use at or","0","0","0","1","0","12","0","0","3","0","paragraph"
"above the wrist joint; and","0","0","0","1","0","5","0","0","1","0","paragraph"
"b. a leg physical severance or total loss of use above the","0","0","0","1","0","12","0","0","4","0","paragraph"
"level of the ankle (talo-tibial joint).","0","0","0","1","0","6","0","0","3","0","paragraph"
"Loss of Sight shall be deemed to have occurred:","0","0","0","0","3","9","0","3","2","0","paragraph"
"a. in both eyes when the Insured Person’s name has","0","0","0","1","2","10","0","0","3","0","paragraph"
