"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"ZIKA VIRUS","1","1","1","1","1","2","0","0","1","0","paragraph"
"Novel Coronavirus (2019-nCoV)","1","1","0","1","2","3","0","0","2","0","heading"
"SITUATION REPORT - 1","1","1","0","1","1","4","0","0","1","0","heading"
"Data as reported by: 20 January 2020","1","1","1","1","3","7","0","1","2","0","heading"
"SUMMARY","1","1","1","1","1","1","0","0","1","0","heading"
"Event highlights from 31 December 2019 to 20 January 2020:","1","0","1","1","3","10","0","0","3","0","heading"
"21 JANUARY 2020","1","1","0","1","1","3","0","0","1","1","heading"
"On 31 December 2019, the WHO China Country Office was informed of cases of pneumonia","0","0","0","1","3","15","0","1","4","0","paragraph"
"unknown etiology (unknown cause) detected in Wuhan City, Hubei Province of China. From","0","0","0","1","3","13","0","1","5","0","paragraph"
"31 December 2019 through 3 January 2020, a total of 44 case-patients with pneumonia of","0","0","0","1","3","15","0","0","5","2","paragraph"
"unknown etiology were reported to WHO by the national authorities in China. During this","0","0","0","1","3","14","0","1","4","0","paragraph"
"reported period, the causal agent was not identified.","0","0","0","1","0","8","0","2","1","0","paragraph"
"On 11 and 12 January 2020, WHO received further detailed information from the National","0","0","0","1","3","14","0","1","4","0","paragraph"
"Health Commission China that the outbreak is associated with exposures in one seafood","0","0","0","1","3","13","0","1","4","1","paragraph"
"market in Wuhan City.","0","0","0","1","3","4","0","0","2","0","paragraph"
"The Chinese authorities identified a new type of coronavirus, which was isolated on 7","0","0","0","1","3","14","0","2","3","1","paragraph"
"January 2020.","0","0","0","1","2","2","0","0","1","0","paragraph"
"On 12 January 2020, China shared the genetic sequence of the novel coronavirus for","0","0","0","1","3","14","0","1","4","0","paragraph"
"countries to use in developing specific diagnostic kits.","0","0","0","1","0","8","0","2","2","0","paragraph"
"On 13 January 2020, the Ministry of Public Health, Thailand reported the first imported case","0","0","0","1","3","15","0","2","5","0","paragraph"
"of lab-confirmed novel coronavirus (2019-nCoV) from Wuhan, Hubei Province, China.","0","0","0","1","3","10","0","1","5","0","paragraph"
"On 15 January 2020, the Ministry of Health, Labour and Welfare, Japan (MHLW) reported an","0","0","0","1","3","15","0","1","7","0","paragraph"
"imported case of laboratory-confirmed 2019-novel coronavirus (2019-nCoV) from Wuhan,","0","0","0","1","3","9","0","2","4","0","paragraph"
"Hubei Province, China.","0","0","0","1","2","3","0","0","2","0","paragraph"
"On 20 January 2020, National IHR Focal Point (NFP) for Republic of Korea reported the first","0","0","0","1","3","16","0","1","5","0","paragraph"
"case of novel coronavirus in the Republic of Korea.","0","0","0","1","3","9","0","0","4","0","paragraph"
"Situation update:","1","0","1","1","3","2","0","0","1","0","heading"
"As of 20 January 2020, 282 confirmed cases of 2019-nCoV have been reported from four","0","0","0","1","3","15","0","2","2","3","paragraph"
"countries including China (278 cases), Thailand (2 cases), Japan (1 case) and the Republic of","0","0","0","1","3","15","0","1","8","3","paragraph"
"Korea (1 case);","0","0","0","1","3","3","0","0","2","1","paragraph"
"Cases in Thailand, Japan and Republic of Korea were exported from Wuhan City, China;","0","0","0","1","3","14","0","1","7","0","paragraph"
"Among the 278 cases confirmed in China, 258 cases were reported from Hubei Province, 14","0","0","0","1","3","15","0","2","4","3","paragraph"
"from Guangdong Province, five from Beijing Municipality and one from Shanghai Municipality;","0","0","0","1","2","12","0","0","3","1","paragraph"
