"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"For help after an accident please call our 24hour","0","1","0","1","3","9","0","1","2","0","paragraph"
"claim line on 0330 024 1305 as soon as you can.","0","1","0","0","0","11","0","2","2","0","paragraph"
"AXA Car Insurance","0","1","0","1","2","3","0","0","1","0","heading"
"Your policy wording","0","1","0","1","3","3","0","0","1","0","heading"
"Welcome","0","1","0","1","2","1","0","0","0","0","heading"
"Thank you for choosing AXA car insurance.","0","1","0","1","3","7","0","2","2","0","paragraph"
"We are part of the AXA Group one of the world’s leading insurers and financial services providers so","0","1","0","1","3","18","0","1","6","0","paragraph"
"you’re in safe hands.","0","1","0","1","0","4","0","1","2","0","paragraph"
"Your policy wording","0","1","0","1","3","3","0","0","1","0","heading"
"This booklet contains details of your cover. It should be read along with your schedule and certificate","0","1","0","1","3","17","0","3","6","0","paragraph"
"of motor insurance.","0","1","0","1","0","3","0","0","1","0","paragraph"
"AXA’s UK based claims team is ready to help. It’s reassuring to know you have expert support when you","0","1","0","1","3","19","0","5","4","0","paragraph"
"need it most.","0","1","0","1","0","3","0","1","1","0","paragraph"
"What’s more, if you’re contacted by anyone else regarding your claim, simply pass them on to us. We’re","0","1","0","1","3","18","0","6","7","0","paragraph"
"here to look after everything for you, with the minimum of fuss.","0","1","0","1","0","12","0","1","4","0","paragraph"
"! Remember to keep your details up to date","0","1","1","1","3","9","0","2","2","0","paragraph"
"So that you always have the cover you need, please make sure all your information is correct at all","0","1","0","1","3","19","0","2","4","0","paragraph"
"times. It’s easy to update your details in My AXA Account – your personal online account. You can log in","0","1","0","1","3","20","0","4","6","0","paragraph"
"any time using your email address and chosen password.","0","1","0","1","0","9","0","2","3","0","paragraph"
"Making a claim","0","1","0","1","3","3","0","1","1","0","heading"
"Call to claim","0","1","0","1","3","3","0","2","0","0","heading"
"Claims in the UK:","0","1","0","1","2","4","0","0","2","0","paragraph"
"Claims outside the UK:","0","1","0","1","3","4","0","0","2","0","paragraph"
"Windscreen claims:","0","1","0","1","3","2","0","0","1","0","paragraph"
"Lines open 24 hours a day 7 days a week.","0","0","0","1","3","10","0","1","1","0","paragraph"
"If your car can be repaired by one of our approved","0","1","0","1","3","11","0","3","1","1","paragraph"
"repairers they will supply you with a courtesy car","0","1","0","1","0","9","0","2","3","0","paragraph"
"while your car is off the road. All repairs carried","0","1","0","1","3","10","0","1","3","0","paragraph"
"out by our approved repairers are guaranteed","0","1","0","1","0","7","0","2","1","0","paragraph"
"throughout the time that you own your car.","0","1","0","1","0","8","0","1","3","0","paragraph"
"0330 024 1305","0","1","0","1","2","3","0","0","0","0","paragraph"
"0044 1732 376249","0","1","0","1","2","3","0","0","0","0","paragraph"
"0330 024 1306","0","1","0","1","2","3","0","0","0","0","paragraph"
"Car accident claims guide","0","1","0","1","3","4","0","2","1","0","heading"
"Go to www.axa.co.uk/insurance/personal/","0","1","0","0","3","3","0","1","1","0","paragraph"
"car/advice-news/accident-guide/","0","1","0","1","0","1","0","0","1","0","paragraph"
"for useful advice and information. It’s a","0","1","0","1","3","7","0","1","3","0","paragraph"
"good idea to print the guide and keep it in","0","1","0","1","0","10","0","2","3","0","paragraph"
"your car.","0","1","0","1","0","2","0","0","1","0","paragraph"
"2 of 32","0","0","0","1","0","3","0","0","0","2","paragraph"
"Contents","0","1","0","1","2","1","0","0","1","0","heading"
"Section","0","1","0","1","2","1","0","0","1","0","heading"
"Page no","0","1","0","1","2","2","0","0","1","0","paragraph"
"Your contract of insurance","0","1","0","1","3","4","0","0","2","0","heading"
"This policy document gives details of your cover","0","0","0","0","3","8","0","1","3","0","paragraph"
"and it should be read along with your schedule and","0","0","0","0","0","10","0","2","2","0","paragraph"
"certificate of motor insurance. Please take time","0","0","0","0","3","7","0","1","3","0","paragraph"
"to read through all these documents that contain","0","0","0","1","0","8","0","2","1","0","paragraph"
"important information about the details you have given","0","0","0","0","0","8","0","1","3","0","paragraph"
"and check that the information is correct. If anything is","0","0","0","1","3","10","0","1","2","0","paragraph"
"wrong or needs to be changed please advise us via My","0","0","0","0","3","11","0","3","1","0","paragraph"
"AXA Account.","0","0","0","1","2","2","0","0","1","0","paragraph"
"You must also advise us of any changes to your","0","0","0","0","3","10","0","2","3","0","paragraph"
"information via My AXA Account during the policy","0","0","0","0","3","8","0","0","3","0","paragraph"
"period of insurance; details of the type of changes we","0","0","0","0","0","10","0","0","6","0","paragraph"
"need to know about are contained in General condition","0","0","0","1","3","9","0","3","1","0","paragraph"
"2 on page 27 of this policy","0","0","0","0","0","7","0","0","2","2","paragraph"
"If the information that you have given us is not true","0","0","0","0","3","11","0","1","3","0","paragraph"
"and complete to the best of your knowledge and belief","0","0","0","0","0","10","0","0","2","0","paragraph"
"your policy may not protect you in the event of a claim.","0","0","0","0","0","12","0","2","4","0","paragraph"
"You should also show your policy to anyone else who","0","0","0","0","3","10","0","2","4","0","paragraph"
"is covered under it and ensure that they are aware of","0","0","0","1","0","11","0","2","2","0","paragraph"
"its terms and conditions.","0","0","0","1","0","4","0","0","2","0","paragraph"
"You and we can choose the law which applies to this","0","0","0","0","3","11","0","3","3","0","paragraph"
"policy. Unless we and you agree otherwise, English","0","0","0","0","3","8","0","1","3","0","paragraph"
"law will apply to this policy.","0","0","0","0","0","6","0","2","2","0","paragraph"
"The parties to this contract are you and us. Nothing","0","0","0","0","3","10","0","0","5","0","paragraph"
"in this contract shall create any rights to third parties","0","0","0","1","0","10","0","2","3","0","paragraph"
"under the Contracts (Rights of Third Parties) Act 1999","0","0","0","1","3","9","0","0","4","0","paragraph"
"and no variation of this contract, nor any supplemental","0","0","0","1","0","9","0","0","3","0","paragraph"
"or ancillary agreement shall create any such rights","0","0","0","1","0","8","0","2","2","0","paragraph"
"unless expressly so stated. This does not affect any","0","0","0","1","3","9","0","1","0","0","paragraph"
"right or remedy of a third party which exists or is","0","0","0","1","0","11","0","1","2","0","paragraph"
"available apart from this Act.","0","0","0","1","3","5","0","0","1","0","paragraph"
"In return for your premium, we will provide the cover","0","0","0","0","3","10","0","2","4","0","paragraph"
"shown in your policy for accident, injury, loss or","0","0","0","0","0","9","0","1","4","0","paragraph"
"damage that happens within the territorial limits","0","0","0","0","0","7","0","1","2","0","paragraph"
"during the period of insurance.","0","0","0","0","0","5","0","0","2","0","paragraph"
"Amanda Blanc","0","0","0","1","2","2","0","0","1","0","paragraph"
"CEO, AXA UK & Ireland General Insurance","0","0","0","1","2","7","0","0","3","0","paragraph"
"Your cover","0","1","0","1","3","2","0","0","1","0","heading"
"Type of cover Sections that apply","0","1","0","1","3","6","0","1","2","0","paragraph"
"Comprehensive Sections A to H apply.","0","0","0","1","3","6","0","1","2","0","paragraph"
"Third party fire Sections B,C & H apply.","0","0","0","1","3","8","0","1","3","0","paragraph"
"and theft Section G applies in respect of","0","0","0","1","3","8","0","1","2","0","paragraph"
"Fire and Theft only.","0","0","0","1","3","4","0","0","2","0","paragraph"
"Optional services Sections I, J, K and L only","0","0","0","1","3","9","0","0","5","0","paragraph"
"apply if stated on your schedule","0","0","0","0","0","6","0","2","1","0","paragraph"
"Please read all the exclusions and conditions that","0","0","0","1","3","8","0","1","2","0","paragraph"
"apply to each section of your policy.","0","0","0","0","0","7","0","1","2","0","paragraph"
"AXA are covered by the Financial Services","0","0","0","1","3","7","0","1","2","0","paragraph"
"Compensation Scheme (FSCS). You may be entitled to","0","0","0","0","3","8","0","2","3","0","paragraph"
"compensation from the scheme in the unlikely event","0","0","0","1","0","8","0","0","3","0","paragraph"
"we cannot meet our obligations to you. This depends","0","0","0","0","3","9","0","3","3","0","paragraph"
"on the type of insurance, size of the business and the","0","0","0","1","0","11","0","0","4","0","paragraph"
"circumstances of the claim. Further information about","0","0","0","1","3","7","0","0","3","0","paragraph"
"the compensation scheme arrangements is available","0","0","0","1","0","6","0","0","1","0","paragraph"
"from the FSCS www.fscs.org.uk.","0","0","0","1","3","4","0","0","1","0","paragraph"
"Uninsured driver promise","0","1","0","1","3","3","0","0","1","0","heading"
"If you have comprehensive cover and you make a","0","0","0","0","3","9","0","1","3","0","paragraph"
"claim where the driver of the other car involved in the","0","0","0","1","0","11","0","1","2","0","paragraph"
"accident is found to be uninsured, you will not have","0","0","0","0","0","10","0","3","2","0","paragraph"
"to pay your excess or lose any part of your no claims","0","0","0","0","0","12","0","2","3","0","paragraph"
"discount (NCD) as long as:","0","0","0","1","3","5","0","0","2","0","paragraph"
"You are able to provide the make model and","0","0","0","0","3","9","0","1","2","0","paragraph"
"registration number of the other car involved;","0","0","0","1","0","7","0","1","2","0","paragraph"
"We can establish that you were not at fault in","0","0","0","0","3","10","0","2","3","0","paragraph"
"any way.","0","0","0","1","0","2","0","0","1","0","paragraph"
"It will also help if you are able to provide the details","0","0","0","0","3","12","0","3","3","0","paragraph"
"of the other driver involved and details of any","0","0","0","1","0","9","0","1","2","0","paragraph"
"independent witnesses if possible.","0","0","0","1","0","4","0","0","1","0","paragraph"
"When you first claim you may have to pay your excess","0","0","0","0","3","11","0","3","3","0","paragraph"
