"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Deep Neural Networks for Object Detection","0","1","0","1","2","6","0","0","2","0","heading"
"Christian Szegedy Alexander Toshev Dumitru Erhan","0","0","0","1","2","6","0","0","2","0","heading"
"Google, Inc.","0","0","0","1","2","2","0","0","1","0","paragraph"
"{szegedy, toshev, dumitru}@google.com","0","0","0","1","0","3","0","0","1","0","paragraph"
"Abstract","0","1","0","1","2","1","0","0","1","0","heading"
"Deep Neural Networks (DNNs) have recently shown outstanding performance on","0","0","0","1","3","10","0","1","3","0","paragraph"
"image classiﬁcation tasks [14]. In this paper we go one step further and address","0","0","0","1","3","14","0","2","3","2","paragraph"
"the problem of object detection using DNNs, that is not only classifying but also","0","0","0","1","3","14","0","2","3","0","paragraph"
"precisely localizing objects of various classes. We present a simple and yet pow-","0","0","0","1","3","13","0","2","3","0","paragraph"
"erful formulation of object detection as a regression problem to object bounding","0","0","0","1","0","12","0","1","3","0","paragraph"
"box masks. We deﬁne a multi-scale inference procedure which is able to pro-","0","0","0","1","3","13","0","2","3","0","paragraph"
"duce high-resolution object detections at a low cost by a few network applications.","0","0","0","1","0","13","0","1","3","0","paragraph"
"State-of-the-art performance of the approach is shown on Pascal VOC.","0","0","0","1","3","10","0","1","3","0","paragraph"
"1 Introduction","0","1","0","1","2","2","0","0","1","1","heading"
"As we move towards more complete image understanding, having more precise and detailed object","0","0","0","1","3","14","0","2","3","0","paragraph"
"recognition becomes crucial. In this context, one cares not only about classifying images, but also","0","0","0","1","3","15","0","3","3","1","paragraph"
"about precisely estimating estimating the class and location of objects contained within the images,","0","0","0","1","0","14","0","3","4","0","paragraph"
"a problem known as object detection.","0","0","0","1","0","6","0","1","2","0","paragraph"
"The main advances in object detection were achieved thanks to improvements in object representa-","0","0","0","1","3","14","0","1","4","0","paragraph"
"tions and machine learning models. A prominent example of a state-of-the-art detection system is","0","0","0","1","3","14","0","0","3","0","paragraph"
"the Deformable Part-based Model (DPM) [9]. It builds on carefully designed representations and","0","0","0","1","3","13","0","3","4","1","paragraph"
"kinematically inspired part decompositions of objects, expressed as a graphical model. Using dis-","0","0","0","1","3","13","0","3","3","0","paragraph"
"criminative learning of graphical models allows for building high-precision part-based models for","0","0","0","1","0","12","0","3","3","0","paragraph"
"variety of object classes.","0","0","0","1","0","4","0","0","2","0","paragraph"
"Manually engineered representations in conjunction with shallow discriminatively trained models","0","0","0","1","3","10","0","2","3","0","paragraph"
"have been among the best performing paradigms for the related problem of object classiﬁcation","0","0","0","1","0","14","0","1","3","0","paragraph"
"as well [17]. In the last years, however, Deep Neural Networks (DNNs) [12] have emerged as a","0","0","0","1","3","17","0","1","3","2","paragraph"
"powerful machine learning model.","0","0","0","1","0","4","0","0","1","0","paragraph"
"DNNs exhibit major differences from traditional approaches for classiﬁcation. First, they are deep","0","0","0","1","3","13","0","0","5","0","paragraph"
"architectures which have the capacity to learn more complex models than shallow ones [2]. This","0","0","0","1","3","15","0","1","4","1","paragraph"
"expressivity and robust training algorithms allow for learning powerful object representations with-","0","0","0","1","0","12","0","2","3","0","paragraph"
"out the need to hand design features. This has been empirically demonstrated on the challenging","0","0","0","1","3","15","0","2","3","0","paragraph"
"ImageNet classiﬁcation task [5] across thousands of classes [14, 15].","0","0","0","1","3","10","0","0","3","4","paragraph"
"In this paper, we exploit the power of DNNs for the problem of object detection, where we not only","0","0","0","1","3","19","0","1","6","0","paragraph"
"classify but also try to precisely localize objects. The problem we are address here is challenging,","0","0","0","0","3","16","0","4","4","0","paragraph"
"since we want to detect a potentially large number object instances with varying sizes in the same","0","0","0","0","0","17","0","2","3","0","paragraph"
"image using a limited amount of computing resources.","0","0","0","0","0","8","0","1","3","0","paragraph"
"We present a formulation which is capable of predicting the bounding boxes of multiple objects in","0","0","0","1","3","16","0","3","4","0","paragraph"
"a given image. More precisely, we formulate a DNN-based regression which outputs a binary mask","0","0","0","1","3","15","0","4","4","0","paragraph"
