"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"FOR PUBLICATION","1","0","0","1","1","2","0","0","1","0","heading"
"UNITED STATES COURT OF APPEALS","1","1","0","1","1","5","0","0","2","0","heading"
"FOR THE NINTH CIRCUIT","1","1","0","1","1","4","0","0","1","0","heading"
"HIQ LABS, INC.,","0","0","0","0","1","3","0","0","1","0","paragraph"
"Plaintiff-Appellee,","0","0","0","1","2","1","0","0","1","0","paragraph"
"v.","0","0","0","1","0","1","0","0","0","0","paragraph"
"LINKEDIN CORPORATION,","0","0","0","0","1","2","0","0","1","0","paragraph"
"Defendant-Appellant.","0","0","0","1","2","1","0","0","1","0","paragraph"
"No. 17-16783","0","0","0","1","2","2","0","0","1","1","paragraph"
"D.C. No.","0","0","0","1","2","2","0","0","1","0","paragraph"
"3:17-cv-03301-EMC","0","0","0","1","2","1","0","0","0","0","paragraph"
"OPINION","0","0","0","1","1","1","0","0","1","0","heading"
"Appeal from the United States District Court","0","0","0","1","2","7","0","0","2","0","paragraph"
"for the Northern District of California","0","0","0","1","2","6","0","0","2","0","paragraph"
"Edward M. Chen, District Judge, Presiding","0","0","0","1","2","6","0","0","2","0","paragraph"
"Argued and Submitted March 15, 2018","0","0","0","1","2","6","0","1","0","0","paragraph"
"San Francisco, California","0","0","0","1","2","3","0","0","2","0","paragraph"
"Filed September 9, 2019","0","0","0","1","2","4","0","1","0","0","paragraph"
"Before: J. Clifford Wallace and Marsha S. Berzon, Circuit","0","0","0","1","2","9","0","0","3","0","paragraph"
"Judges, and Terrence Berg,* District Judge.","0","0","0","1","2","6","0","0","3","0","paragraph"
"Opinion by Judge Berzon;","0","0","0","1","2","4","0","0","2","0","paragraph"
"Concurrence by Judge Wallace","0","0","0","1","2","4","0","0","2","0","paragraph"
"* The Honorable Terrence Berg, United States District Judge for the","0","0","0","0","2","11","0","0","2","0","paragraph"
"Eastern District of Michigan, sitting by designation.","0","0","0","1","3","7","0","1","3","0","paragraph"
"2 HIQ LABS V. LINKEDIN","0","0","0","0","1","5","0","0","1","1","paragraph"
"SUMMARY**","1","0","0","1","1","1","0","0","1","0","heading"
"Preliminary Injunction / Computer Fraud and","1","0","0","1","2","6","0","0","1","0","heading"
"Abuse Act","1","0","0","1","2","2","0","0","1","0","heading"
"The panel affirmed the district court’s preliminary","0","0","0","1","3","7","0","1","2","0","paragraph"
"injunction forbidding the professional networking website","0","0","0","1","0","6","0","1","2","0","paragraph"
"LinkedIn Corp. from denying plaintiff hiQ, a data analytics","0","0","0","1","3","9","0","1","3","0","paragraph"
"company, access","0","0","0","1","0","2","0","0","1","0","paragraph"
"profiles.","0","0","0","1","0","1","0","0","1","0","paragraph"
"to publicly available LinkedIn member","0","0","0","1","3","5","0","0","1","0","paragraph"
"Using automated bots, hiQ scrapes information that","0","0","0","1","3","7","0","2","1","0","paragraph"
"LinkedIn users have included on public LinkedIn profiles.","0","0","0","1","3","8","0","1","2","0","paragraph"
"LinkedIn sent hiQ a cause-and-desist letter, demanding that","0","0","0","1","3","8","0","3","2","0","paragraph"
"hiQ stop accessing and copying data from LinkedIn’s server.","0","0","0","1","3","9","0","3","3","0","paragraph"
"HiQ filed suit, seeking injunctive relief based on California","0","0","0","1","3","9","0","3","4","0","paragraph"
"law and a declaratory judgment","0","0","0","1","0","5","0","0","2","0","paragraph"
"lawfully invoke the Computer","0","0","0","1","3","4","0","1","1","0","paragraph"
"that LinkedIn could not","0","0","0","1","3","4","0","1","1","0","paragraph"
"Fraud and Abuse Act","0","0","0","1","2","4","0","0","1","0","paragraph"
"(“CFAA”), the","0","0","0","1","3","2","0","0","1","0","paragraph"
"California Penal","0","0","0","1","2","2","0","0","1","0","paragraph"
"Digital Millennium","0","0","0","1","2","2","0","0","1","0","paragraph"
"Code § 502(c), or the","0","0","0","1","2","5","0","0","0","0","paragraph"
"trespass against it.","0","0","0","1","0","3","0","1","1","0","paragraph"
"Copyright Act,","0","0","0","1","2","2","0","0","1","0","paragraph"
"common law of","0","0","0","1","0","3","0","0","1","0","paragraph"
"Affirming the district court’s grant of the preliminary","0","0","0","1","3","8","0","1","3","0","paragraph"
"injunction in favor of hiQ,","0","0","0","1","3","5","0","0","3","0","paragraph"
"established a likelihood of","0","0","0","1","0","4","0","1","1","0","paragraph"
"the panel concluded that hiQ","0","0","0","1","3","5","0","1","1","0","paragraph"
"irreparable harm because the","0","0","0","1","0","4","0","0","1","0","paragraph"
"survival of its business was threatened. The panel held that","0","0","0","1","3","10","0","2","3","0","paragraph"
"the district court did not abuse its discretion in balancing the","0","0","0","1","0","11","0","2","2","0","paragraph"
"equities and concluding that, even if some LinkedIn users","0","0","0","1","3","9","0","1","2","0","paragraph"
"retain some privacy interests in their information","0","0","0","1","0","7","0","1","2","0","paragraph"
