"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Understanding","1","1","1","1","2","1","0","0","1","0","heading"
"and Mitigating Bias","1","1","1","1","2","3","0","0","1","0","heading"
"Understanding","1","1","0","1","2","1","0","0","1","0","heading"
"and","1","1","0","1","0","1","0","0","0","0","heading"
"Mitigating Bias","1","1","0","1","2","2","0","1","1","0","heading"
"1. Foreword","1","1","1","0","2","2","0","0","0","1","heading"
"Machine learning (ML) algorithms identify pattern in data. Its","0","0","0","1","3","9","0","1","4","0","paragraph"
"major strength is the desired capability to find and discriminate","0","0","0","1","0","10","0","3","2","0","paragraph"
"classes in training data, and to use those insights to make predic-","0","0","0","1","0","12","0","2","5","0","paragraph"
"tions for new, unseen data. In the era of “big data”, a lot of data","0","0","0","1","3","15","0","0","5","0","paragraph"
"is available with all sorts of variables. The general assumption is","0","0","0","1","3","11","0","0","3","0","paragraph"
"that the more data is used, the more precise becomes the algo-","0","0","0","1","0","12","0","2","2","0","paragraph"
"rithm and its predictions. When using a large amount of data, it","0","0","0","1","3","12","0","1","5","0","paragraph"
"clearly contains many correlations. However, not all correlations","0","0","0","1","3","8","0","1","2","0","paragraph"
"imply causality, because no matter how large the dataset is, it","0","0","0","1","0","11","0","1","3","0","paragraph"
"still only remains a snapshot of reality.","0","0","0","1","0","7","0","1","2","0","paragraph"
"In a training data set on claims of a car insurance, red cars","0","0","1","0","3","13","0","1","4","0","paragraph"
"may have caused more accidents than cars of other colour.","0","0","1","1","0","10","0","2","3","0","paragraph"
"The ML algorithm detects this correlation. However, there is","0","0","1","1","3","9","0","1","2","0","paragraph"
"no scientific proof of causality between the colour of a car","0","0","1","1","0","11","0","0","4","0","paragraph"
"and the risk of accidents.","0","0","1","1","0","5","0","0","2","0","paragraph"
"Beyond the incomprehension in terms of pricing for a cus-","0","0","0","1","3","10","0","0","4","0","paragraph"
"tomer, for the sake of the algorithm’s performance it is crucial to","0","0","0","1","0","12","0","1","3","0","paragraph"
"notice and eliminate this kind of unwanted correlations. Other-","0","0","0","1","3","9","0","2","2","0","paragraph"
"wise, the algorithm is biased and results on new data in produc-","0","0","0","1","0","12","0","1","4","0","paragraph"
"tion may be poor. In the previous example, a competitor with a","0","0","0","1","3","12","0","1","2","0","paragraph"
"better algorithm, which does not falsely attribute a higher risk to","0","0","0","1","0","11","0","1","2","0","paragraph"
"drivers of red cars, can offer a lower price to those customers and","0","0","0","1","0","13","0","2","4","0","paragraph"
"entice them away.","0","0","0","1","0","3","0","1","1","0","paragraph"
"Besides the performance aspect, there is a second problem","0","0","0","1","3","9","0","0","2","0","paragraph"
"which appears when the predictions impact people, and when","0","0","0","1","0","9","0","2","2","0","paragraph"
"the algorithm is biased to favour privileged groups over unprivi-","0","0","0","1","0","10","0","1","3","0","paragraph"
"leged groups, this resulting in discrimination.","0","0","0","1","0","6","0","1","2","0","paragraph"
"3","1","0","1","1","2","1","1","0","0","1","paragraph"
"It is important to note that these unwanted discriminations","0","0","0","1","3","9","0","1","1","0","paragraph"
"may happen without explicitly providing sensitive personal","0","0","0","1","0","7","0","3","0","0","paragraph"
"data. In fact, other attributes can implicitly reveal this informa-","0","0","0","1","3","10","0","2","3","0","paragraph"
"tion serving as proxy. For example, a car model can hint at the","0","0","0","1","3","13","0","3","4","0","paragraph"
"owner’s sex, or the zip code may correlate with a resident’s race","0","0","0","1","0","12","0","2","4","0","paragraph"
"or religion. As of today, it is not clear how much a ML algorithm","0","0","0","1","3","14","0","0","3","0","paragraph"
"exploiting correlations can be seen as reconstructing a protected","0","0","0","1","0","9","0","5","1","0","paragraph"
"attribute and using it in a causal way.","0","0","0","1","0","8","0","2","2","0","paragraph"
"Although not everything is clear today, it is important to under-","0","0","0","1","3","11","0","0","2","0","paragraph"
"stand and to mitigate unwanted bias as much as possible, since","0","0","0","1","0","11","0","2","1","0","paragraph"
"it may not only result in low performance, but also cause unin-","0","0","0","1","0","12","0","3","2","0","paragraph"
"tended discrimination.","0","0","0","1","0","2","0","0","1","0","paragraph"
"In this report, we want to encourage all stakeholders to under-","0","0","0","1","3","11","0","2","4","0","paragraph"
"stand the most fundamental sources of unwanted bias and the","0","0","0","1","0","10","0","1","2","0","paragraph"
"consequences it causes. More precisely, we seek to explain to","0","0","0","1","3","10","0","3","3","0","paragraph"
"CDOs, DPOs, data scientists, actuaries, and any other interested","0","0","0","1","3","9","0","0","4","0","paragraph"
"parties how bias in data and in data models can be identified and","0","0","0","1","0","13","0","2","3","0","paragraph"
"mitigated.","0","0","0","1","0","1","0","1","0","0","paragraph"
"Marcin DETYNIECKI","1","1","0","1","2","2","0","0","1","0","paragraph"
"Chief Data Scientist","0","0","0","1","2","3","0","0","1","0","paragraph"
"4","1","0","1","1","2","1","1","0","0","1","paragraph"
"Table of Contents","1","1","1","1","2","3","0","0","2","0","heading"
"2. Introduction","1","1","1","0","2","2","0","0","1","1","heading"
"Machine learning models are increasingly used in decision","0","0","0","1","3","8","0","1","2","0","paragraph"
"making processes. In many fields of application, they gener-","0","0","0","1","3","9","0","1","4","0","paragraph"
"ally deliver superior performance compared with conven-","0","0","0","1","0","7","0","2","2","0","paragraph"
"tional, deterministic algorithms. However, those models","0","0","0","1","3","6","0","0","2","0","paragraph"
"are mostly black boxes which are hard, if not impossible,","0","0","0","1","0","10","0","0","1","0","paragraph"
"to interpret. Since many applications of machine learn-","0","0","0","1","3","8","0","1","2","0","paragraph"
"ing models have far-reaching consequences on people","0","0","0","1","0","7","0","1","3","0","paragraph"
"(credit approval, recidivism score etc.), there is grow-","0","0","0","1","0","8","0","0","0","0","paragraph"
"ing concern about their potential to reproduce discrim-","0","0","0","1","0","8","0","2","2","0","paragraph"
"ination against a particular group of people based on pro-","0","0","0","1","0","10","0","1","3","0","paragraph"
"tected characteristics such as gender, race, religion, or","0","0","0","1","0","8","0","0","4","0","paragraph"
"other. In particular, algorithms trained on biased data are","0","0","0","1","3","9","0","1","2","0","paragraph"
"prone to learn, perpetuate or even reinforce these biases","0","0","0","1","0","9","0","3","1","0","paragraph"
"[1]. In recent years, many incidents of this nature have","0","0","0","0","3","10","0","0","3","0","paragraph"
"been documented. For example, an algorithmic model","0","0","0","1","3","7","0","1","1","0","paragraph"
"used to generate predictions of criminal recidivism in","0","0","0","1","0","8","0","2","2","0","paragraph"
"the United States (COMPAS) discriminated against black","0","0","0","1","3","7","0","1","3","0","paragraph"
"defendants [2]. Also, discrimination based on gender and","0","0","0","0","3","8","0","1","3","1","paragraph"
"race could be demonstrated for targeted and automated","0","0","0","1","0","8","0","4","1","0","paragraph"
"online advertising on employment opportunities [3].","0","0","0","0","0","6","0","0","2","1","paragraph"
"In this context, the EU introduced the General Data","0","0","0","1","3","9","0","1","3","0","paragraph"
"Protection Regulation (GDPR) in May 2018. This legisla-","0","0","0","1","3","8","0","0","3","0","paragraph"
"tion represents one of the most important changes in","0","0","0","1","0","9","0","1","2","1","paragraph"
"the regulation of data privacy in more than 20 years. It","0","0","0","1","3","11","0","0","4","0","paragraph"
"strictly regulates the collection and use of protected per-","0","0","0","1","0","9","0","2","3","0","paragraph"
"sonal data. With the aim of obtaining non-discriminatory","0","0","0","1","3","8","0","1","2","0","paragraph"
"algorithms, it rules in Article 9(1): “Processing of personal","0","0","0","1","3","9","0","1","3","0","paragraph"
"data revealing racial or ethnic origin, political opinions,","0","0","0","1","0","8","0","1","3","0","paragraph"
"religious or philosophical beliefs, or trade union member-","0","0","0","1","0","8","0","0","2","0","paragraph"
"ship, and the processing of genetic data, biometric data for the","0","0","0","1","0","11","0","0","4","0","paragraph"
"purpose of uniquely identifying a natural person, data concern-","0","0","0","1","0","9","0","1","2","0","paragraph"
"ing health or data concerning a natural person’s sex life or sexual","0","0","0","1","0","12","0","2","4","0","paragraph"
"orientation shall be prohibited.” [4]","0","0","0","0","0","5","0","2","1","1","paragraph"
"Currently, one fairness method often used in practice is to","0","0","0","1","3","10","0","1","2","1","paragraph"
"remove protected attributes from the data set. This concept is","0","0","0","1","3","10","0","3","2","0","paragraph"
"known as “fairness through unawareness” [5]. While this approach","0","0","0","0","3","9","0","1","3","0","paragraph"
"may prove viable when using conventional, deterministic algo-","0","0","0","1","0","8","0","3","0","0","paragraph"
"rithms with a manageable quantity of data, it is insufficient for","0","0","0","1","0","11","0","0","3","0","paragraph"
"machine learning algorithms trained on “big data”. Here, com-","0","0","0","1","3","9","0","1","2","0","paragraph"
"plex correlations in the data may provide unexpected links to pro-","0","0","0","1","0","11","0","3","3","0","paragraph"
"tected information. This way, presumably non-protected attri-","0","0","0","1","3","7","0","0","2","0","paragraph"
"butes can serve as substitutes or proxies for protected attributes.","0","0","0","1","0","10","0","2","4","0","paragraph"
"For this reason, next to optimizing the performance of a","0","0","0","1","3","10","0","1","2","0","paragraph"
"machine learning model, the new challenge for data scientists is","0","0","0","1","0","10","0","0","3","0","paragraph"
"to determine whether the model output predictions are discrim-","0","0","0","1","0","9","0","1","1","0","paragraph"
"inatory, and how they can mitigate such unwanted bias as much","0","0","0","1","0","11","0","2","3","0","paragraph"
"as possible.","0","0","0","1","0","2","0","0","0","0","paragraph"
"3. Distinctive","1","1","1","0","2","2","0","0","0","1","heading"
"features of machine","1","1","1","1","0","3","0","0","2","0","heading"
"learning","1","1","1","1","0","1","0","0","1","0","heading"
"In order to understand the fundamental char-","0","0","0","1","3","7","0","1","2","0","paragraph"
"acteristic differences of machine learning (ML), which we believe","0","0","0","1","3","9","0","1","4","0","paragraph"
"correspond to a paradigm shift, we compare in this section the","0","0","0","1","0","11","0","2","3","0","paragraph"
"functioning of conventional algorithms with the new type of algo-","0","0","0","1","0","10","0","1","3","0","paragraph"
"rithms, ML. The two major interrelated differences are, first, a","0","0","0","1","3","10","0","1","2","1","paragraph"
"new type of relationship to data and, second, the nature of the","0","0","0","1","0","12","0","0","4","0","paragraph"
"algorithm used in the production phase (vs. development one).","0","0","0","1","0","9","0","1","3","0","paragraph"
"Through this prism, we propose to compare classical algorithms,","0","0","0","1","3","9","0","2","3","0","paragraph"
"which we call here deterministic algorithms (DA), with machine","0","0","0","1","3","9","0","1","3","0","paragraph"
"learning ones.","0","0","0","1","0","2","0","1","1","0","paragraph"
"Development","1","1","0","1","2","1","0","0","1","0","paragraph"
"Production","1","1","0","1","2","1","0","0","1","0","paragraph"
"????","0","0","1","1","2","1","0","0","0","0","paragraph"
"????","0","0","1","1","2","1","0","0","0","0","paragraph"
"Figure 1: Deterministic algorithm (DA) in development and production","0","0","0","0","3","9","0","0","5","1","paragraph"
"phase","0","0","0","1","0","1","0","0","1","0","paragraph"
"Deterministic algorithm (DA)","1","1","1","1","3","3","0","0","2","0","heading"
"Conventional algorithms usually are deterministic algorithms.","0","0","0","1","3","6","0","0","2","0","paragraph"
"Like a recipe, they consist of a hard-coded set of rules which","0","0","0","1","3","12","0","2","4","0","paragraph"
"always produce the same output. The software engineer explicitly","0","0","0","1","3","9","0","1","2","0","paragraph"
"programs the algorithm’s logic without using any data. When the","0","0","0","1","3","10","0","1","4","0","paragraph"
"algorithm is put into production, data are fed to the algorithm in","0","0","0","1","0","12","0","2","4","0","paragraph"
