"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Business Travel Assistance","1","1","0","1","2","3","0","0","1","0","heading"
"24/7 emergency","1","1","0","1","0","2","0","0","1","0","heading"
"support","1","1","0","1","0","1","0","0","1","0","heading"
"+33 (0)1 55","1","1","0","1","2","3","0","0","1","1","heading"
"during travel","1","1","0","1","0","2","0","0","1","0","heading"
"92 21 89","1","1","0","1","2","3","0","0","0","1","heading"
"Membership n° 080.1381","0","1","0","0","2","3","0","0","1","0","paragraph"
"to communicate when you call","0","1","0","1","0","5","0","2","1","0","paragraph"
"Employee Coverage Benefits","1","1","0","1","2","3","0","0","1","0","heading"
"Services by AXA Assistance","0","0","0","1","2","4","0","0","2","0","paragraph"
"24/7 medical, security or safety assistance ■","0","0","0","0","0","7","0","0","1","0","paragraph"
"Medical expenses, with or without hospitalization ■","0","0","0","0","3","7","0","0","2","0","paragraph"
"Travel incident: delays, deterioration or loss of luggage, theft, etc. ■","0","0","0","0","3","11","0","0","6","0","paragraph"
"Personal liability abroad ■","0","0","0","0","3","4","0","0","1","0","paragraph"
"For more information on Travel Security, please contact:","0","0","0","1","3","8","0","1","2","0","paragraph"
"physical.security@axa.com","1","0","0","1","0","1","0","0","1","0","paragraph"
