"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Group Operations","1","1","1","1","2","2","0","0","1","0","heading"
"Information Security","1","1","1","1","2","2","0","0","1","0","heading"
"Best Practices","1","1","1","1","2","2","0","0","1","0","heading"
"When creating a document, classify","0","0","0","0","3","5","0","2","1","0","paragraph"
"it by selecting the right classification level *","0","0","0","1","0","8","0","1","2","0","paragraph"
"(Public, Internal, Confidential, Secret) and","0","0","0","0","3","5","0","0","0","0","paragraph"
"determine the list of recipients.","0","0","0","1","0","5","0","1","2","0","paragraph"
"When printing Internal or Confidential","0","0","0","0","3","5","0","1","1","0","paragraph"
"documents, stay beside the printer to avoid","0","0","0","1","0","7","0","2","1","0","paragraph"
"them being disclosed.","0","0","0","1","0","3","0","1","1","0","paragraph"
"Store confidential documents in a closed locker","0","0","0","0","3","7","0","1","2","0","paragraph"
"or cupboard. Store secret data in","0","0","0","0","3","6","0","0","2","0","paragraph"
"a safe.","0","0","0","0","0","2","0","0","0","0","paragraph"
"Use a confidentiality screen filter when","0","0","0","0","3","6","0","1","1","0","paragraph"
"displaying restricted, or confidential information","0","0","0","1","0","5","0","2","1","0","paragraph"
"on a laptop outside of the office.","0","0","0","1","0","7","0","0","2","0","paragraph"
"Apply the clean desk policy and don’t leave","0","0","0","0","3","8","0","2","1","0","paragraph"
"“Internal, Confidential, Secret” documents","0","0","0","1","3","4","0","0","1","0","paragraph"
"unattended on the desk when you leave the","0","0","0","1","0","8","0","2","2","0","paragraph"
"office.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Use shared drives carefully: Restrict access","0","0","0","0","3","6","0","2","2","0","paragraph"
"rights for specific user access and encrypt (with","0","0","0","0","0","8","0","0","3","0","paragraph"
"7zip or Winzip or O365) confidential or secret","0","0","0","0","3","8","0","0","2","0","paragraph"
"data. Save files in the appropriate folders.","0","0","0","1","3","7","0","1","3","0","paragraph"
"Don’t send confidential information via email in","0","0","0","1","3","7","0","1","2","0","paragraph"
"clear text, Encrypt (with 7zip or Winzip or O365) it","0","0","0","0","3","10","0","0","5","0","paragraph"
"in a document attached to the email. Don’t send","0","0","0","1","3","9","0","2","2","0","paragraph"
"an encrypted document and its password in the","0","0","0","1","0","8","0","1","2","0","paragraph"
"same e-mail.","0","0","0","1","0","2","0","0","1","0","paragraph"
"Don’t send professional AXA data to personal or","0","0","0","1","3","8","0","1","1","0","paragraph"
"mailboxes. Always check the list of recipients to","0","0","0","0","3","8","0","1","3","0","paragraph"
"ensure only authorized people may gain access","0","0","0","1","0","7","0","3","2","0","paragraph"
"to the information.","0","0","0","1","0","3","0","0","1","0","paragraph"
"Use the corporate AXA secure file transfer","0","0","0","0","3","7","0","1","1","0","paragraph"
"service: ONE DRIVE or SharePoint.","0","0","1","0","3","5","0","0","3","1","paragraph"
"Never use alternative information sharing","0","0","0","1","3","5","0","1","1","0","paragraph"
"services, not approved by Group Operations,","0","0","0","0","3","6","0","1","2","0","paragraph"
"such as dropbox, wetransfer, livebox…","0","0","0","1","0","5","0","0","2","0","paragraph"
"Do not expose any details of your job and","0","0","0","1","3","9","0","1","2","0","paragraph"
"missions at AXA on social media.","0","0","0","1","3","6","0","0","3","0","paragraph"
"Refrain from publishing classified non-public","0","0","0","1","3","5","0","2","0","0","paragraph"
"business information on the internet","0","0","0","1","0","5","0","0","2","0","paragraph"
"Always transfer suspicious emails to the security","0","0","0","1","3","7","0","1","2","0","paragraph"
"team. Avoid in opening files as attachments","0","0","0","1","3","7","0","2","3","0","paragraph"
"whose origin is not safe. Beware of phishing","0","0","0","1","3","8","0","1","2","0","paragraph"
"emails.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Do NOT use non-corporate applications","0","0","0","0","3","5","0","1","1","0","paragraph"
"to store confidential or secret data on","0","0","0","1","0","7","0","1","1","0","paragraph"
"corporate mobile devices. Immediately notify","0","0","0","1","3","5","0","1","1","0","paragraph"
"your security department in case of device loss","0","0","0","0","0","8","0","0","3","0","paragraph"
"or theft.","1","0","0","1","0","2","0","0","1","0","paragraph"
"Always use shredders or secured","0","0","0","0","3","5","0","2","1","0","paragraph"
"containers to destroy internal,","0","0","0","0","0","4","0","1","1","0","paragraph"
"confidential or secret documents","0","0","0","1","0","4","0","0","1","0","paragraph"
"(paper, removable media, …).","0","0","0","1","0","4","0","0","1","0","paragraph"
"In case of doubt or suspicion","0","0","0","1","3","6","0","0","3","0","paragraph"
"of information loss, leakage or theft,","0","0","0","1","0","6","0","0","3","0","paragraph"
"immediately contact security team.","0","0","0","1","0","4","0","1","1","0","paragraph"
"Avoid putting sensitive information/data in","0","0","0","0","3","5","0","2","1","0","paragraph"
