"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"3rd March 2020","0","0","0","0","2","3","0","0","1","0","paragraph"
"Situation update","0","1","1","1","3","2","0","0","1","0","heading"
"As of March 3rd, the Wolrd Health Organization (WHO) confirmed that the number of cases of the Coronavirus","0","0","0","1","3","18","0","1","5","0","paragraph"
"(COVID-19) has increased to 91 313 worldwide. At least 3 118 deaths from the virus have been confirmed in","0","0","0","1","3","19","0","2","2","2","paragraph"
"China and 76 outside China.","0","0","0","1","3","5","0","0","2","1","paragraph"
"Therefore on February 28th, the WHO has upgraded the global risk of the coronavirus outbreak to ""very high"",","0","0","0","1","3","18","0","2","3","0","paragraph"
"its top level of risk assessment.","0","0","0","1","0","6","0","0","2","0","paragraph"
"In this context, and also to avoid any related disruptions, the below measures have been decided by the Group","0","0","0","1","3","19","0","2","4","0","paragraph"
"Operational Crisis Management Committee (GOCMC).","0","0","0","1","3","5","0","0","2","0","paragraph"
"These measures will be reviewed on a monthly basis by the GOCMC and adapted as the situation evolves.","0","0","0","1","3","18","0","4","4","0","paragraph"
"Travel Security Measures","0","1","1","1","2","3","0","0","1","0","heading"
"Group Measures","0","1","0","1","2","2","0","0","1","0","paragraph"
"Concerned Countries/Areas","0","1","0","1","2","2","0","0","1","0","paragraph"
"International","0","0","1","1","2","1","0","0","1","0","paragraph"
"International business authorized","0","0","0","1","3","3","0","1","1","0","paragraph"
"trip essential","0","0","0","1","0","2","0","0","1","0","paragraph"
"approved","0","0","0","1","0","1","0","1","0","0","paragraph"
"Committee","0","0","0","1","2","1","0","0","1","0","paragraph"
"Traveler","0","0","0","1","2","1","0","0","1","0","paragraph"
"situation measures","0","0","0","1","0","2","0","0","1","0","paragraph"
"*List as of 03/03/20:","0","0","0","1","3","4","0","0","2","0","paragraph"
"Lombardy, Veneto, Emilia-Romagna regions (Italy)","0","0","0","1","3","5","0","0","2","0","paragraph"
"Oise, Haute-Savoie and Morbihan regions (France)","0","0","0","1","3","6","0","0","4","0","paragraph"
"North Rhine-Westphalia, Bavaria and Baden-Württemberg regions","0","0","0","1","3","6","0","0","4","0","paragraph"
"NB: Entities should also follow the travel advisory from the local government.","0","0","0","1","3","12","0","2","4","0","paragraph"
"Prevention measures upon return","0","1","1","1","3","4","0","0","2","0","heading"
"Employees returning from a business or personal trip with COVID19-like symptoms must, :","0","0","0","1","3","13","0","2","4","0","paragraph"
"Report to the HR and/or Health & Safety department","0","0","0","1","3","9","0","1","1","0","paragraph"
"Contact a doctor and inform her/his line manager of medical advise","0","0","0","1","3","11","0","2","4","0","paragraph"
"A 14 days self isolation is required:","0","0","0","1","3","7","0","1","1","0","paragraph"
"Based on medical advice","0","0","0","1","3","4","0","1","1","0","paragraph"
"Systematically when coming back from the banned countries and locations","0","0","0","1","3","10","0","2","2","0","paragraph"
"Internal","0","0","0","1","2","1","0","0","1","0","paragraph"
"Events & Conferences","0","1","1","1","2","3","0","0","2","0","heading"
"Group Measures","0","1","0","1","2","2","0","0","1","0","paragraph"
"Concerned Countries/Areas","0","1","0","1","2","2","0","0","1","0","paragraph"
"events","0","0","1","1","0","1","0","0","1","0","paragraph"
"should via","0","0","0","1","0","2","0","2","0","0","paragraph"
"videoconference. events","0","0","0","1","0","2","0","0","2","0","paragraph"
"conditions:","0","0","0","1","0","1","0","0","1","0","paragraph"
"validated","0","0","0","1","0","1","0","0","0","0","paragraph"
"Executive","0","0","0","1","2","1","0","0","1","0","paragraph"
"Security here)","0","0","0","0","3","2","0","0","1","0","paragraph"
"authority","0","0","0","1","0","1","0","0","1","0","paragraph"
"E vent & Conferences Definition: Any physical gathering","0","0","0","1","3","8","0","0","3","0","paragraph"
"usual activities), involving special preparations and for","0","0","0","1","0","7","0","1","2","0","paragraph"
"For any question, please contact safety.security@axa.com","0","1","0","0","3","6","0","1","2","0","paragraph"
"Click here for up-to-date information about the Coronavirus situation","0","1","1","0","3","9","0","1","2","0","paragraph"
"Internal","0","0","0","1","2","1","0","0","1","0","paragraph"
