"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"How To Critique A Journal Article","1","1","0","1","2","6","0","0","2","0","paragraph"
"Sponsored by The Center for Teaching and Learning at UIS","0","0","0","1","2","10","0","1","4","0","paragraph"
"So your assignment is to critique a journal article. This handout will give you a few guidelines to","0","0","0","1","3","18","0","3","5","0","paragraph"
"follow as you go. But wait, what kind of a journal article is it: an empirical/research article, or a","0","0","0","1","3","19","0","3","5","0","paragraph"
"review of literature? Some of the guidelines offered here will apply to critiques of all kinds of","0","0","0","1","3","17","0","3","5","0","paragraph"
"articles, but each type of article may provoke questions that are especially pertinent to that type","0","0","0","1","0","16","0","2","5","0","paragraph"
"and no other. Read on.","0","0","0","1","3","5","0","1","0","0","paragraph"
"First of all, for any type of journal article your critique should include some basic information:","0","0","0","1","3","16","0","2","4","0","paragraph"
"Name(s) of the author(s)","0","0","0","1","3","4","0","0","1","0","paragraph"
"Title of article","0","0","0","1","3","3","0","0","2","0","paragraph"
"Title of journal, volume number, date, month and page numbers","0","0","0","1","3","10","0","0","6","0","paragraph"
"Statement of the problem or issue discussed","0","0","0","1","3","7","0","1","3","0","paragraph"
"The author’s purpose, approach or methods, hypothesis, and major conclusions.","0","0","0","1","3","10","0","0","5","0","paragraph"
"The bulk of your critique, however, should consist of your qualified opinion of the article.","0","0","0","1","3","15","0","2","4","0","paragraph"
"Read the article you are to critique once to get an overview. Then read it again, critically. At this","0","0","0","1","3","19","0","3","4","0","paragraph"
"point you may want to make some notes to yourself on your copy (not the library’s copy,","0","0","0","1","0","17","0","3","6","0","paragraph"
"please).","0","0","0","1","0","1","0","0","0","0","paragraph"
"The following are some questions you may want to address in your critique no matter what type","0","0","0","1","3","17","0","4","3","0","paragraph"
"of article you are critiquing. (Use your discretion. These points don’t have to be discussed in this","0","0","0","1","3","17","0","3","4","0","paragraph"
"order, and some may not be pertinent to your particular article.)","0","0","0","1","0","11","0","1","2","0","paragraph"
"Is the title of the article appropriate and clear?","0","0","0","1","3","9","0","0","2","0","paragraph"
"Is the abstract specific, representative of the article, and in the correct form?","0","0","0","1","3","13","0","0","3","0","paragraph"
"Is the purpose of the article made clear in the introduction?","0","0","0","1","3","11","0","1","3","0","paragraph"
"Do you find errors of fact and interpretation? (This is a good one! You won’t believe how","0","0","0","1","3","17","0","3","6","0","paragraph"
"often authors misinterpret or misrepresent the work of others. You can check on this by looking","0","0","0","1","3","16","0","5","4","0","paragraph"
"up for yourself the references the author cites.)","0","0","0","1","0","8","0","1","3","0","paragraph"
"Is all of the discussion relevant?","0","0","0","1","3","6","0","0","0","0","paragraph"
"Has the author cited the pertinent, and only the pertinent, literature? If the author has included","0","0","0","1","3","16","0","2","3","0","paragraph"
"inconsequential references, or references that are not pertinent, suggest deleting them.","0","0","0","1","0","11","0","2","3","0","paragraph"
"Have any ideas been overemphasized or underemphasized? Suggest specific revisions.","0","0","0","1","3","10","0","2","2","0","paragraph"
"Should some sections of the manuscript be expanded, condensed or omitted?","0","0","0","1","3","11","0","4","2","0","paragraph"
"Are the author’s statements clear? Challenge ambiguous statements. Suggest by examples how","0","0","0","1","3","12","0","1","5","0","paragraph"
"clarity can be achieved, but do not merely substitute your style for the author’s.","0","0","0","1","0","14","0","3","3","0","paragraph"
"What underlying assumptions does the author have?","0","0","0","1","3","7","0","1","2","0","paragraph"
"Has the author been objective in his or her discussion of the topic?","0","0","0","1","3","13","0","0","3","0","paragraph"
"I n addition, here are some questions that are more specific to empirical/research articles. (Again,","0","0","0","1","3","15","0","0","4","0","paragraph"
"use your discretion.)","0","0","0","1","0","3","0","1","1","0","paragraph"
"Is the objective of the experiment or of the observations important for the field?","0","0","0","1","3","14","0","0","4","0","paragraph"
"Are the experimental methods described adequately?","0","0","0","1","3","6","0","1","1","0","paragraph"
"Are the study design and methods appropriate for the purposes of the study?","0","0","0","1","3","13","0","0","4","0","paragraph"
"Have the procedures been presented in enough detail to enable a reader to duplicate them?","0","0","0","1","3","15","0","3","4","0","paragraph"
"(Another good one! You’d be surprised at the respectable researchers who cut corners in their","0","0","0","1","3","15","0","2","5","0","paragraph"
"writing on this point.)","0","0","0","1","0","4","0","1","1","0","paragraph"
"Last Edited 4/9/2009","0","0","0","1","2","3","0","0","0","0","paragraph"
"Page 1 of 2","0","0","0","0","2","4","0","0","1","2","paragraph"
"How To Critique A Journal Article","1","1","0","1","2","6","0","0","2","0","paragraph"
"Sponsored by The Center for Teaching and Learning at UIS","0","0","0","1","2","10","0","1","4","0","paragraph"
"Scan and spot-check calculations. Are the statistical methods appropriate?","0","0","0","1","3","9","0","0","2","0","paragraph"
"Do you find any content repeated or duplicated? A common fault is repetition in the text of","0","0","0","1","3","17","0","3","5","0","paragraph"
"data in tables or figures. Suggest that tabular data be interpreted of summarized, nor merely","0","0","0","1","3","15","0","3","4","0","paragraph"
"repeated, in the text.","0","0","0","1","0","4","0","1","1","0","paragraph"
"A word about your style: let your presentation be well reasoned and objective. If you","0","0","0","0","3","15","0","2","4","0","paragraph"
"passionately disagree (or agree) with the author, let your passion inspire you to new heights of","0","0","0","1","0","16","0","4","4","0","paragraph"
"thorough research and reasoned argument.","0","0","0","1","0","5","0","1","2","0","paragraph"
