"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"USER MANUAL RA00303 Version: 17.12.10","0","1","1","0","2","5","0","0","1","1","paragraph"
"© LRP electronic GmbH 2010","0","0","1","1","3","5","0","0","0","0","paragraph"
"LRP electronic GmbH","0","1","0","1","3","3","0","0","1","0","paragraph"
"Wilhelm-Enssle-Str. 132-134","0","1","0","1","2","2","0","0","2","1","paragraph"
"73630 Remshalden, Germany","0","1","0","1","2","3","0","0","2","0","paragraph"
"info@LRP.cc - www.LRP.cc","0","1","0","1","3","3","0","0","2","0","paragraph"
"#80915","1","1","1","1","2","1","0","0","0","0","heading"
"Stock Brushless Competition","0","1","1","1","2","3","0","0","1","0","paragraph"
"Dual ADPCMAX.2 Proﬁles","0","1","1","0","2","3","0","0","1","0","paragraph"
"TwinBEC 6.0V/3.0A","0","1","1","1","2","2","0","0","0","0","paragraph"
"USB Software Updateability","0","1","1","1","2","3","0","0","1","0","heading"
"Speciﬁcations","1","1","1","1","2","1","0","0","1","0","heading"
"* Transistors rating at 25°C junction temperature Specifications subject to change without notice.","0","0","0","1","3","13","0","0","5","1","paragraph"
"Connections & Explanations","1","1","1","1","2","3","0","0","2","0","heading"
"(Orange) (Yellow) (Red) (Black) (Blue)","0","0","0","1","3","5","0","0","5","0","paragraph"
"MOT.C +","0","0","0","0","1","2","0","0","1","0","paragraph"
"MOT.B MOT.A -","0","0","0","0","1","3","0","0","1","0","paragraph"
"BAT BAT Power Capacitor","0","0","0","0","2","4","0","0","1","0","paragraph"
"Sensor Connector","0","0","0","1","2","2","0","0","1","0","paragraph"
"(underneath solder tabs)","0","0","0","1","0","3","0","0","1","0","paragraph"
"Switch Receiverwire -","0","0","0","0","2","3","0","1","1","0","paragraph"
"On/Off","0","0","0","1","2","1","0","0","1","0","paragraph"
"Receiver Connecting Wire: The SXX-SS V2 is equipped with","0","0","0","0","3","9","0","1","2","0","paragraph"
"an LRP Multicon receiver wire. As supplied, it will easily fit in","0","0","0","1","3","12","0","3","2","0","paragraph"
"all ordinary receivers. Make sure you connect it to receiver","0","0","0","1","3","10","0","2","3","0","paragraph"
"with correct polarity and use channel 2.","0","0","0","1","0","7","0","1","2","1","paragraph"
"Sensor Connector: The bi-directional multipole sensor wire","0","0","0","0","3","7","0","0","2","0","paragraph"
"connects the speed-control and the motor. Always use the","0","0","0","1","3","9","0","2","2","0","paragraph"
