"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"The Windows Interface","1","1","0","1","2","3","0","0","1","0","heading"
"Guidelines —","0","1","0","0","2","2","0","0","1","0","heading"
"for Designing","1","1","0","1","2","2","0","0","1","0","heading"
"A Guide","1","1","0","1","2","2","0","0","1","0","heading"
"Software","1","1","0","1","2","1","0","0","1","0","heading"
"M icrosoft®","1","1","0","1","3","2","0","0","1","0","paragraph"
"February 1995","1","1","0","1","2","2","0","0","1","0","heading"
"Windows®","1","1","0","1","2","1","0","0","1","0","heading"
"This is a preliminary release of the documentation. It may be changed","0","0","0","1","3","12","0","2","3","0","paragraph"
"substantially prior to final commercial release. This document is provided for","0","0","0","1","3","11","0","1","2","0","paragraph"
"informational purposes only and Microsoft Corporation makes no warranties,","0","0","0","1","3","9","0","1","3","0","paragraph"
"either expressed or implied, in this prerelease document.","0","0","0","1","0","8","0","2","1","0","paragraph"
"Information in this document is subject to change without notice. Companies, names, and data used in","0","0","0","1","3","16","0","1","7","0","paragraph"
"examples herein are fictitious unless otherwise noted. No part of this document may be reproduced or","0","0","0","1","3","16","0","3","3","0","paragraph"
"transmitted in any form or by any means, electronic or mechanical, for any purpose, without the express","0","0","0","1","0","17","0","1","4","0","paragraph"
"written permission of Microsoft Corporation.","0","0","0","1","3","5","0","1","2","0","paragraph"
"Microsoft may have patents or pending patent applications, trademarks, copyrights, or other intellectual","0","0","0","1","3","13","0","2","6","0","paragraph"
"property rights covering subject matter in this document. The furnishing of this document does not give you","0","0","0","1","3","17","0","2","6","0","paragraph"
"any license to these patents, trademarks, copyrights, or other intellectual property rights.","0","0","0","1","0","12","0","0","5","0","paragraph"
"C opyright © 1995 by Microsoft Corporation. All rights reserved.","0","0","0","1","3","10","0","1","2","0","paragraph"
"Microsoft, MS, and MS-DOS, Windows, and the Windows logo are registered trademarks and Windows NT","0","0","0","1","3","15","0","1","7","0","paragraph"
"is a trademark of Microsoft Corporation.","0","0","0","1","3","6","0","0","2","0","paragraph"
"2/13/95","0","0","0","1","2","1","0","0","1","1","paragraph"
"Contents","1","1","0","1","2","1","0","0","1","0","heading"
"Pen-Specific Editing Techniques","0","1","0","1","2","3","0","0","1","0","paragraph"
"Introduction","1","1","0","1","2","1","0","0","1","0","heading"
"Welcome to The Windows Interface Guidelines ⎯ A Guide for Designing Software, an","0","0","0","0","2","13","0","2","3","0","paragraph"
"indispensable guide to designing software that runs with the Microsoft®Windows®","0","0","0","1","3","10","0","2","5","0","paragraph"
"operating system. The design of your software's interface, more than anything else,","0","0","0","1","3","12","0","0","4","0","paragraph"
"affects how a user experiences your product. This guide promotes good interface","0","0","0","1","3","12","0","3","4","0","paragraph"
"design and visual and functional consistency within and across Windows-based","0","0","0","1","3","10","0","1","2","0","paragraph"
"applications.","0","0","0","1","0","1","0","0","1","0","paragraph"
"What's New","1","1","0","1","2","2","0","0","1","0","heading"
"Continuing the direction set by Microsoft OLE, the enhancements in the Windows","0","0","0","1","3","12","0","2","4","0","paragraph"
"user interface provide a design evolution from the basic and graphical to the more","0","0","0","1","0","14","0","1","2","0","paragraph"
"object oriented ⎯ that is, from an application-centered interface to a more data-","0","0","0","0","0","13","0","2","4","0","paragraph"
"centered one. In response, developers and designers may need to rethink the interface","0","0","0","1","3","13","0","4","4","0","paragraph"
"of their software ⎯ the basic components and the respective operations and properties","0","0","0","0","0","13","0","1","4","0","paragraph"
"that apply to them. This is important because, from a user's perspective, applications","0","0","0","1","3","13","0","1","2","0","paragraph"
"have become less the primary focus and more the engines behind the objects in the","0","0","0","1","0","15","0","1","3","0","paragraph"
"interface. Users can now interact with data without having to think about applications,","0","0","0","1","3","13","0","4","4","0","paragraph"
"allowing them to better concentrate on their tasks.","0","0","0","1","0","8","0","2","2","0","paragraph"
"When adapting your existing Windows-based software, make certain you consider the","0","0","0","1","3","11","0","5","2","0","paragraph"
"following important design aspects.","0","0","0","1","0","4","0","1","1","0","paragraph"
"Title bar text and icons","0","1","0","1","3","5","0","0","3","0","paragraph"
"Property sheets","0","1","0","1","3","2","0","0","1","0","paragraph"
"Transfer model (including drag and drop)","0","1","0","1","3","6","0","2","2","0","paragraph"
"Pop-up menus","0","1","0","1","3","2","0","0","1","0","paragraph"
"New controls","0","1","0","1","3","2","0","0","1","0","paragraph"
"Integration with the system","0","1","0","1","3","4","0","0","2","0","paragraph"
"Help interface","0","1","0","1","3","2","0","2","0","0","paragraph"
"OLE embedding and OLE linking","0","1","0","1","3","5","0","2","1","0","paragraph"
"Visual design of windows, controls, and icons","0","1","0","1","3","7","0","0","4","0","paragraph"
"Window management","0","1","0","1","3","2","0","0","1","0","paragraph"
"Presentation of minimized windows","0","1","0","1","3","4","0","0","2","0","paragraph"
