"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"ULSTER BANK BLACK MASTERCARD - DRAFT BENEFIT SCHEDULE","1","1","1","1","1","8","0","0","0","0","heading"
"CONTENTS","1","1","0","1","1","1","0","0","1","0","heading"
"CONTENTS ......................................................................................... 2","0","0","0","1","1","3","0","0","1","1","paragraph"
"INTRODUCTION ................................................................................. 2","0","0","0","1","1","3","0","1","0","1","paragraph"
"IMPORTANT INFORMATION ............................................................. 2","0","0","0","1","1","4","0","0","1","1","paragraph"
"DEFINITIONS ...................................................................................... 3","0","0","0","1","1","3","0","0","1","1","paragraph"
"EMERGENCY ASSISTANCE ............................................................. 4","0","0","0","1","1","4","0","0","1","1","paragraph"
"RECIPROCAL HEALTH AGREEMENTS ........................................... 4","0","0","0","1","1","5","0","0","1","1","paragraph"
"GENERAL CONDITIONS ................................................................... 5","0","0","0","1","1","4","0","0","1","1","paragraph"
"GENERAL EXCLUSIONS ................................................................... 5","0","0","0","1","1","4","0","0","1","1","paragraph"
"SPORTS AND ACTIVITIES ................................................................ 6","0","0","0","1","1","5","0","0","2","0","paragraph"
"BENEFIT SCHEDULE......................................................................... 6","0","0","0","1","1","3","0","0","1","1","paragraph"
"SECTION A – TRAVEL ADVICE ........................................................ 6","0","0","0","1","1","7","0","0","2","1","paragraph"
"SECTION B – TRAVEL ASSISTANCE ............................................... 7","0","0","0","1","1","7","0","0","2","0","paragraph"
"SECTION C – CANCELLATION OR CURTAILMENT CHARGES ..... 7","0","0","0","1","1","9","0","0","2","0","paragraph"
"SECTION D - MISSED DEPARTURE/ MISSED CONNECTION ....... 7","0","0","0","1","1","9","0","0","1","0","paragraph"
"SECTION E – DELAYED DEPARTURE/ ABANDONMENT ............... 8","0","0","0","1","1","8","0","0","2","1","paragraph"
"SECTION F – INVOLUNTARY DENIAL OF BOARDING ................... 8","0","0","0","1","1","9","0","0","3","1","paragraph"
"SECTION G – BAGGAGE DELAY AND EXTENDED BAGGAGE","0","0","0","1","1","8","0","0","3","0","paragraph"
"DELAY ................................................................................................. 8","0","0","0","1","1","3","0","0","1","1","paragraph"
"SECTION H – EMERGENCY MEDICAL AND OTHER EXPENSES","0","0","0","1","1","8","0","0","3","0","paragraph"
"ABROAD ............................................................................................. 9","0","0","0","1","1","3","0","0","1","1","paragraph"
