"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"One-Pager® Response to Reading Due the First Day of School in September","0","0","0","0","2","12","0","0","6","1","paragraph"
"Directions:","0","0","0","1","2","1","0","0","1","0","paragraph"
"Follow the prompt below.","0","0","0","1","3","4","0","1","1","0","paragraph"
"Your One-Pager should be done on a plain white paper 8-1/2 x 11” on","0","0","0","1","3","14","0","2","1","3","paragraph"
"side only, with your name clearly in evidence on the front side of the","0","0","0","1","0","14","0","0","4","0","paragraph"
"paper.","0","0","0","1","0","1","0","0","1","0","paragraph"
"What is a One-Pager?","1","1","0","1","2","4","0","0","2","1","heading"
"“ How do I know what I think until I see what I say?”","0","0","0","0","3","14","0","4","6","0","paragraph"
"Forster","0","0","0","1","2","1","0","0","1","0","paragraph"
"“Only connect.” –E.M. Forster","0","0","0","1","3","4","0","0","2","0","paragraph"
"A one pager is a single-page response to your reading. It is a way of","0","0","0","1","3","15","0","0","5","1","paragraph"
"making your pattern of your unique understanding. It is a way to be","0","0","0","1","3","13","0","1","4","0","paragraph"
"creative and experimental. It is a way to respond imaginatively and","0","0","0","1","3","11","0","1","2","0","paragraph"
"honestly. It is a way to be brief and compressed.","0","0","0","1","3","10","0","1","2","0","paragraph"
"The purpose of a one-pager is to own what you are reading. We learn","0","0","0","0","3","14","0","3","5","1","paragraph"
"best when we can create our own patterns.","0","0","0","1","0","8","0","2","2","0","paragraph"
"A one-pager connects the verbal and the visual; it connects the ideas in","0","0","0","1","3","13","0","1","4","1","paragraph"
"what you read to your thoughts. It connects words and images. The one-","0","0","0","1","3","13","0","2","6","0","paragraph"
"pager becomes a metaphor for the reading you have done.","0","0","0","1","0","10","0","2","4","0","paragraph"
"When you do a one-pager, do any or all of these:","0","0","0","0","3","11","0","0","2","1","paragraph"
"a. Pull out a quotation or two, using them to explore one of your own","0","0","0","1","3","15","0","3","2","2","paragraph"
"ideas, and write them on the page (perhaps using a different","0","0","0","1","0","11","0","2","3","0","paragraph"
"colored pen).","0","0","0","1","0","2","0","0","1","0","paragraph"
"b. Use visual images, either drawn or cut from magazines, to create a","0","0","0","1","3","13","0","3","3","0","paragraph"
"visual focus.","0","0","0","1","0","2","0","0","1","0","paragraph"
"c. Cluster around a dominant impression, feeling or thought you have","0","0","0","1","3","11","0","1","3","0","paragraph"
"while reading.","0","0","0","1","0","2","0","1","0","0","paragraph"
"d. Make a personal statement about what you have read.","0","0","0","1","3","10","0","2","4","0","paragraph"
"e. Ask a question or two and answer it (them).","0","0","0","1","3","10","0","2","3","1","paragraph"
"f. Create the one-pager so that your audience will understand","0","0","0","1","3","10","0","3","3","1","paragraph"
"something about the reading from what you do.","0","0","0","1","0","8","0","0","4","0","paragraph"
"g. Feel free to use colored pens or pencils.","0","0","0","1","3","9","0","2","3","0","paragraph"
"What not to do:","0","0","0","1","2","4","0","0","1","0","paragraph"
"a. Don’t merely summarize.","0","0","0","1","3","4","0","1","1","0","paragraph"
"b. Don’t be restricted by the lines on the paper. Use unlined paper.","0","0","0","1","3","13","0","2","3","0","paragraph"
"c. Don’t think a half a page will do—make it rich with quotes and","0","0","0","1","3","14","0","3","4","0","paragraph"
"images.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Grading: full credit depends on completeness (and imagination counts,","0","0","0","1","3","9","0","2","2","0","paragraph"
"too.)","0","0","0","1","0","1","0","0","0","0","paragraph"
