"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Orchestration of Robotic Activities in","0","1","0","1","2","5","0","0","2","0","heading"
"Classrooms: Challenges and Opportunities","0","1","0","1","2","4","0","0","3","0","heading"
"Sina Shahmoradi1, Jennifer K. Olsen1, Stian Haklev1, Wafa Johal1,2, Utku","0","0","0","1","2","10","0","0","1","0","paragraph"
"Norman1, Jauwairia Nasir1, and Pierre Dillenbourg1","0","0","0","1","2","6","0","0","1","0","paragraph"
"1 Computer-Human Interaction in Learning and Instruction (CHILI) Laboratory,","0","0","0","0","3","9","0","0","2","1","paragraph"
"EPFL, Switzerland","0","0","0","1","2","2","0","0","1","0","paragraph"
"2 Biorobotics Laboratory (BioRob), EPFL, Switzerland","0","0","0","0","3","6","0","0","3","1","paragraph"
"Abstract. Bringing robots into classrooms presents a new set of chal-","0","0","0","0","3","11","0","2","5","0","paragraph"
"lenges for classroom management and teacher support compared to tradi-","0","0","0","1","0","10","0","1","3","0","paragraph"
"tional technology-enhanced learning and has been left almost unexplored","0","0","0","1","0","9","0","2","1","0","paragraph"
"by the research community. In this paper, we present the opportunities","0","0","0","1","3","11","0","1","4","0","paragraph"
"and challenges of orchestrating Educational Robotics (ER) activities in","0","0","0","1","3","9","0","1","2","0","paragraph"
"classrooms. To support our discussion, we present a case study of 25","0","0","0","1","3","12","0","2","4","1","paragraph"
"students working in pairs using handheld robots to engage in a compu-","0","0","0","1","0","12","0","3","4","0","paragraph"
"tational thinking activity. While performing the activity, students’ be-","0","0","0","1","3","9","0","1","2","0","paragraph"
"havioral information was sent from the robots to an orchestration dash-","0","0","0","1","0","11","0","1","4","0","paragraph"
"board that was used in a debrieﬁng activity. Although this work is in its","0","0","0","1","3","14","0","1","3","0","paragraph"
"preliminary stages, it contributes to framing the challenges that need to","0","0","0","1","0","11","0","3","2","0","paragraph"
"be addressed to realistically scale-up usage of ER in classrooms.","0","0","0","1","3","10","0","2","3","0","paragraph"
"Keywords: Classroom Orchestration · Educational Robotics","0","0","0","0","2","6","0","0","3","0","paragraph"
"1 Introduction","0","1","0","1","2","2","0","0","1","1","heading"
"The main pedagogical advantage of learning activities with Educational Robotics","0","0","0","1","3","10","0","1","3","0","paragraph"
"(ER) is to facilitate constructivism activities, which gives the active role to stu-","0","0","0","1","3","13","0","2","2","0","paragraph"
"dents [1]. An open question in ER research is whether robots would be viable op-","0","0","0","1","3","15","0","1","4","1","paragraph"
"tions for supporting learning in ecologically valid classroom environments [1]. To","0","0","0","1","3","11","0","1","3","1","paragraph"
"answer this question, we must consider what role the teacher plays with the use","0","0","0","1","0","14","0","4","5","0","paragraph"
"of robots in the classroom and the impact it has on classroom orchestration [3].","0","0","0","1","0","14","0","0","5","1","paragraph"
"Classroom management, even in traditional classes, is a complex problem and","0","0","0","1","3","11","0","0","3","0","paragraph"
"adding multiple robots to learning activities creates new management challenges","0","0","0","1","0","10","0","2","4","0","paragraph"
"for teachers. There have been a few studies that presented awareness tools for","0","0","0","1","3","13","0","1","3","0","paragraph"
"ER activities, for instance by classifying students progress in an ER activity [4].","0","0","0","1","3","13","0","2","4","1","paragraph"
"In this work, the main challenge addressed is to face the unpredictable nature","0","0","0","1","3","13","0","2","3","0","paragraph"
"of ER learning activities, which makes it hard for teachers to follow students","0","0","0","1","3","13","0","3","4","0","paragraph"
"work and may make teachers’ interventions harder than in other TEL class-","0","0","0","1","3","12","0","2","2","0","paragraph"
"rooms. Furthermore, the added complexity of robots increases the frequency of","0","0","0","1","3","11","0","2","4","0","paragraph"
"interventions for technical failures. However, these studies have not been mainly","0","0","0","1","3","11","0","0","3","0","paragraph"
"conducted around the core idea of orchestration, which is minimalist, teacher-","0","0","0","1","0","11","0","1","2","0","paragraph"
"centric deign [3]. Additionally, there is no concrete study in the literature that","0","0","0","1","3","13","0","0","3","1","paragraph"
