"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"File ownership has been an issue in a number of recent complaints before the Trans-Tasman","0","0","0","1","3","15","0","0","5","0","paragraph"
"IP Attorneys Board (the Board). This Practice Note is published by the Board to assist","0","0","0","1","3","15","0","2","4","0","paragraph"
"registered attorneys to understand their obligations","0","0","0","1","0","6","0","2","2","0","paragraph"
"AFT and may change from time to time.","0","0","0","0","3","8","0","2","3","0","paragraph"
"Responsibilities of registered attorneys","1","0","1","1","3","4","0","1","2","0","heading"
"The Board expects that registered patent attorneys and registered trade marks attorneys","0","0","0","1","3","12","0","2","4","0","paragraph"
"(collectively, 'registered attorneys') should maintain a file in such a manner that the client’s","0","0","0","1","0","14","0","3","4","0","paragraph"
"property is, or can be, readily identified. This will allow the attorney to promptly comply with","0","0","0","1","3","16","0","5","2","0","paragraph"
"a request for the return of the client’s property if and when it is made.","0","0","0","1","0","15","0","1","5","0","paragraph"
"Legislative requirements","1","0","1","1","3","2","0","0","1","0","heading"
"The Code of Conduct for Trans-Tasman Patent and Trade Marks Attorneys 2018 (the Code)","0","0","0","0","2","14","0","0","5","0","paragraph"
"deals generally with the professional conduct required of registered attorneys. Section 25 of","0","0","0","1","3","13","0","1","4","0","paragraph"
"the Code deals with client or former client property, including the return of a client’s property","0","0","0","1","3","16","0","2","4","0","paragraph"
"when the client asks the registered attorney for its return. However, a registered attorney need","0","0","0","1","3","15","0","3","4","0","paragraph"
"not return the client’s property if the client has not satisfied a lien imposed in accordance with","0","0","0","1","0","17","0","3","5","0","paragraph"
"the Patents Regulations 1991 (Cth) or the Trade Marks Regulations 1995 (Cth), or the","0","0","0","0","3","14","0","0","4","0","paragraph"
"Patents Act 2013 (NZ) or otherwise by law.","0","0","0","0","3","8","0","0","3","0","paragraph"
"A registered attorney may claim a lien over client documents if outstanding fees are owing to","0","0","0","1","3","16","0","3","4","0","paragraph"
"the registered attorney.","0","0","0","1","0","3","0","1","1","0","paragraph"
"D","0","1","0","1","1","1","0","0","1","0","paragraph"
"R If a registered attorney is running several files for a client, then the","0","0","0","0","3","14","0","2","4","0","paragraph"
"lien could be applied to all the client's files.","0","0","0","1","0","9","0","2","2","0","paragraph"
"Which parts of these files are client property that need to be released to the client on","1","0","1","1","3","17","0","2","4","0","heading"
"request","1","0","1","1","0","1","0","0","1","0","heading"
"Examples of documents that are client property could include:","0","0","0","1","3","9","0","2","3","0","paragraph"
"documents, samples or other material which are owned by the client;","0","0","0","1","0","11","0","1","4","0","paragraph"
"documents, samples or other material created by the client either prior to or during the","0","0","0","0","0","15","0","1","4","0","paragraph"
"course of the retainer, and given to the registered attorney for the purpose of doing the","0","0","0","1","0","16","0","3","4","0","paragraph"
"work subject to the retainer;","0","0","0","1","0","5","0","0","2","0","paragraph"
"documents prepared by the registered attorney for the benefit of the client;","0","0","0","1","0","12","0","2","4","0","paragraph"
"documents prepared by a third party and sent to the registered attorney other than at","0","0","0","1","0","15","0","3","3","0","paragraph"
"the registered attorney’s expense;","0","0","0","1","0","4","0","0","2","0","paragraph"
"documents brought into existence by a registered attorney who acts only as an agent","0","0","0","1","0","14","0","3","5","0","paragraph"
"for a client for this purpose;","0","0","0","1","0","6","0","0","2","0","paragraph"
"original receipts for payments made on behalf of the client;","0","0","0","1","0","10","0","1","4","0","paragraph"
"communications between the registered attorney, IP offices and third parties;","0","0","0","1","3","10","0","1","4","0","paragraph"
"7 May 2019","0","0","0","1","2","3","0","0","1","0","paragraph"
"file notes of telephone conversations relating to the work subject to the retainer;","0","0","0","1","0","13","0","1","4","0","paragraph"
"filing details of a client’s intellectual property rights.","0","0","0","1","0","8","0","1","2","0","paragraph"
"Registered attorneys should note that paragraph 25(1)(b) of the Code provides for the","0","0","0","1","3","13","0","4","3","1","paragraph"
"registered attorney to release ‘documents, samples or material to which the client may have","0","0","0","1","0","14","0","2","5","0","paragraph"
"access under an agreement between the registered attorney and the client’. This category of","0","0","0","1","3","14","0","1","5","0","paragraph"
"documents, etc. will be determined by the nature of the agreement between the client and the","0","0","0","1","0","16","0","2","4","0","paragraph"
"registered attorney, however it should not derogate from the client’s right to the client’s","0","0","0","1","0","14","0","3","3","0","paragraph"
"property. Registered attorneys may seek to clarify these matters in their standard retainer","0","0","0","1","3","13","0","4","4","0","paragraph"
"terms for the avoidance of doubt.","0","0","0","1","0","6","0","0","3","0","paragraph"
"Which parts are not client property","1","0","1","1","3","6","0","0","2","0","heading"
"AFT Examples of documents that are not client property could include:","0","0","0","0","3","11","0","2","3","0","paragraph"
"drafts and office copies of final accounts of profit and loss, balance sheets etc.;","0","0","0","1","0","14","0","0","6","0","paragraph"
"draft and office copies of final reports, memoranda and notes requested by the client;","0","0","0","1","0","14","0","1","6","0","paragraph"
"file copies of client property made at the registered attorney’s expense;","0","0","0","1","0","11","0","2","4","0","paragraph"
"internal cheque requisitions, photocopying requisition forms, etc.;","0","0","0","1","0","7","0","1","2","0","paragraph"
"trust and other accounts printouts;","0","0","0","1","0","5","0","0","2","0","paragraph"
"internal records and memos about work done or to be done.","0","0","0","1","0","11","0","2","3","0","paragraph"
"Can an attorney levy charges, etc. for the extraction, copying and delivery of a client’s","1","0","1","1","3","15","0","1","5","0","heading"
"file (and if so, when)","1","0","1","1","0","5","0","0","1","0","heading"
"R A client should not be charged to copy client property for the retention of a copy by the","0","0","0","0","3","19","0","3","4","0","paragraph"
"registered attorney.","0","0","0","1","0","2","0","0","1","0","paragraph"
"In practice, an attorney should not levy charges for delivery of the client’s property unless the","0","0","0","1","3","16","0","2","6","0","paragraph"
"attorney and client have otherwise agreed. If a charge has been agreed, then it is","0","0","0","1","3","15","0","2","4","0","paragraph"
"recommended that the","0","0","0","1","0","3","0","1","0","0","paragraph"
"D charge reflect the approximate cost to the attorney of making a copy.","0","0","0","0","3","13","0","2","4","0","paragraph"
