"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Pluridis, service d'accompagnement","0","1","1","1","3","3","0","0","2","0","heading"
"psychologique","0","1","1","1","0","1","0","0","1","0","heading"
"Bonjour,","0","0","0","1","2","1","0","0","0","0","paragraph"
"AXA GO propose un service gratuit de soutien psychologique en français et en anglais opéré par la","0","0","0","1","3","17","0","1","4","0","paragraph"
"société PLURIDIS. Ce service d'écoute s'adresse à tous les collaborateurs indépendamment de leur","0","0","0","1","3","13","0","0","4","0","paragraph"
"statut, leur rythme de travail ou leur niveau hiérarchique.","0","0","0","1","0","9","0","0","2","0","paragraph"
"Les collaborateurs qui accèdent à ce service (disponible 24h/24 et 7j/7) peuvent s'exprimer","0","0","0","1","3","13","0","1","3","0","paragraph"
"librement sur leurs problématiques professionnelles et/ou personnelles. Une équipe","0","0","0","1","3","9","0","1","4","0","paragraph"
"expérimentée de psychologues assure une écoute active et propose un accompagnement","0","0","0","1","0","11","0","1","4","0","paragraph"
"individuel personnalisé.","0","0","0","1","0","2","0","0","1","0","paragraph"
"PLURIDIS garantit l'anonymat complet des appelants et assure la confidentialité totale des","0","0","0","1","3","12","0","1","3","0","paragraph"
"échanges. Pour accéder à ce service, deux moyens s'offrent à vous :","0","0","0","1","3","12","0","1","4","0","paragraph"
"Par téléphone au +33.1.55.92.18.94 (surcoût possible pour les appels passés de l'étranger","0","0","0","1","3","12","0","0","4","0","paragraph"
"vers la France).","0","0","0","1","2","3","0","0","1","0","paragraph"
"Par accompagnement individuel dans les locaux de PLURIDIS (Paris Saint Lazare) à la","0","0","0","1","3","13","0","0","4","0","paragraph"
"demande du collaborateur ou sur recommandation du service de santé au travail ou de la","0","0","0","1","0","15","0","0","5","0","paragraph"
"DRH (en accord avec la personne concernée).","0","0","0","1","3","7","0","0","3","0","paragraph"
"En cas de besoin, n'hésitez pas à faire appel à ce service pour vous aider et vous accompagner.","0","0","0","1","3","18","0","1","5","0","paragraph"
"English version","0","0","1","1","3","2","0","0","1","0","heading"
"Hello,","0","0","0","1","2","1","0","0","0","0","paragraph"
"AXA GO is offering a free psychological support service in French and in English operated by","0","0","0","1","3","16","0","2","4","0","paragraph"
"PLURIDIS. This hotline is available to all employees, regardless of their status, workplace or","0","0","0","1","3","14","0","0","5","0","paragraph"
"hierarchical level.","0","0","0","1","0","2","0","0","1","0","paragraph"
"Employees who access to this service (available 24/7) can freely talk about their professional","0","0","0","1","3","14","0","3","3","0","paragraph"
"and/or personal issues. An experienced team of psychologists ensure active listening and offer","0","0","0","1","3","13","0","1","5","0","paragraph"
"personalized individual support.","0","0","0","1","0","3","0","0","1","0","paragraph"
"PLURIDIS guarantees the complete anonymity of the callers and ensures the total confidentiality of","0","0","0","1","3","14","0","2","4","0","paragraph"
"the exchanges. You can access this service, in two ways:","0","0","0","1","3","10","0","2","4","1","paragraph"
"By phone at +33.1.55.92.18.94 (possible extra cost for calls made from abroad to France).","0","0","0","1","3","14","0","1","4","0","paragraph"
"Face-to-face assistance in Paris-based PLURIDIS premises at the request of the employee or","0","0","0","1","3","13","0","1","4","0","paragraph"
"on the recommendation of the occupational health service or the HRD (in agreement with the","0","0","0","1","3","15","0","0","4","0","paragraph"
"respective employee).","0","0","0","1","0","2","0","0","1","0","paragraph"
"Should you need it, please don't hesitate to call on this service to help and accompany you.","0","0","0","1","3","17","0","6","4","0","paragraph"
"Internal","0","0","0","1","2","1","0","0","1","0","paragraph"
