"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"SPIE proceedings manuscript sample (U.S. letter size)","1","1","0","1","3","7","0","0","2","0","heading"
"S. Gregory Jones*a, Titania A. R. Schmidtb, Kenneth M. Suzukia","0","1","0","1","2","10","0","0","3","0","heading"
"aNation’s Research Laboratory, 345 Photon Drive, Los Angeles, CA, USA 95555-0345;","0","1","0","1","3","11","0","0","4","1","heading"
"bDept. of Optics, Central Univ./City Branch, 9876 Light Ave., Philadelphia, PA USA 00555-9642","0","1","0","1","3","13","0","0","4","0","heading"
"ABSTRACT","1","1","0","1","1","1","0","0","1","0","heading"
"Begin the abstract two lines below author names and addresses. The abstract summarizes key findings in the paper. It is","0","0","0","1","3","20","0","2","6","1","paragraph"
"a paragraph of 200 words or less. For the keywords, select up to 8 key terms for a search on your manuscript's subject.","0","0","0","0","3","23","0","1","6","2","paragraph"
"Keywords: Times Roman, image area, acronyms, references","0","0","0","0","3","7","0","0","4","0","paragraph"
"1. INTRODUCTION","1","1","0","1","1","2","0","1","0","1","heading"
"Begin the Introduction two lines below the Keywords. The manuscript should not have headers, footers, or page","0","0","0","1","3","17","0","2","7","1","paragraph"
"numbers. It should be in a one-column format. References are often noted in the text1 and cited at the end of the paper.","0","0","0","1","3","23","0","3","7","1","paragraph"
"1.1 Margins","1","0","0","1","2","2","0","0","1","1","heading"
"If the paper does not have the margins shown in Table 1, it will not upload properly.","0","0","0","1","3","17","0","3","4","1","paragraph"
"Table 1. Margins and print area specifications.","0","0","0","1","3","7","0","0","2","1","paragraph"
"PAPER MARGINS","1","0","0","1","1","2","0","0","1","0","heading"
"A4","0","0","0","1","1","1","0","0","1","0","paragraph"
"Top margin 2.54 cm (1in.)","0","0","0","0","3","5","0","0","1","1","paragraph"
"Bottom margin 4.94 cm (1.95 in.)","0","0","0","0","3","6","0","0","1","1","paragraph"
"Left, right margin 1.925 cm (.76 in.)","0","0","0","0","3","7","0","1","1","0","paragraph"
"Printable area--all text, figures and footnotes:","0","0","0","1","3","6","0","0","4","0","paragraph"
"A4: 17.15×22.23 cm","0","0","0","1","2","3","0","0","2","0","paragraph"
"1.2 Fonts","1","0","0","1","2","2","0","0","1","0","heading"
"Letter","0","0","0","1","2","1","0","0","1","0","paragraph"
"Top margin 1.0 in. (2.54 cm)","0","0","0","0","3","6","0","0","2","1","paragraph"
"Bottom margin 1.25 in. (3.17 cm)","0","0","0","0","3","6","0","0","2","1","paragraph"
"Left, right margin .875 in. (2.22 cm)","0","0","0","0","3","7","0","1","2","0","paragraph"
"Letter : 6.75×8.75 in.","0","0","0","1","2","4","0","0","1","0","paragraph"
"Table 2 shows the font sizes and highlighting in a typical manuscript. These font ""styles"" are contained with this sample","0","0","0","1","3","20","0","3","5","1","paragraph"
"manuscript and Section 4 below explains how to use them. Use Times Roman or another standard font to avoid font","0","0","0","1","3","20","0","3","8","0","paragraph"
"errors.","0","0","0","1","0","1","0","0","1","0","paragraph"
"*s.greg.jones@narelab.com; phone 1 222 555-1234; fax 1 222 555-876; narelab.com","0","0","0","1","0","10","0","0","2","3","paragraph"
"Table 2. Manuscript font sizes and formatting. This Microsoft Word template includes these formats as automated ""styles"",","0","0","0","1","3","17","0","2","6","1","paragraph"
"which can be selected in the Format menu -- Styles and Formatting. (9pt)","0","0","0","0","3","13","0","2","4","0","paragraph"
"Manuscript component","0","1","0","1","3","2","0","0","1","0","heading"
"Preformatted SPIE Template Styles","0","1","0","1","2","4","0","1","1","0","heading"
"Description","0","1","0","1","2","1","0","0","1","0","heading"
"SPIE paper title","1","1","0","1","3","3","0","0","1","0","heading"
"SPIE authors/affiliations","1","1","0","1","3","2","0","0","1","0","heading"
"Keywords: *Keywords*","0","0","0","0","3","2","0","0","2","0","paragraph"
"SPIE ABSTRACT TITLE","1","1","0","1","1","3","0","0","1","0","heading"
"SPIE abstract body text","0","0","0","1","3","4","0","0","1","0","paragraph"
"SPIE SECTION HEADING","1","1","0","1","1","3","0","0","1","0","paragraph"
"1.1 Heading 2, SPIE subsection heading","1","0","0","1","3","6","0","1","2","2","paragraph"
"SPIE body text","0","0","0","1","2","3","0","0","1","0","paragraph"
"SPIE figure caption","0","0","0","1","3","3","0","0","1","0","paragraph"
"SPIE table caption","0","0","0","1","3","3","0","0","1","0","paragraph"
"SPIE footnote text","0","0","0","1","3","3","0","0","1","0","paragraph"
"REFERENCE HEADING","1","1","0","1","1","2","0","0","1","0","paragraph"
"SPIE reference listing","0","0","0","1","3","3","0","0","1","0","paragraph"
"16 pt. bold, center","1","1","0","1","0","4","0","0","2","1","heading"
"12 pt., center","1","1","0","1","0","3","0","0","1","1","heading"
"10 pt., left justify","0","0","0","1","0","4","0","1","2","1","paragraph"
"11 PT. BOLD, center","1","1","0","1","3","4","0","0","2","1","heading"
"10 pt., justify","0","0","0","1","0","3","0","0","2","1","paragraph"
"11 pt. BOLD, center, whole numbers","1","1","0","1","3","6","0","0","2","1","paragraph"
"10 pt. bold, left justify, subsection numbers","1","0","0","1","0","7","0","0","3","1","paragraph"
"10 pt., justify","0","0","0","1","0","3","0","0","2","1","paragraph"
"9 pt., center below figure","0","0","0","1","0","5","0","0","3","1","paragraph"
"9 pt., center above figure","0","0","0","1","0","5","0","0","3","1","paragraph"
"9 pt., justify, numbered","0","0","0","1","0","4","0","1","1","1","paragraph"
"11 pt. BOLD, center","1","1","0","1","3","4","0","0","2","1","paragraph"
"10 pt., justify, numbered in brackets","0","0","0","1","0","6","0","1","3","1","paragraph"
"2.","1","1","0","1","2","1","0","0","0","1","heading"
"2.1 Title","1","0","0","1","2","2","0","0","1","1","heading"
"FORMATTING OF MANUSCRIPT COMPONENTS","1","1","0","1","1","4","0","1","1","0","heading"
"Center the paper title at the top of the page in 16-pt. bold. Only the first word, proper nouns, and acronyms are","0","0","0","1","3","22","0","1","6","0","paragraph"
"capitalized. Keep titles brief and descriptive. Spell out acronyms unless they are widely known. Avoid starting with","0","0","0","1","3","17","0","6","2","0","paragraph"
"articles or prepositions, e.g., “The study of … ,” or, “On the ….”","0","0","0","1","3","13","0","0","3","0","paragraph"
"2.2 Author affiliations","1","0","0","1","3","3","0","0","1","1","heading"
"The author list is in 12-pt. regular, centered. Omit titles and degrees such as Dr., Prof., Ph.D., etc. The list of affiliations","0","0","0","1","3","22","0","1","8","0","paragraph"
"follows. Each author's affiliation should be clearly noted.","0","0","0","1","3","8","0","3","1","0","paragraph"
"2.3 Section headings","1","0","0","1","3","3","0","0","1","1","heading"
