"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Samples of descriptive paragraphs:","1","1","0","1","3","4","0","0","2","0","heading"
"Sample 1.The sample below is an opening paragraph from a student essay on the development of","0","0","0","1","3","16","0","1","5","0","paragraph"
"entertainment media. In it, she describes TV-watching in her family to make a point about how","0","0","0","1","3","16","0","2","6","0","paragraph"
"central TV was as a form of entertainment in the 60’s.","0","0","0","1","3","11","0","0","3","1","paragraph"
"(1) As I was growing up in the 60’s, television was the only entertainment my","0","0","0","1","3","15","0","1","4","2","paragraph"
"family knew of the electronic sort. (2) The 7 o’clock nightly news was such an","0","0","0","1","3","15","0","1","3","1","paragraph"
"important part of our family that my dad knocked a wall down and built a huge","0","0","0","1","0","16","0","2","4","0","paragraph"
"cabinet in its place just to accommodate our 19-inch black and white. (3) No one","0","0","0","1","3","15","0","1","3","1","paragraph"
"was allowed to talk or make a sound when the television was on; all eyes were","0","0","0","1","0","16","0","3","3","0","paragraph"
"glued to the moving and flickering image. The box commanded absolute","0","0","0","1","3","11","0","4","3","0","paragraph"
"respect.(4) In the daytime, “the television needs its rest” my mother would say, as","0","0","0","1","3","14","0","3","4","0","paragraph"
"she patted its pseudo-wooden top and covered it with a doilie she had made","0","0","0","1","0","14","0","3","5","0","paragraph"
"herself. (5)There is no doubt that TV was as central to our lives as it was to the","0","0","0","1","3","18","0","0","5","1","paragraph"
"lives of all our friends during that period. (adapted from an essay by Angeline","0","0","0","1","3","14","0","1","5","0","paragraph"
"Chan, used with permission.)","0","0","0","1","3","4","0","1","2","0","paragraph"
"Notice the writer’s use of action verbs (knocked, glued) and her use of sensory words (19- inch,","0","0","0","0","3","17","0","3","5","0","paragraph"
"black and white, huge, talk, sound, flickering)) to paint a picture of the scene in her living room.","0","0","0","0","0","18","0","2","5","0","paragraph"
"In the final sentence, she states the main point of the paragraph: that TV was central in families’","0","0","0","1","3","18","0","1","6","0","paragraph"
"lives during the 60’s. The appearance of a topic sentence at the end of a paragraph, rather than at","0","0","0","1","3","19","0","0","6","1","paragraph"
"the beginning is common in descriptive paragraphs, and it works well for this kind of","0","0","0","1","0","15","0","1","4","0","paragraph"
"development.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Sample 2. This paragraph is a student’s response to an assignment to describe a place of","0","0","0","1","3","16","0","1","6","1","paragraph"
"personal importance or beauty:","0","0","0","1","0","4","0","0","2","0","paragraph"
"(1) The trail, perching precariously 500 feet above the roaring surf and then","0","0","0","0","3","13","0","2","2","1","paragraph"
"dipping effortlessly into dark lush valleys, snakes its way along the fluted","0","0","0","1","0","12","0","3","2","0","paragraph"
"coastline. (2) From a distance, it is hard to believe there would be any way to","0","0","0","1","3","16","0","2","4","1","paragraph"
"traverse the cliffs that dip like fingers into the frothing Pacific. (3)The first half of","0","0","0","1","3","15","0","3","4","0","paragraph"
"the trail is densely overgrown, and the air is dripping with the aroma of over ripe","0","0","0","1","0","16","0","2","3","0","paragraph"
"guava. Waterfalls and streams cascade unceasingly down along the trail from","0","0","0","1","3","11","0","0","4","0","paragraph"
"Mount Waialeale, the wettest spot on earth. (4) Vegetation grows thickly on the","0","0","0","1","3","13","0","1","4","1","paragraph"
"near vertical slopes above and below the trail, lending a sense of false security to","0","0","0","1","0","15","0","1","4","0","paragraph"
"the path, which at its widest measures ten feet across. (5)The landscape on the","0","0","0","1","3","14","0","0","3","1","paragraph"
"second half of the trail, the leeward side, changes dramatically from jungle to","0","0","0","1","0","13","0","1","4","1","paragraph"
"semi-arid desert. (6)Now, the cliffs are bare rock, and a three-foot wide ledge is","0","0","0","1","3","14","0","0","4","0","paragraph"
"all that protects the wary hiker from the black shoreline below.(7) Nevertheless,","0","0","0","1","3","12","0","1","2","0","paragraph"
"the white sand beach that marks the end of the trail is more than ample reward","0","0","0","1","0","16","0","1","4","0","paragraph"
"for the dangers survived.(8) The colors of this last valley, the Kalalau Valley, are","0","0","0","1","3","14","0","0","4","0","paragraph"
"a vivid red and green against a cloudless blue sky. (9)This, however, is not the","0","0","0","1","3","15","0","0","2","0","paragraph"
"end of the trip. The only trail out is the trail in. Not for the faint of heart, the","0","0","0","1","3","19","0","0","6","0","paragraph"
"Kalalua Trail on Kauai’s north shore is eleven miles of rugged adventure. (from","0","0","0","1","3","13","0","0","5","0","paragraph"
"an essay by Noreen Edgar, used with permission)","0","0","0","1","3","8","0","1","3","0","paragraph"
"This writer, too, makes liberal use of sense words (roaring, dark, lush, thickly etc.) and vivid","0","0","0","0","3","16","0","1","3","0","paragraph"
"action verbs (snakes, traverse, cascade). In addition, she uses a spatial arrangement that moves","0","0","0","0","3","14","0","2","7","0","paragraph"
"much in the way a hiker might, from a distant view, to a description of the first half of the trail,","0","0","0","1","0","21","0","1","6","0","paragraph"
"and then to the second half. The topic sentence, (sentence 9) as in the first sample, is found at","0","0","0","1","3","19","0","1","4","1","paragraph"
"the end instead of the beginning of the paragraph.","0","0","0","1","0","9","0","0","3","0","paragraph"
