"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Single-Item Questions","1","0","0","1","2","2","0","0","1","0","heading"
"USMLE STEP 1 TEST QUESTION FORMATS","1","0","0","1","1","6","0","1","1","0","heading"
"A single patient-centered vignette is associated with one question followed by four or more response options.","0","0","0","1","3","16","0","3","3","2","paragraph"
"The response options are lettered (A, B, C, D, E). A portion of the questions require interpretation of graphic","0","0","0","1","3","19","0","2","5","0","paragraph"
"or pictorial materials. You are required to select the best answer to the question. Other options may be","0","0","0","1","3","18","0","3","5","0","paragraph"
"partially correct, but there is only ONE BEST answer. This is the traditional, most frequently used multiple-","0","0","0","1","3","17","0","1","2","1","paragraph"
"choice question format on the examination.","0","0","0","1","0","6","0","0","2","0","paragraph"
"Strategies for Answering Single One-Best-Answer Test Questions","1","0","0","1","2","7","0","1","2","0","heading"
"The following are strategies for answering one-best-answer items:","0","0","0","1","3","8","0","2","2","1","paragraph"
"Read each patient vignette and question carefully. It is important to understand what is being asked.","0","0","0","1","3","16","0","3","4","0","paragraph"
"Try to generate an answer and then look for it in the response option list.","0","0","0","1","3","15","0","3","3","0","paragraph"
"Alternatively, read each response option carefully, eliminating those that are clearly incorrect.","0","0","0","1","3","12","0","2","1","0","paragraph"
"Of the remaining options, select the one that is most correct.","0","0","0","1","3","11","0","1","2","0","paragraph"
"If unsure about an answer, it is better to guess since unanswered questions are automatically counted","0","0","0","1","3","16","0","2","3","0","paragraph"
"as wrong answers.","0","0","0","1","0","3","0","0","1","0","paragraph"
"Example Item","1","0","0","1","2","2","0","0","1","0","heading"
"A 32-year-old woman with type 1 diabetes mellitus has had progressive renal failure over the past 2 years. She","0","0","0","1","3","19","0","1","5","1","paragraph"
"has not yet started dialysis. Examination shows no abnormalities. Her hemoglobin concentration is 9 g/dL,","0","0","0","1","3","15","0","2","5","0","paragraph"
"hematocrit is 28%, and mean corpuscular volume is 94 μm3. A blood smear shows normochromic, normocytic","0","0","0","1","3","16","0","2","5","0","paragraph"
"cells. Which of the following is the most likely cause?","0","0","0","1","3","10","0","0","3","0","paragraph"
"(A) Acute blood loss","0","0","0","1","3","4","0","0","1","0","paragraph"
"(B) Chronic lymphocytic leukemia","0","0","0","1","3","4","0","0","2","0","paragraph"
"(C) Erythrocyte enzyme deficiency","0","0","0","1","3","4","0","0","1","0","paragraph"
"(D) Erythropoietin deficiency","0","0","0","1","3","3","0","0","2","0","paragraph"
"(E) Immunohemolysis","0","0","0","1","2","2","0","0","1","0","paragraph"
"(Answer: D)","0","0","0","1","3","2","0","0","1","0","paragraph"
"(F) Microangiopathic hemolysis","0","0","0","1","3","3","0","0","2","0","paragraph"
"(G) Polycythemia vera","0","0","0","1","2","3","0","0","2","0","paragraph"
"(H) Sickle cell disease","0","0","0","1","3","4","0","0","1","0","paragraph"
"(I) Sideroblastic anemia","0","0","0","1","3","3","0","0","2","0","paragraph"
"(J) β-Thalassemia trait","0","0","0","1","3","3","0","0","1","0","paragraph"
"NOTE: Some item types that appear on the Step 1 examination are NOT depicted in the sample items provided","0","0","0","1","3","19","0","3","4","0","paragraph"
"in this booklet, eg, items with multimedia features, such as audio. Also, when additional item formats are","0","0","0","1","3","17","0","0","4","0","paragraph"
"added to the exam, notice will be provided at the USMLE website: http://www.usmle.org. You must monitor","0","0","0","1","3","16","0","5","4","0","paragraph"
"the website to stay informed about the types of items that occur in the exam, and you must practice with the","0","0","0","1","0","21","0","4","5","0","paragraph"
"downloadable sample test items available on the USMLE website to be fully prepared for the examination.","0","0","0","1","3","16","0","1","3","0","paragraph"
"3","1","0","0","1","2","1","1","0","0","1","paragraph"
