"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","0","0","0","1","3","15","0","1","4","0","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","0","0","0","1","0","17","0","1","4","0","paragraph"
"simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","0","0","0","1","3","15","0","1","4","0","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","0","0","0","1","0","17","0","1","4","0","paragraph"
"scrambled it to make a type specimen book. It has survived not only five centuries, but also the","0","0","0","1","3","18","0","3","4","0","paragraph"
"leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 196","0","0","0","1","3","13","0","2","3","1","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","0","0","0","1","3","14","0","1","3","0","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","0","0","0","1","0","14","0","1","2","0","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","0","0","0","1","3","17","0","3","5","0","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","0","0","0","1","0","11","0","1","3","0","paragraph"
"unchanged. It was popularised in the 196","0","0","0","1","3","7","0","1","1","1","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","0","0","0","1","3","14","0","1","3","0","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","0","0","0","1","0","14","0","1","2","0","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","0","0","0","1","3","17","0","3","5","0","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","0","0","0","1","0","11","0","1","3","0","paragraph"
"unchanged. It was popularised in the 196.","0","0","0","1","3","7","0","1","1","1","paragraph"
"simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","0","0","0","1","3","15","0","1","4","0","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","0","0","0","1","0","17","0","1","4","0","paragraph"
"scrambled it to make a type specimen book. It has sur","0","0","0","1","3","11","0","2","4","0","paragraph"
"simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","0","0","0","1","3","15","0","1","4","0","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","0","0","0","1","0","17","0","1","4","0","paragraph"
"scrambled it to make a type specimen book. It has survived not only five centuries, but also the","0","0","0","1","3","18","0","3","4","0","paragraph"
"leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 196","0","0","0","1","3","13","0","2","3","1","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","0","0","0","1","3","14","0","1","3","0","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","0","0","0","1","0","14","0","1","2","0","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","0","0","0","1","3","17","0","3","5","0","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","0","0","0","1","0","11","0","1","3","0","paragraph"
"unchanged. It was popularised in the 196","0","0","0","1","3","7","0","1","1","1","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","0","0","0","1","3","14","0","1","3","0","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","0","0","0","1","0","14","0","1","2","0","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","0","0","0","1","3","17","0","3","5","0","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","0","0","0","1","0","11","0","1","3","0","paragraph"
"unchanged. It was popularised in the 196","0","0","0","1","3","7","0","1","1","1","paragraph"
"simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","0","0","0","1","3","15","0","1","4","0","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","0","0","0","1","0","17","0","1","4","0","paragraph"
"scrambled it to make a type specimen book. It has sur","0","0","0","1","3","11","0","2","4","0","paragraph"
