"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"A Short Paper Proposing That We Need to Write Shorter Papers","1","0","0","1","2","11","0","3","2","0","heading"
"Stephen Krashen Language and Language Teaching 1,2: 38-39. 2012","0","0","0","1","2","9","0","0","0","1","paragraph"
"When we ask the time, we don't want to know how watches are constructed. Georg Christoph","0","0","0","1","3","16","0","4","5","0","paragraph"
"Lichtenberg (1742-1799)","0","0","0","1","2","2","0","0","1","0","paragraph"
"Our current journals in language education are full of long papers. A typical journal","0","0","0","1","3","14","0","0","4","0","paragraph"
"might have, at most, five major papers. Sometimes we have to write long papers, but","0","0","0","1","3","15","0","2","3","1","paragraph"
"much of the time, it's unnecessary: the papers often contain long introductions more","0","0","0","1","0","13","0","1","4","0","paragraph"
"suitable for doctoral dissertations or review (""state of the art"") papers, apparently","0","0","0","1","0","12","0","0","3","0","paragraph"
"designed to provide evidence that the author is well-read, and long conclusions, with a","0","0","0","1","0","14","0","3","2","0","paragraph"
"repetition of the findings and the author's detailed and lengthy speculations about what","0","0","0","1","0","13","0","0","4","0","paragraph"
"the results might mean for theory and application.","0","0","0","1","0","8","0","2","3","0","paragraph"
"Readers of professional journals don’t need this. Introductions should only give enough","0","0","0","1","3","12","0","3","3","0","paragraph"
"to alert the reader to what the article is above, and provide a few citations in case the","0","0","0","1","0","18","0","2","5","0","paragraph"
"reader needs more information. If the articles cited in the introduction are readily","0","0","0","1","3","13","0","2","4","0","paragraph"
"available, readers are free to consult them, and a brief indication of implications is","0","0","0","1","0","14","0","1","4","0","paragraph"
"generally more than enough for experienced readers. Also, if the results section is clear,","0","0","0","1","3","14","0","0","2","0","paragraph"
"no repetition of the findings is necessary in the conclusion.","0","0","0","1","0","10","0","0","3","0","paragraph"
"Watson and Crick's Nobel Prize winning paper on the double helix was only one page.","0","0","0","1","3","15","0","1","4","1","paragraph"
"Their conclusion: ""It has not escaped our notice that the specific pairing we have","0","0","0","1","3","14","0","2","4","0","paragraph"
"postulated immediately suggests a possible copying mechanism for the genetic material""","0","0","0","1","0","11","0","2","2","0","paragraph"
"(p. 737).","0","0","0","1","0","2","0","0","1","1","paragraph"
"Long papers drain intellectual energy from both readers and writers and waste","1","0","0","1","3","12","0","1","5","0","heading"
"their time.","1","0","0","1","0","2","0","0","1","0","heading"
"They take longer to write, and much of the energy in writing them is dedicated to sections","0","0","0","1","3","17","0","3","4","0","paragraph"
"that don't engage the writer: Writing is a powerful tool to solve problems, and can result","0","0","0","1","3","16","0","4","4","0","paragraph"
"in substantial cognitive development (it can make you smarter), but to do this, the writing","0","0","0","1","0","15","0","2","4","0","paragraph"
"must be directed at a difficult problem (Langer and Applebee, 1987).","0","0","0","1","3","11","0","2","3","0","paragraph"
"Long papers take longer to read. Even readers who try to skim long papers have to","0","0","0","1","3","16","0","4","4","0","paragraph"
"devote time and energy to find the essential parts, and run the danger of missing the","0","0","0","1","0","16","0","3","4","0","paragraph"
"details.","0","0","0","1","0","1","0","0","1","0","paragraph"
"A Disservice to the Profession and to the Scholar","1","0","0","1","2","9","0","0","3","0","heading"
"Too-long papers hurt the spread of knowledge in two ways: They waste our time in both","0","0","0","1","3","16","0","2","6","1","paragraph"
"reading and writing, and they promote sloppy reading. Many readers are content just to","0","0","0","1","3","14","0","2","4","0","paragraph"
"read the abstract and perhaps the summary of technical papers, with a glance at a table.","0","0","0","1","0","16","0","1","4","0","paragraph"
"This means, of course, that significant details on methodology and the analysis, buried in","0","0","0","1","3","14","0","2","3","0","paragraph"
"the paper, are missed, and crucial points and often errors are perpetuated.","0","0","0","1","0","12","0","2","3","0","paragraph"
"Too-long papers also take up space. A journal with five too-long papers could easily","0","0","0","1","3","14","0","2","4","1","paragraph"
"include 20 short papers. This space limitation hurts the dissemination of knowledge,","0","0","0","1","3","12","0","2","4","1","paragraph"
