"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"/ DIRECTORS’ REPORT","0","1","1","1","1","3","0","1","1","0","heading"
"PRINCIPAL ACTIVITIES","0","1","1","1","1","2","0","0","1","0","heading"
"The principal activity of the Bega Cheese Group in the course of the","0","0","0","1","3","13","0","0","3","0","paragraph"
"ﬁnancial year was receiving, processing, manufacturing and","0","0","0","1","0","7","0","1","3","0","paragraph"
"distributing dairy and associated products. A number of key events","0","0","0","1","3","10","0","1","3","0","paragraph"
"in relation to the activities of the Group during the year ended 30","0","0","0","1","3","13","0","1","4","0","paragraph"
"June 2016 are set out in the Executive Chairman’s review and the","0","0","0","1","3","12","0","1","3","0","paragraph"
"Chief Executive Ofﬁcer’s review of operations and activities, which is","0","0","0","1","3","10","0","0","3","0","paragraph"
"to be read in conjunction with this Directors’ report.","0","0","0","1","3","9","0","1","2","0","paragraph"
"DIVIDENDS","0","1","1","1","1","1","0","0","1","0","heading"
"The dividends paid to shareholders during the ﬁnancial year were:","0","0","0","1","3","10","0","1","3","0","paragraph"
"2016 2015","1","0","1","1","2","2","0","0","0","0","paragraph"
"$’000 $’000","1","0","1","1","2","2","0","0","0","0","paragraph"
"Interim ordinary dividend for the year","0","0","0","1","3","6","0","0","2","0","paragraph"
"6,867 -","0","0","0","1","2","2","0","0","0","1","paragraph"
"ended 30 June 2016 of 4.5 cents","0","0","0","1","3","7","0","1","1","0","paragraph"
"Final ordinary dividend for the year","0","0","0","1","3","6","0","0","2","0","paragraph"
"6,867 -","0","0","0","1","2","2","0","0","0","1","paragraph"
"ended 30 June 2015 of 4.5 cents","0","0","0","1","3","7","0","1","1","0","paragraph"
"Interim ordinary dividend for the year","0","0","0","1","3","6","0","0","2","0","paragraph"
"6,104","0","0","0","1","2","1","0","0","0","1","paragraph"
"ended 30 June 2015 of 4.0 cents","0","0","0","1","3","7","0","1","1","0","paragraph"
