"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"28 June 2019","0","0","0","1","2","3","0","0","1","0","paragraph"
"TO: ALL REGISTERED FINANCIAL CORPORATIONS (RFCs)","1","0","0","1","3","6","0","1","2","0","heading"
"ECONOMIC AND FINANCIAL STATISTICS – RESPONSE","1","0","0","1","1","6","0","0","2","0","heading"
"PROPOSED CHANGES TO REPORTING","1","0","0","1","1","4","0","1","2","0","heading"
"SPECIAL PURPOSE VEHICLES (SPVs)","1","0","0","1","3","4","0","0","2","0","heading"
"CONSOLIDATION","1","0","0","1","1","1","0","0","1","0","heading"
"TO SUBMISSIONS ON","1","0","0","1","1","3","0","0","1","0","heading"
"FOR SECURITISATION","1","0","0","1","1","2","0","0","1","0","heading"
"In May 2019, the Australian Bureau of Statistics, the Reserve Bank of Australia and the","0","0","0","1","2","15","0","0","3","0","paragraph"
"Australian Prudential Regulation Authority (APRA) (collectively ‘the agencies’) consulted on","0","0","0","1","3","10","0","1","3","0","paragraph"
"proposed changes to reporting requirements for registered financial corporations (RFCs) that","0","0","0","1","3","11","0","2","4","0","paragraph"
"are not a related party of an authorised deposit-taking institution (ADI). APRA proposed","0","0","0","1","3","13","0","3","4","0","paragraph"
"changes to the Economic and Financial","0","0","0","1","3","6","0","0","2","0","paragraph"
"consolidation of securitisation SPVs.","0","0","0","1","3","4","0","0","2","0","paragraph"
"Statistics (EFS) data collection relating to the","0","0","0","1","3","7","0","1","2","0","paragraph"
"This letter contains APRA’s response to consultation feedback. Based on the submission","0","0","0","1","3","12","0","2","4","0","paragraph"
"received, APRA will proceed with the proposed changes to Reporting Standard ARS 701.0","0","0","0","0","3","13","0","4","4","0","paragraph"
"ABS/RBA Definitions for the EFS Collection (ARS 701.0) and consequential changes to","0","0","0","0","3","12","0","0","4","0","paragraph"
"Reporting Practice Guide RPG 701.0 ABS/RBA Reporting Concepts for the EFS Collection","0","0","0","1","2","12","0","1","3","0","paragraph"
"(RPG 701.0) as outlined in May 2019.","0","0","0","1","3","7","0","1","2","0","paragraph"
"Background","1","0","0","1","2","1","0","0","1","0","heading"
"In March 2018, amendments to the Financial Sector (Collection of Data) Act 2001 (FSCODA)","0","0","0","0","3","14","0","0","6","0","paragraph"
"broadened the scope of entities that must register under the FSCODA and enabled APRA to","0","0","0","1","3","15","0","4","4","0","paragraph"
"collect information from non-ADI lenders. These amendments were made to allow APRA and","0","0","0","1","3","13","0","3","4","0","paragraph"
"the Council of Financial Regulators to better monitor the financial stability impacts of non-ADI","0","0","0","1","3","14","0","1","4","0","paragraph"
"lenders and to determine appropriate actions if needed to address a potential increase of risk","0","0","0","1","0","15","0","3","4","0","paragraph"
"in this sector.","0","0","0","1","0","3","0","0","1","0","paragraph"
"In May 2019, the agencies commenced consultation on proposed changes to the treatment of","0","0","0","1","3","14","0","2","5","0","paragraph"
"SPVs in the EFS data collection to improve the collection of RFC data. The agencies proposed","0","0","0","1","3","16","0","2","5","0","paragraph"
"changes to ARS 701.0 and consequential changes to RPG 701.0. These changes require a","0","0","0","1","3","14","0","1","4","1","paragraph"
"RFC that is not a related party of an ADI to consolidate the positions and transactions of all","0","0","0","1","3","18","0","3","4","0","paragraph"
"securitisation SPVs in a single set of reporting for EFS. These changes do not apply to a RFC","0","0","0","1","3","18","0","2","5","0","paragraph"
"that is a related party to an ADI.","0","0","0","1","3","8","0","0","2","0","paragraph"
"The assets and liabilities of securitisation SPVs would therefore be consolidated on to a RFC’s","0","0","0","1","3","15","0","2","4","0","paragraph"
"domestic books. Assets originated into, or transferred to, an SPV are included in the RFC’s","0","0","0","1","3","15","0","3","4","0","paragraph"
"reporting.","0","0","0","1","0","1","0","1","0","0","paragraph"
"The requirement for an external auditor’s report as set out in Standard RRS 710 Audit","0","0","0","0","3","15","0","1","3","0","paragraph"
"Requirements for Registered Financial Corporations","0","0","0","1","2","5","0","0","2","0","paragraph"
"reporting RFC, and not the individual SPVs.","0","0","0","1","3","7","0","1","2","0","paragraph"
"Submissions received","1","0","0","1","3","2","0","1","1","0","heading"
"EFS collection will apply to the","0","0","0","0","3","6","0","2","1","0","paragraph"
"APRA received one submission from an industry body. The submission agreed that APRA’s","0","0","0","1","3","13","0","2","5","1","paragraph"
"proposed changes to","0","0","0","1","0","3","0","1","1","0","paragraph"
"securitisation industry","0","0","0","1","0","2","0","0","1","0","paragraph"
"the EFS collection were the best way to capture the bulk of the","0","0","0","1","3","13","0","1","3","0","paragraph"
"as intended. The submission noted issues to consider around the","0","0","0","1","3","10","0","3","2","0","paragraph"
"structure and control relationship of SPVs, and also suggested a change to reporting dates for","0","0","0","1","3","15","0","1","5","0","paragraph"
"RFCs.","0","0","0","1","2","1","0","0","1","0","paragraph"
"Structure and control of SPVs","1","0","0","1","3","5","0","0","3","0","heading"
"The submission indicated a number of entities may require APRA to further tailor their","0","0","0","1","3","14","0","4","4","0","paragraph"
"reporting requirements to cater for their unique structures. If this is the case, APRA","0","0","0","1","3","14","0","2","3","0","paragraph"
"encourages affected entities to contact APRA by email at DataAnalytics@apra.gov.au .","0","0","0","0","3","11","0","2","5","0","paragraph"
"Reporting date","1","0","0","1","2","2","0","1","1","0","heading"
"The submission also raised concerns regarding the due date for reporting from smaller RFCs,","0","0","0","1","3","14","0","3","4","0","paragraph"
"citing inconsistencies with the burden imposed on their larger peers. APRA and the agencies","0","0","0","1","3","14","0","2","5","0","paragraph"
"will consider this matter further and will revert at a later date.","0","0","0","1","0","12","0","4","1","0","paragraph"
"Reporting timeline","1","0","0","1","3","2","0","1","1","0","heading"
"In line with the original proposal, the first reporting period will be for the period ending July","0","0","0","1","3","17","0","2","4","0","paragraph"
"2019.","0","0","0","1","2","1","0","0","0","0","paragraph"
"The agencies acknowledge that this is an abbreviated timeline. However, given the importance","0","0","0","1","3","13","0","3","3","0","paragraph"
"of this data, priority is being placed on commencing reporting as soon as possible. APRA","0","0","0","1","3","15","0","2","4","0","paragraph"
"encourages entities that have concerns with meeting the reporting timeline to contact APRA","0","0","0","1","3","13","0","3","4","0","paragraph"
"by email at DataAnalytics@apra.gov.au to discuss alternative reporting arrangements.","0","0","0","0","3","9","0","1","3","0","paragraph"
"Finalised reporting standard and guidance","1","0","0","1","3","5","0","1","2","0","heading"
"Copies of ARS 701.0 and RPG 701.0 are available on the APRA website at","0","0","0","1","3","14","0","0","3","0","paragraph"
"https://www.apra.gov.au/modernised-economic-and-financial-statistics-efs. Entities that","0","0","0","0","3","3","0","0","2","0","paragraph"
"require additional guidance are encouraged","0","0","0","1","0","5","0","2","1","0","paragraph"
"DataAnalytics@apra.gov.au.","0","0","1","1","2","1","0","0","1","0","paragraph"
"Yours sincerely,","0","0","0","1","3","2","0","0","0","0","paragraph"
"Alison Bliss","0","0","0","1","2","2","0","0","1","0","paragraph"
"General Manager","0","0","0","1","2","2","0","0","1","0","paragraph"
"Data Analytics","0","0","0","1","2","2","0","0","1","0","paragraph"
"AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY","1","0","0","1","1","4","0","0","1","0","paragraph"
"to contact APRA by email at","0","0","0","1","3","6","0","1","2","0","paragraph"
"2","1","0","0","1","2","1","1","0","0","1","paragraph"
