"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Own plant tools and","1","1","1","1","3","4","0","0","1","0","heading"
"equipment section –","1","1","1","1","0","3","0","0","1","0","heading"
"Tradesmen","1","1","1","1","2","1","0","0","1","0","heading"
"AXA Business Insurance","1","1","1","1","2","3","0","0","1","0","heading"
"Meaning of defined terms","1","1","1","1","3","4","0","2","1","0","paragraph"
"What is covered","1","1","1","1","3","3","0","1","1","0","heading"
"What is not covered","1","1","1","1","3","4","0","1","1","0","heading"
"Own plant tools and equipment section – Tradesmen","1","1","1","1","3","8","0","0","2","0","heading"
"Your schedule will show if this section is covered","1","1","1","0","3","9","0","3","2","0","heading"
"Meanings of defined terms","1","1","1","1","3","4","0","1","2","0","heading"
"These definitions apply to this section and are in addition to the policy definitions that have already","0","0","0","1","3","17","0","1","4","0","paragraph"
"been described in the Essential Information document. If a word or phrase has a defined meaning it","0","0","0","1","3","17","0","2","5","0","paragraph"
"will be underlined and will have the same meaning wherever it is used in this section","0","0","0","1","0","16","0","4","3","0","paragraph"
"Damage","1","0","1","1","2","1","0","0","1","0","heading"
"Loss or destruction or damage.","0","0","0","1","3","5","0","0","3","0","paragraph"
"Hacking","1","0","1","1","2","1","0","1","0","0","heading"
"Unauthorised access to any computer or other equipment, component, system or item","0","0","0","1","3","12","0","0","6","0","paragraph"
"which processes, stores, transmits or retrieves data whether your property or not","0","0","0","1","0","12","0","1","4","0","paragraph"
"Phishing","1","0","1","1","2","1","0","0","1","0","heading"
"Any access or attempted access to data or information made by means of","0","0","0","1","3","13","0","2","5","0","paragraph"
"misrepresentation or deception.","0","0","0","1","0","3","0","0","2","0","paragraph"
"Own plant tools and equipment","1","0","1","1","3","5","0","0","2","0","heading"
"Constructional plant, machinery, trailers, tools, equipment, site huts, or caravans","0","0","0","1","3","10","0","0","7","0","paragraph"
"(including their contents) belonging to you","0","0","0","0","0","6","0","2","2","0","paragraph"
"Portable tools and equipment including electronic communication and computing","0","0","0","1","3","9","0","1","4","0","paragraph"
"equipment the personal property of partners, principals, directors or employees up","0","0","0","1","0","11","0","1","5","0","paragraph"
"to the value of £500 any one person, which are ordinarily used or needed on the site","0","0","0","1","0","17","0","2","3","1","paragraph"
"of any contract carried out by you in connection with the business","0","0","0","0","0","12","0","1","4","0","paragraph"
"a) anywhere within the policy territories","0","0","0","0","0","6","0","0","1","0","paragraph"
"b) elsewhere within the European Union in connection with temporary work by","0","0","0","0","3","12","0","0","3","0","paragraph"
"persons ordinarily resident within the policy territories for a period or periods of","0","0","0","0","0","13","0","0","4","0","paragraph"
"up to 180 days in total, during any one period of insurance.","0","0","0","0","0","12","0","0","4","1","paragraph"
"Stock in trade belonging to you, referred to in your schedule as ’stock in trade’,","0","0","0","1","3","15","0","2","6","0","paragraph"
"while at your premises, or in a securely locked store or compound within the policy","0","0","0","0","0","15","0","1","4","0","paragraph"
"territories, or in transit by road, rail or inland waterway.","0","0","0","0","0","10","0","0","5","0","paragraph"
"AXA Business Insurance - Own plant tools and equipment section – Tradesmen - Meaning of defined terms Go to Contents page","0","0","1","0","3","21","0","2","4","0","paragraph"
"Terrorism","1","0","1","1","2","1","0","0","1","0","heading"
"In England, Scotland and Wales: Acts of persons acting on behalf of, or in connection","0","0","0","1","3","15","0","1","6","0","paragraph"
"with, any organisation which carries out activities directed towards the overthrowing or","0","0","0","1","0","12","0","2","3","0","paragraph"
"influencing, by force or violence, of Her Majesty’s Government in the United Kingdom or","0","0","0","1","3","14","0","0","6","0","paragraph"
"any other government de jure or de facto.","0","0","0","1","0","8","0","0","2","0","paragraph"
"In Northern Ireland: An act including, but not limited to the use of force or violence and","0","0","0","1","3","17","0","2","4","0","paragraph"
"or threat thereof of any person or group(s) of persons whether acting alone or on behalf","0","0","0","1","0","16","0","1","4","1","paragraph"
"of or in connection with any organisation(s) or government(s) committed for political,","0","0","0","1","0","12","0","1","1","0","paragraph"
"religious, ideological or similar purposes including the intention to influence any","0","0","0","1","0","11","0","2","2","0","paragraph"
"government and or put the public or any section of the public in fear.","0","0","0","1","0","14","0","1","5","0","paragraph"
"In the Channel Islands and the Isle of Man: An act of any person(s) acting on behalf of","0","0","0","1","3","18","0","1","4","0","paragraph"
"or in connection with any organisation which carries out activities directed towards the","0","0","0","1","0","13","0","2","3","0","paragraph"
"overthrowing or influencing by force or violence of any government de jure or de facto.","0","0","0","1","0","15","0","2","3","0","paragraph"
"Virus or similar mechanism","1","0","1","1","3","4","0","0","2","0","heading"
"Program code, programming instruction or any set of instructions intentionally","0","0","0","1","3","10","0","0","4","0","paragraph"
"constructed with the ability to damage, interfere with or otherwise adversely affect","0","0","0","0","0","12","0","4","1","0","paragraph"
"computer programs, data files or operations, whether involving self-replication or not.","0","0","0","1","0","11","0","1","4","0","paragraph"
"The meaning of virus or similar mechanism includes but is not limited to, trojan horses","0","0","0","1","3","15","0","2","3","0","paragraph"
"worms and logic bombs.","0","0","0","1","0","4","0","0","2","0","paragraph"
"Page 183 of 186","0","0","1","0","2","4","0","0","1","2","paragraph"
"What is covered","1","1","1","1","3","3","0","1","1","0","heading"
"What is covered","1","1","1","1","3","3","0","1","1","0","heading"
"What is not covered","1","1","1","1","3","4","0","1","1","0","heading"
"AXA Business Insurance - Own plant tools and equipment section – Tradesmen - What is covered Go to Contents page","0","0","1","0","3","20","0","2","4","0","paragraph"
"Page 184 of 186","0","0","1","0","2","4","0","0","1","2","paragraph"
"What is not covered","1","1","1","1","3","4","0","1","1","0","heading"
"Aircraft or watercraft exclusion","1","0","1","1","3","4","0","0","2","0","heading"
"We will not cover you for damage to any","0","0","0","0","3","9","0","2","3","0","paragraph"
"Aircraft","0","0","0","1","2","1","0","0","1","0","paragraph"
"watercraft (other than watercraft not exceeding 8 metres in length or any hand-","0","0","0","1","0","13","0","1","3","0","paragraph"
"propelled boat or pontoon)..","0","0","0","1","0","4","0","1","2","0","paragraph"
"Breakdown exclusion","1","0","1","1","3","2","0","0","1","0","heading"
"We will not cover you for damage caused by mechanical or electrical breakdown or","0","0","0","0","3","14","0","3","4","0","paragraph"
"derangement.","0","0","0","1","0","1","0","0","0","0","paragraph"
"Date recognition exclusion","1","0","1","1","3","3","0","0","1","0","heading"
"We will not cover damage directly or indirectly caused by, contributed to or arising from","0","0","0","0","3","15","0","5","2","0","paragraph"
"the failure of equipment (including hardware and software) to correctly recognise any","0","0","0","1","0","12","0","2","4","0","paragraph"
"given date or to process data or to operate properly due to failure to recognise any given","0","0","0","1","0","17","0","5","3","0","paragraph"
"date.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Electronic equipment exclusion","1","0","1","1","3","3","0","0","1","0","heading"
