"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Chapter 14","1","1","0","1","2","2","0","0","1","0","heading"
"Virtual Doppelgangers: Psychological Effects","1","1","0","1","2","4","0","0","2","0","heading"
"of Avatars Who Ignore Their Owners","1","1","0","1","2","6","0","1","3","0","heading"
"Jeremy N. Bailenson and Kathryn Y. Segovia","1","0","0","1","2","7","0","0","2","0","heading"
"Imagine a world where multiple versions of yourself exist. These other versions","0","0","0","1","3","12","0","2","4","0","paragraph"
"of you may look like you but need not behave like you. Famous authors and","0","0","0","1","3","15","0","4","4","0","paragraph"
"screenwriters have depicted this type of scenario multiple times in movies and","0","0","0","1","0","12","0","1","4","0","paragraph"
"literary works. For example, in the film Being John Malkovich, the actor","0","0","0","0","3","12","0","0","5","0","paragraph"
"Malkovich wakes up in a restaurant and looks across the table (Jonze 1999).","0","0","0","0","3","13","0","2","3","0","paragraph"
"There is a woman wearing a revealing evening dress, but as his gaze pans up, he","0","0","0","1","3","16","0","2","3","0","paragraph"
"is stunned to see his own head on top of the voluptuous female form. Seconds","0","0","0","1","3","15","0","1","4","0","paragraph"
"later, a waiter walks by and is also wearing his head. His psychological response","0","0","0","1","3","14","0","2","3","0","paragraph"
"is predictably dire, and the terror only increases as he pans across the room and","0","0","0","1","0","15","0","2","3","0","paragraph"
"realizes that every single person in the restaurant, ranging from jazz singers to","0","0","0","1","0","13","0","2","2","0","paragraph"
"midgets, is wearing his head. He is literally trapped in a room full of identical","0","0","0","1","3","15","0","2","3","0","paragraph"
"twins behaving independently of his own intentions and actions. In Edgar Allan","0","0","0","1","3","12","0","1","4","0","paragraph"
"Poe’s William Wilson, the main character William meets another boy who shares","0","0","0","0","3","12","0","2","6","0","paragraph"
"his name (Poe 1839). Throughout the story, William’s double changes to act and","0","0","0","0","3","13","0","1","5","0","paragraph"
"look more like William. William grows frustrated with his double who is con-","0","0","0","1","3","13","0","3","5","0","paragraph"
"stantly mimicking him and giving him unsolicited advice and eventually stabs his","0","0","0","1","0","12","0","3","3","0","paragraph"
"double to death. Additionally, in a powerful scene in William Gibson’s","0","0","0","1","3","11","0","0","3","0","paragraph"
"Neuromancer (1984), one of the main characters, Riviera, forces a character","0","0","0","0","3","11","0","1","4","1","paragraph"
"named Molly to witness a hologram of herself perform a number of unspeakable","0","0","0","1","3","13","0","3","3","0","paragraph"
"acts. Molly’s physical self observes the interaction, but she cannot control the","0","0","0","1","3","12","0","3","4","0","paragraph"
"actions of the other version of herself.","0","0","0","1","0","7","0","0","3","0","paragraph"
"The above scenarios may seem like situations that would only be possible in","0","0","0","1","3","13","0","3","2","0","paragraph"
"science fiction, but if we take a close look at today’s digital media, we find that","0","0","0","1","0","16","0","2","6","0","paragraph"
"virtual versions of ourselves exist in many different places.","0","0","0","1","0","9","0","1","3","0","paragraph"
"J.N. Bailenson and K.Y. Segovia","0","0","0","1","2","5","0","0","2","0","paragraph"
"Stanford University","0","0","0","1","2","2","0","0","1","0","paragraph"
"e-mails: bailenson@gmail.com; kathrynyr@gmail.com","0","0","0","1","0","3","0","0","1","0","paragraph"
"W.S. Bainbridge (ed.), Online Worlds: Convergence of the Real and the Virtual, 175","0","0","0","0","3","13","0","0","3","1","paragraph"
"Human-Computer Interaction Series, DOI 10.1007/978-1-84882-825-4_14,","0","0","0","1","2","5","0","0","1","0","paragraph"
"© Springer-Verlag London Limited 2010","0","0","0","1","2","5","0","0","2","0","paragraph"
"Doppelgangers","1","1","0","1","2","1","0","0","1","0","heading"
"J.N. Bailenson and K.Y. Segovia","0","0","0","1","2","5","0","0","2","0","paragraph"
"Doppelganger is the term that we will use throughout this chapter to refer to virtual","0","0","0","0","3","15","0","3","4","0","paragraph"
"versions of the self. Doppelganger is derived from the German language and is defined","0","0","0","1","3","14","0","2","4","0","paragraph"
"as any double or look-alike of a person. Throughout history, several famous individuals","0","0","0","1","3","13","0","1","3","0","paragraph"
"have reported seeing their doppelganger. For example, in 1860 as the U.S. presidential","0","0","0","1","3","13","0","2","3","0","paragraph"
"election results were rolling in, Abraham Lincoln reported seeing two versions of him-","0","0","0","1","3","13","0","3","3","1","paragraph"
"self in the reflection of a long piece of glass – one version’s face much paler than the","0","0","0","1","0","18","0","1","6","1","paragraph"
"other. After sharing this encounter with his wife, she supposedly predicted that the","0","0","0","1","3","13","0","2","3","0","paragraph"
"image of the doppelganger signified that Abraham would be elected to a second term","0","0","0","1","3","14","0","3","4","0","paragraph"
"as president but that he would not survive the second term (Sandburg 1954).","0","0","0","0","3","13","0","2","4","0","paragraph"
"A loose definition of digital doppelgangers exists in online and video games. In","0","0","0","1","3","13","0","1","3","0","paragraph"
"the Massively Multiplayer Online games (MMOs), which are described in a number","0","0","0","1","3","12","0","1","3","0","paragraph"
"of chapters in this volume, players get to design the appearance of their avatar that","0","0","0","1","0","15","0","2","5","0","paragraph"
"moves through the 3D virtual game. In many of these games, there are very few","0","0","0","1","3","15","0","0","3","1","paragraph"
"constraints for avatar creation and with the drag of a slider bar players can control","0","0","0","1","0","15","0","2","4","0","paragraph"
"their identity – height, weight, age, and even species.","0","0","0","1","0","9","0","0","5","0","paragraph"
"We also see avatars in traditional console video games. For example, players of","0","0","0","1","3","13","0","1","4","0","paragraph"
"the Nintendo Wii can design a virtual representation (“mii”) that resembles them on","0","0","0","1","3","13","0","3","4","0","paragraph"
"many dimensions (Ratan et al. 2007). The Play Station skateboarding video game,","0","0","0","0","3","12","0","1","4","0","paragraph"
"Tony Hawk’s Underground 2 Remix, also allows players to personalize their avatars","0","0","0","0","3","12","0","2","4","0","paragraph"
"by uploading photographs of their own face to the game console (Lum 2005). After","0","0","0","0","3","14","0","1","4","0","paragraph"
"the photographs are mapped onto the face of a generic character, players can then","0","0","0","1","0","14","0","2","4","0","paragraph"
"control their virtual representation just as any other generic video game character.","0","0","0","1","0","12","0","1","2","0","paragraph"
