"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Bharti AXA General Insurance","0","1","0","1","2","4","0","0","1","0","heading"
"Company Limited","0","1","0","1","2","2","0","0","1","0","heading"
"(080-49123900","0","0","0","1","2","1","0","0","0","1","paragraph"
": customer.service@bharti-axagi.co.in","0","0","0","0","0","2","0","0","0","1","paragraph"
"È SMS <SERVICE> to 5667700","0","0","0","0","3","5","0","0","2","0","paragraph"
"Smart DriveDrive - Two Wheeler","0","1","0","0","2","5","0","0","2","0","paragraph"
"- Policy Wordings","1","1","0","1","2","3","0","0","1","0","heading"
"Insurance","1","1","0","1","2","1","0","0","1","0","heading"
": www.bharti-axagi.co.in","0","0","0","0","0","2","0","0","1","0","paragraph"
"Policy","1","1","0","1","2","1","0","0","1","0","heading"
"Whereas the Insured by a proposal and declaration dated as stated in the","0","0","0","1","3","13","0","3","2","0","paragraph"
"Schedule which shall be the basis of this contract and is deemed to be","0","0","0","1","3","14","0","2","3","0","paragraph"
"incorporated herein has applied to Bharti AXA General Insurance Co. Ltd.","0","0","0","1","3","11","0","1","2","0","paragraph"
"(hereinafter referred to as “the Company”) for insurance hereinafter contained","0","0","0","1","3","10","0","2","3","0","paragraph"
"and has paid the premium mentioned in the schedule as consideration for such","0","0","0","1","0","13","0","2","3","0","paragraph"
"insurance in respect of accident loss or damage occurring during the Period of","0","0","0","1","3","13","0","1","5","0","paragraph"
"Insurance.","0","0","0","1","2","1","0","0","1","0","paragraph"
"(The term two wheeler referred to in this Tariff will include motor","0","0","0","0","3","12","0","3","4","1","paragraph"
"cycle/scooter/auto cycle or any other motorized two wheeled vehicle mentioned","0","0","0","1","0","10","0","2","2","1","paragraph"
"in the Schedule.)","0","0","0","1","2","3","0","0","1","0","paragraph"
"Now This Policy Witnesseth:","0","0","0","1","2","4","0","0","1","0","heading"
"That subject to the Terms Exceptions and Conditions contained herein or","0","0","0","1","3","11","0","1","4","0","paragraph"
"endorsed or otherwise expressed hereon.","0","0","0","1","0","5","0","2","1","0","paragraph"
"Section I: Loss of or Damage to The Vehicle Insured","0","0","0","1","2","10","0","1","4","0","heading"
"The Company will indemnify the insured against loss or damage to the vehicle","0","0","0","1","3","13","0","3","4","0","paragraph"
"insured hereunder and/or its accessories whilst thereon","0","0","0","1","0","7","0","0","3","0","paragraph"
"i) by fire explosion self ignition or lightning;","0","0","0","1","0","8","0","0","3","0","paragraph"
"ii) by burglary housebreaking or theft;","0","0","0","1","0","6","0","0","2","0","paragraph"
"iii) by riot and strike;","0","0","0","1","0","5","0","0","3","0","paragraph"
"iv) by earthquake (fire and shock damage);","0","0","0","1","0","7","0","0","1","0","paragraph"
"v) by flood typhoon hurricane","0","0","0","1","0","5","0","0","1","0","paragraph"
"hailstorm frost;","0","0","0","1","0","2","0","0","1","0","paragraph"
"vi) by accidental external means;","0","0","0","1","0","5","0","0","2","0","paragraph"
"vii) by malicious act;","0","0","0","1","0","4","0","0","2","0","paragraph"
"viii) by terrorist activity;","0","0","0","1","0","4","0","0","2","0","paragraph"
"storm tempest inundation cyclone","0","0","0","1","0","4","0","0","1","0","paragraph"
"ix) whilst in transit by road rail inland- waterway lift elevator or air;","0","0","0","1","0","13","0","0","5","0","paragraph"
"x) by landslide rockslide.","0","0","0","1","0","4","0","0","1","0","paragraph"
"Subject to a deduction for depreciation at the rates mentioned below in respect","0","0","0","1","3","13","0","1","4","0","paragraph"
"of parts replaced;","0","0","0","1","0","3","0","1","1","0","paragraph"
"For all rubber/ nylon/ plastic parts, tyres,","0","0","0","1","3","7","0","0","1","0","paragraph"
"tubes and batteries","0","0","0","1","0","3","0","0","2","0","paragraph"
"50%","0","0","0","1","2","1","0","0","1","0","paragraph"
"For fibre glass components 30%","0","0","0","1","3","5","0","1","0","0","paragraph"
"For all parts made of glass","0","0","0","1","3","6","0","1","2","0","paragraph"
"Rate of depreciation for all other","0","0","0","1","3","6","0","0","2","0","paragraph"
"will be as per the following schedule:","0","0","0","1","0","7","0","2","1","0","paragraph"
"Bharti AXA General Insurance Co. Ltd.","0","0","0","1","2","6","0","0","1","0","paragraph"
"Nil","0","0","0","1","2","1","0","0","1","0","paragraph"
"parts including wooden parts","0","0","0","1","0","4","0","1","2","0","paragraph"
