"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"THE BUDGET MESSAGE","0","1","0","1","1","3","0","0","1","0","heading"
"To The Congress of The UniTed sTaTes:","0","0","0","0","3","7","0","0","2","0","paragraph"
"OF THE PRESIDENT","0","1","0","1","1","3","0","0","1","0","heading"
"In one year of working together, we have laid the foundation for a new era of American Greatness.","0","0","0","1","3","18","0","2","5","0","paragraph"
"We have boosted economic growth, created more than two million jobs, and added nearly $5 trillion","0","0","0","1","3","16","0","3","3","1","paragraph"
"in new wealth to the stock market. Unemployment is at a 17-year low, wages are rising, and jobs","0","0","0","1","3","18","0","1","6","0","paragraph"
"are returning to America. Starting this month, hardworking Americans are going to see increased","0","0","0","1","3","14","0","6","2","0","paragraph"
"take home pay because of the massive tax cuts and tax reform legislation we enacted at the end of","0","0","0","1","0","19","0","2","5","0","paragraph"
"last year.","0","0","0","1","0","2","0","0","1","0","paragraph"
"America is back to winning again. A great spirit of optimism continues to sweep across our","0","0","0","1","3","16","0","3","3","0","paragraph"
"Nation. Americans can once again be truly confident that our brightest days are ahead of us.","0","0","0","1","3","16","0","1","4","0","paragraph"
"This year’s Budget builds upon our incredible successes over the past year and rests on the fol-","0","0","0","1","3","17","0","1","5","0","paragraph"
"lowing pillars of reform:","0","0","0","1","0","4","0","1","2","0","paragraph"
"Ending Wasteful Spending. The United States is laboring under the highest level of debt held","0","0","0","0","3","15","0","3","4","0","paragraph"
"by the public since shortly after the Second World War. The current fiscal path is unsustainable,","0","0","0","1","3","16","0","0","3","0","paragraph"
"and future generations deserve better. The Budget makes the hard choices needed to stop wasteful","0","0","0","1","3","15","0","4","3","0","paragraph"
"spending, lower the national debt, and focus Government on what matters most—protecting the","0","0","0","1","3","13","0","4","4","0","paragraph"
"Nation.","0","0","0","1","2","1","0","0","1","0","paragraph"
"Expanding Economic Growth and Opportunity. The Budget continues our efforts to grow","0","0","0","0","3","12","0","3","4","0","paragraph"
"the economy, create millions of new jobs, and raise wages. To accompany our efforts to cut spending","0","0","0","1","3","17","0","4","6","1","paragraph"
"and implement massive tax cuts and reforms for American families, workers, and businesses, we","0","0","0","1","3","14","0","1","5","0","paragraph"
"will continue to relentlessly target unnecessary regulations for elimination. We will also continue","0","0","0","1","3","13","0","5","3","0","paragraph"
"driving America toward energy dominance and making the United States a net energy exporter by","0","0","0","1","3","15","0","2","4","0","paragraph"
