"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"The sample size required for each State for various investigations among different","0","0","0","1","3","12","0","1","3","0","paragraph"
"target groups of individuals are given below:","0","0","0","1","0","7","0","1","2","0","paragraph"
"the available individuals","0","0","0","1","0","3","0","0","1","0","paragraph"
"Design effect 2","0","0","0","1","3","3","0","0","1","1","paragraph"
"Measurement of blood pressure","1","0","0","1","3","4","0","0","2","0","heading"
"Earlier studies have revealed that the prevalence of hypertension among the rural","0","0","0","1","3","12","0","1","2","0","paragraph"
"adults of ≥18 years in the State of Gujarat was 10%3 which was lowest compared to","0","0","0","1","3","16","0","1","5","0","paragraph"
"other NNMB States. Assuming 10% prevalence of hypertension among rural adults,","0","0","0","1","3","11","0","1","4","0","paragraph"
"with 95% confidence interval, 20% relative precision and design effect of 2, the sample","0","0","0","1","0","14","0","0","4","1","paragraph"
"size computed for each State was 1,728 adults in each gender.","0","0","0","1","3","11","0","1","4","1","paragraph"
"3.4.3. Estimation of fasting blood glucose","1","0","0","1","3","6","0","1","2","1","heading"
"Earlier studies have revealed that the overall prevalence of diabetes among the","0","0","0","1","3","12","0","1","2","0","paragraph"
"rural adults of ≥18 years was about 5%3. Assuming 5% prevalence of diabetes among","0","0","0","1","3","14","0","1","4","0","paragraph"
"rural adults, with 95% confidence interval and 20% relative precision, the sample size","0","0","0","1","0","13","0","0","4","0","paragraph"
"computed was 1,825 adults in each gender.","0","0","0","1","0","7","0","0","3","1","paragraph"
"3.5. Investigations","1","0","0","1","2","2","0","0","1","1","heading"
"The following investigations were carried out in the selected HHs:","0","0","0","1","3","10","0","3","2","0","paragraph"
"3.5.1. Socio-economic and demographic particulars of households","1","0","0","1","3","7","0","0","3","1","heading"
"Socioeconomic and demographic particulars, such as age, sex, occupation, annual","0","0","0","1","3","10","0","0","4","0","paragraph"
"family income, family size, type of family, literacy level of individuals, information about","0","0","0","1","0","13","0","0","7","0","paragraph"
"possession of agricultural land, types of crops raised, their yield during previous year,","0","0","0","1","0","13","0","1","6","0","paragraph"
"live stock, type of dwelling, environmental sanitation etc. from all the selected 20 HHs","0","0","0","1","3","14","0","1","4","1","paragraph"
"were collected using pre-tested questionnaires.","0","0","0","1","0","5","0","3","1","0","paragraph"
"NNMB","0","0","0","1","1","1","0","0","1","0","paragraph"
"3 Rural-Third Repeat Survey 2011-12","0","0","0","1","2","5","0","0","1","1","paragraph"
