"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"What is the Cost of Building a Subway?","0","1","1","1","2","8","0","1","3","0","heading"
"Alon Levy","0","0","0","1","2","2","0","0","1","0","paragraph"
"Table of Contents","0","1","1","1","2","3","0","0","2","0","heading"
"Introduction","0","0","1","1","2","1","0","0","1","0","heading"
"Literature Review","0","0","1","1","2","2","0","0","1","0","heading"
"The Data","0","0","1","1","2","2","0","0","1","0","heading"
"Analysis","0","0","1","1","2","1","0","0","1","0","heading"
"Synthesis","0","0","1","1","2","1","0","0","1","0","heading"
"Further Research","0","0","1","1","2","2","0","0","1","0","heading"
"Introduction","0","1","1","1","2","1","0","0","1","0","heading"
"In the 2010s, New York opened two subway extensions (7","0","0","0","1","3","10","0","1","3","2","paragraph"
"extension, Second Avenue Subway) for $1.3-1.6 billion/km.","0","0","0","1","3","7","0","0","3","0","paragraph"
"This decade, Paris has built several M´etro extensions (M4, M12 in","0","0","0","1","3","11","0","1","4","1","paragraph"
"service; M1, M11, GPX under construction) for around $250","0","0","0","1","3","9","0","0","5","0","paragraph"
"million/km.","0","0","0","1","0","1","0","0","1","0","paragraph"
"The most recent Madrid Metro extensions (L2, L9) cost $85","0","0","0","1","3","10","0","1","2","0","paragraph"
"million/km.","0","0","0","1","0","1","0","0","1","0","paragraph"
"The big question: why?","0","0","0","0","3","4","0","0","1","0","paragraph"
"What does this mean?","0","1","1","1","3","4","0","1","1","0","heading"
"New York is planning to have spent around $35 billion between","0","0","0","1","3","11","0","2","1","0","paragraph"
"2005 and 2030 on subway and commuter rail expansion. But it’s","0","0","0","1","3","11","0","1","2","1","paragraph"
"only getting 15 km of new tunnel!","0","0","0","1","0","7","0","1","2","0","paragraph"
"Paris is spending a similar amount over the same period: e40","0","0","0","1","3","11","0","1","4","0","paragraph"
"billion, for a total of 228 km, 187 underground.","0","0","0","1","0","9","0","0","3","2","paragraph"
"Madrid, a much smaller city, spent e10 billion in 1995-2015 on","0","0","0","1","3","11","0","1","2","0","paragraph"
"234 km, around 180 underground.","0","0","0","1","0","5","0","0","2","1","paragraph"
"The limiting factor to subway expansion is cost.","0","0","0","1","3","8","0","2","2","0","paragraph"
"Why?","0","1","1","1","2","1","0","0","0","0","heading"
"This is the $2 billion question! The data can help answer","0","0","0","1","3","11","0","3","2","0","paragraph"
"important questions:","0","0","0","1","0","2","0","0","1","0","paragraph"
"Is New York building inherently more diﬃcult projects?","0","0","0","1","3","8","0","0","2","0","paragraph"
"Where else are costs high? Where are they low?","0","0","0","1","3","9","0","0","2","0","paragraph"
"Are high costs caused by geological and geographic factors?","0","0","0","1","3","9","0","1","2","0","paragraph"
"Are deep institutional factors (e.g. health care, legal system)","0","0","0","1","3","9","0","0","3","0","paragraph"
"involved?","0","0","0","1","0","1","0","1","0","0","paragraph"
"Is this about cheaper construction methods?","0","0","0","1","3","6","0","0","1","0","paragraph"
"Can anything be done about the problem?","0","0","0","1","3","7","0","2","2","0","paragraph"
"Good news: it appears the problem is, at least in theory, solvable!","0","0","0","1","3","12","0","1","4","0","paragraph"
"Lit review: cost overruns","0","1","1","1","3","4","0","0","2","0","paragraph"
"There has been extensive study of cost overruns from the initial","0","0","0","0","3","11","0","0","2","0","paragraph"
"budget:","0","0","0","1","0","1","0","0","1","0","paragraph"
"Pickrell 1990, 1992: American urban rail; see more recent","0","0","0","1","3","9","0","1","1","0","paragraph"
"revision by Hardy-Doh-Yuan-Zhou-Button 2009.","0","0","0","1","3","4","0","0","2","0","paragraph"
"Fouracre-Allport-Thomson 1990: developing-world metros.","0","0","0","1","3","4","0","1","2","0","paragraph"
"Flyvbjerg on strategic misrepresentation (i.e. lying):","0","0","0","1","3","6","0","1","2","0","paragraph"
"Flyvbjerg-Bruzelius-Rothengatter’s Megaprojects and Risk","0","0","0","0","2","4","0","0","3","0","paragraph"
"2003, Flyvberg-Holm-Buhl 2002-5, etc.","0","0","0","1","2","4","0","0","1","0","paragraph"
"These studies ﬁnd that costs tend to run over, but don’t compare","0","0","0","1","3","12","0","4","2","0","paragraph"
"absolute costs. But they give us one caution: we should be wary of","0","0","0","1","3","13","0","2","5","0","paragraph"
"old ex ante data.","0","0","0","0","0","4","0","0","1","0","paragraph"
"Lit review: absolute costs","0","1","1","1","3","4","0","0","2","0","heading"
"Some studies of absolute costs of urban rail:","0","0","0","0","3","8","0","0","3","0","paragraph"
"Flyvbjerg-Bruzelius-van Wee 2008: small N, all in developed","0","0","0","0","3","8","0","1","2","0","paragraph"
"countries, mixed subways/els. This study ﬁnds a small US","0","0","0","1","3","9","0","1","4","0","paragraph"
"premium, but the US lines compared are easier to build than","0","0","0","1","3","11","0","2","2","0","paragraph"
"some of the European lines.","0","0","0","1","3","5","0","0","1","0","paragraph"
