"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"References","0","1","0","1","2","1","0","0","1","0","heading"
"[1] Narendra Ahuja and Sinisa Todorovic. Learning the taxonomy and models of categories present in arbi-","0","0","0","1","3","16","0","1","5","1","paragraph"
"trary images. In International Conference on Computer Vision, 2007.","0","0","0","0","3","9","0","0","3","0","paragraph"
"[2] Yoshua Bengio. Learning deep architectures for ai.","0","0","0","1","3","8","0","1","3","1","paragraph"
"2(1):1–127, 2009.","0","0","0","1","2","2","0","0","0","0","paragraph"
"Foundations and Trends R? in Machine Learning,","0","0","0","0","2","7","0","0","3","0","paragraph"
"[3] Dan Ciresan, Alessandro Giusti, Juergen Schmidhuber, et al. Deep neural networks segment neuronal","0","0","0","1","3","14","0","0","5","1","paragraph"
"membranes in electron microscopy images. In Advances in Neural Information Processing Systems 25,","0","0","0","0","3","13","0","0","4","0","paragraph"
"2012.","0","0","0","1","2","1","0","0","0","0","paragraph"
"[4] Navneet Dalal and Bill Triggs. Histograms of oriented gradients for human detection. In Computer Vision","0","0","0","0","3","16","0","0","6","1","paragraph"
"and Pattern Recognition, 2005.","0","0","0","0","2","4","0","0","1","0","paragraph"
"[5] J. Deng, W. Dong, R. Socher, L.-J. Li, K. Li, and L. Fei-Fei. ImageNet: A Large-Scale Hierarchical","0","0","0","1","3","18","0","0","8","1","paragraph"
"Image Database. In Computer Vision and Pattern Recognition, 2009.","0","0","0","0","2","9","0","0","3","0","paragraph"
"[6] John Duchi, Elad Hazan, and Yoram Singer. Adaptive subgradient methods for online learning and","0","0","0","1","3","15","0","0","5","0","paragraph"
"stochastic optimization. In Conference on Learning Theory. ACL, 2010.","0","0","0","0","3","9","0","0","4","0","paragraph"
"[7] M. Everingham, L. Van Gool, C. K. I. Williams, J. Winn, and A. Zisserman. The pascal visual object","0","0","0","1","3","19","0","0","6","0","paragraph"
"classes (voc) challenge. International Journal of Computer Vision, 88(2):303–338, 2010.","0","0","0","0","3","10","0","0","3","0","paragraph"
"[8] Cl´ement Farabet, Camille Couprie, Laurent Najman, and Yann LeCun. Learning hierarchical features","0","0","0","1","3","13","0","1","5","1","paragraph"
"for scene labeling. IEEE Transactions on Pattern Analysis and Machine Intelligence, 35(8):1915–1929,","0","0","0","0","3","12","0","0","4","0","paragraph"
"2013.","0","0","0","1","2","1","0","0","0","0","paragraph"
