"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"The dos and","1","1","1","1","2","3","0","0","1","0","heading"
"Design Professional","0","1","0","1","2","2","0","0","1","0","heading"
"don’ts of NDAs","1","1","1","1","3","3","0","0","1","0","heading"
"Signing an owner’s nondisclosure agreement may be an accepted part of doing business,","0","1","0","1","3","13","0","3","4","0","heading"
"but some of the terms owners seek to impose on designers are just plain unacceptable.","0","1","0","1","0","15","0","2","3","0","heading"
"While many people might associate nondisclosure agreements,","0","0","0","1","3","7","0","2","2","0","paragraph"
"or NDAs, with Silicon Valley startups or Hollywood studios that","0","0","0","1","3","10","0","1","2","0","paragraph"
"don’t want their next big ideas made public, there are also many","0","0","0","1","0","12","0","2","1","0","paragraph"
"reasons why project owners request that design professionals sign","0","0","0","1","0","9","0","2","3","0","paragraph"
"NDAs: to keep proprietary information out of competitors’ hands;","0","0","0","1","3","9","0","1","3","0","paragraph"
"to keep deliberations over various means, methods or solutions","0","0","0","1","0","9","0","1","4","0","paragraph"
"secret; or to prevent others from learning about an entity’s overall","0","0","0","1","0","11","0","2","2","0","paragraph"
"strategy until absolutely necessary.","0","0","0","1","0","4","0","0","1","0","paragraph"
"Typically, an owner will request that a designer sign an NDA before","0","0","0","1","3","12","0","2","3","0","paragraph"
"negotiating or finalizing a contract in an attempt to keep the","0","0","0","1","0","11","0","3","2","0","paragraph"
"project details—or even its existence—secret, whether or not the","0","0","0","1","0","9","0","0","2","0","paragraph"
"designer ends up participating in the project.","0","0","0","1","0","7","0","2","2","0","paragraph"
"AXA XL’s Design Professional team cautions design professionals","0","0","0","1","3","8","0","1","2","0","paragraph"
"to regard NDAs as they do contracts, i.e., read them carefully","0","0","0","1","3","11","0","2","4","0","paragraph"
"before signing. We’ve seen cases in which the A/E has signed an","0","0","0","1","3","12","0","4","3","0","paragraph"
"NDA without fully understanding its implications.","0","0","0","1","3","6","0","1","2","0","paragraph"
"“Some architects or engineers willingly sign NDAs without","0","0","0","1","3","8","0","1","3","0","paragraph"
"examining the language and comprehending the penalties they","0","0","0","1","0","8","0","2","3","0","paragraph"
"are accepting, including agreeing to penalties without proof of a","0","0","0","1","0","10","0","3","2","0","paragraph"
"breach,” says Nancy Rigassio, Executive Claims Counsel for AXA","0","0","0","1","3","9","0","1","3","0","paragraph"
"XL’s Design Professional team. “My guess is that when owners","0","0","0","1","3","10","0","0","2","0","paragraph"
"propose confidentiality agreements while the parties work out the","0","0","0","1","0","9","0","2","2","0","paragraph"
"professional services agreement, many design professionals see","0","0","0","1","0","7","0","1","2","0","paragraph"
"the confidentiality agreement as a preliminary—and temporary—","0","0","0","1","0","7","0","0","1","0","paragraph"
"step in the process.”","0","0","0","1","0","4","0","1","1","0","paragraph"
"While most designers might not intentionally divulge confidential","0","0","0","1","3","8","0","2","1","0","paragraph"
"information, there are plenty of situations in which someone","0","0","0","1","0","9","0","0","2","0","paragraph"
"might unintentionally let the cat out of the bag. For example,","0","0","0","1","3","11","0","2","3","0","paragraph"
"let’s say you were invited to discuss the building of a new big-box","0","0","0","1","0","13","0","4","4","0","paragraph"
"store in a town that has traditionally patronized local businesses.","0","0","0","1","0","10","0","1","3","0","paragraph"
"After your meeting, someone overhears you and your colleagues","0","0","0","1","3","9","0","1","4","0","paragraph"
"discussing the project in a nearby restaurant. Even worse, one","0","0","0","1","3","10","0","1","2","0","paragraph"
"of your junior staff members, after hearing about this potential","0","0","0","1","0","10","0","1","2","0","paragraph"
"feather in your firm’s cap, decides to post the news on social","0","0","0","1","0","12","0","3","3","0","paragraph"
"media. Before you know it, local merchants have formed an","0","0","0","1","3","10","0","2","4","0","paragraph"
"organization to protest the project.","0","0","0","1","0","5","0","1","2","0","paragraph"
"Another possible scenario is that your firm might suffer a data","0","0","0","1","3","11","0","2","3","0","paragraph"
"breach. In such a case, the owner’s confidential material could","0","0","0","1","3","10","0","2","2","0","paragraph"
"be stolen and, once the theft was discovered, you would have to","0","0","0","1","0","12","0","3","2","0","paragraph"
"notify the owner of the breach as required by law. Since the owner","0","0","0","1","3","13","0","2","4","0","paragraph"
"would likely accuse you of violating the NDA, you’d find yourself","0","0","0","1","3","11","0","5","4","0","paragraph"
"in the most difficult position of having to prove that the owner’s","0","0","0","1","0","12","0","2","1","0","paragraph"
"confidential material was not stolen.","0","0","0","1","0","5","0","1","1","0","paragraph"
"What’s “confidential”?","1","1","1","1","3","2","0","1","1","0","heading"
"The problem with many, if not most, of these owner-written NDAs","0","0","0","1","3","11","0","1","2","0","paragraph"
"is that they’re so broad in scope that a designer of any tenure","0","0","0","1","0","13","0","1","3","0","paragraph"
"would have a tough time not violating the terms, no matter how","0","0","0","1","0","12","0","2","2","0","paragraph"
"careful the designer, because everything about the project could","0","0","0","1","0","9","0","2","3","0","paragraph"
"be deemed confidential.","0","0","0","1","0","3","0","1","0","0","paragraph"
"Rather than precisely limit the information the owner wants to","0","0","0","1","3","10","0","2","2","0","paragraph"
"be kept confidential, these troublesome NDAs cast as wide a net","0","0","0","1","3","11","0","2","1","0","paragraph"
"as possible. Consider, for example, the following passage from an","0","0","0","1","3","10","0","2","2","0","paragraph"
"NDA a designer was asked to sign:","0","0","0","1","3","7","0","2","2","0","paragraph"
"…Confidential Information is defined as all data and","0","0","0","1","3","8","0","1","2","0","paragraph"
"information relating to the Owner’s activities, operations,","0","0","0","1","3","7","0","1","3","0","paragraph"
"practices, or customers that the Consultant learns during its","0","0","0","1","3","9","0","1","3","0","paragraph"
"interactions with the Owner…shall include but is not limited to","0","0","0","1","3","10","0","3","2","0","paragraph"
"the following…financial plans and data; product development;","0","0","0","1","0","7","0","1","3","0","paragraph"
"trade secrets; business plans; operational methods; marketing","0","0","0","1","0","7","0","0","4","0","paragraph"
"plans or strategies; pricing information; customer files; material","0","0","0","1","0","8","0","1","5","0","paragraph"
"and product specifications; personnel and compensation","0","0","0","1","0","6","0","0","3","0","paragraph"
"policies…and other similar information.","0","0","0","1","0","4","0","0","2","0","paragraph"
"At least this NDA sets forth a definition of what is to be deemed","0","0","0","1","3","14","0","2","3","0","paragraph"
"confidential—most NDAs don’t. But note the use of “other","0","0","0","1","3","9","0","1","2","0","paragraph"
"similar information.” That only adds to this clause’s already-too-","0","0","0","1","3","9","0","1","2","0","paragraph"
"expansive definition of “confidential information.”","0","0","0","1","0","5","0","0","2","0","paragraph"
"“Owners deliberately want a very broad definition to include","0","0","0","1","3","9","0","2","2","0","paragraph"
"information not even contemplated at the early phase of the","0","0","0","1","0","10","0","1","2","0","paragraph"
"project,” Rigassio says. “But defining confidential information as","0","0","0","1","3","8","0","2","2","0","paragraph"
"broadly as possible places an unfair burden on the designer.”","0","0","0","1","0","10","0","0","2","0","paragraph"
"It’s up to you to revise the agreement to define confidential","0","0","0","1","3","11","0","3","3","0","paragraph"
"information as that information the owner specifically designates","0","0","0","1","0","8","0","1","3","0","paragraph"
"to you as confidential.","0","0","0","1","0","4","0","0","1","0","paragraph"
"Public responsibility","1","1","1","1","3","2","0","0","1","0","heading"
"As a licensed design professional, you have an ethical obligation","0","0","0","1","3","10","0","0","3","0","paragraph"
"to protect public health and safety, a duty which overrides","0","0","0","1","0","10","0","2","3","0","paragraph"
"any obligation to the owner. However, if you were to discover","0","0","0","1","3","11","0","1","3","0","paragraph"
"something, or if the owner were to ask you to do something,","0","0","0","1","0","12","0","1","4","0","paragraph"
"that you believed would be contrary to the ethical code, and you","0","0","0","1","0","12","0","2","3","0","paragraph"
"decided to report it, you could find yourself in violation of the","0","0","0","1","0","12","0","4","4","0","paragraph"
"NDA.","0","0","0","1","1","1","0","0","1","0","paragraph"
"Potential costs","1","1","1","1","3","2","0","0","1","0","heading"
"In this next clause, a different owner’s proposed NDA describes","0","0","0","1","3","10","0","2","2","0","paragraph"
"the consequences of disclosing what the owner subjectively","0","0","0","1","0","8","0","1","2","0","paragraph"
"considers confidential information:","0","0","0","1","0","3","0","1","1","0","paragraph"
"In the event of any breach of this Agreement by Consultant,","0","0","0","1","3","11","0","0","4","0","paragraph"
"Consultant shall pay the Company liquidated damages equal","0","0","0","1","3","8","0","4","3","0","paragraph"
"to $25,000 for each such breach. The Parties hereby agree","0","0","0","1","3","10","0","1","2","0","paragraph"
"that in the event of such a breach, actual damages would be","0","0","0","1","0","12","0","1","2","0","paragraph"
"impractical or impossible to ascertain, such liquidated damages","0","0","0","1","0","8","0","2","1","0","paragraph"
"The dos and don’ts of NDAs • Page 2","0","0","0","1","3","9","0","0","2","0","paragraph"
"Many owner-written NDAs are","0","1","1","1","3","4","0","1","1","0","paragraph"
"so broad in scope that even the most","0","1","1","1","0","8","0","0","1","0","paragraph"
"careful A/E would have a tough time","0","1","1","1","3","7","0","1","2","0","paragraph"
