"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Figure 7.1 Cumulative Aggregate Concentration Curves","0","0","0","1","2","6","0","0","2","1","paragraph"
"0.6","0","0","0","1","2","1","0","0","0","0","paragraph"
"Ultimately, the most","0","0","0","1","2","3","0","0","0","0","paragraph"
"number of firms ranked in descending order of size","0","0","0","1","0","9","0","2","4","0","paragraph"
"important comparison is inter-temporal - how is aggregate EU retail food","0","0","0","1","3","11","0","0","2","0","paragraph"
"concentration changing over time? Unfortunately, here, we are confined to just a comparison of our own","0","0","0","1","3","16","0","2","4","0","paragraph"
"estimates for 1993 and 1996. Nevertheless, even over this relatively short three year period, there appears","0","0","0","1","3","16","0","1","2","0","paragraph"
"to have been a significant increase in EU concentration. As shown in the table, there was an increase of","0","0","0","1","3","19","0","1","4","0","paragraph"
"4.2% points in the share of the top 20 between 1993 and 1996. Moreover, the table and figure 1, which","0","0","0","1","3","20","0","0","2","2","paragraph"
"show the cumulative concentration curves for the two years, reveal that the increased share of matrix firms","0","0","0","1","0","17","0","3","3","0","paragraph"
"is almost entirely attributable to the top 20. Indeed, the next 30 firms actually suffered a joint loss of 0.4%","0","0","0","1","3","20","0","1","3","1","paragraph"
"points between the two years. This is due, presumably, in part to the rapid growth of the very largest firms,","0","0","0","1","3","20","0","0","5","0","paragraph"
"but also in part to the exit of some important medium-large firms, as described in the previous section.","0","0","0","1","0","18","0","1","4","0","paragraph"
"7.4. Concentration within individual member states","1","0","0","1","3","6","0","0","2","1","heading"
"Tables 7.4 to 7.6 turn the focus on to concentration within the individual member states. Table 7.4","0","0","0","1","3","17","0","1","5","3","paragraph"
"confirms that the above increase in concentration at the EU level is mirrored by typically increasing","0","0","0","1","3","16","0","3","3","0","paragraph"
"concentration in the individual member state- by about 3% points on average between 1993 and 1996.","0","0","0","1","0","16","0","0","3","0","paragraph"
"It also confirms important differences between member states. Broadly speaking, the ranking of member","0","0","0","1","3","14","0","2","5","0","paragraph"
"states is as described in the previous chapter. The highest 5 Firm concentration ratios are to be found in","0","0","0","1","3","19","0","2","3","1","paragraph"
"Finland and Sweden, and the lowest in the southern countries - Greece, Spain, Italy. The UK, France and","0","0","0","1","3","18","0","0","6","0","paragraph"
"Germany lie within the middle of the range. Perhaps most interestingly, there appear to have been","0","0","0","1","3","16","0","2","3","0","paragraph"
"significant increases in concentration in Portugal, Spain, Austria, Greece and the UK. Moreover, since","0","0","0","1","3","14","0","0","7","0","paragraph"
"these estimates refer to 1996, they will not reflect the effects of continued merger activity post-1996 in","0","0","0","1","0","17","0","3","4","0","paragraph"
"Spain, Portugal and the Netherlands in particular.","0","0","0","1","3","7","0","0","3","0","paragraph"
"than shown in the table.","0","0","0","1","0","5","0","1","1","0","paragraph"
"In those countries, concentration is probably now higher","0","0","0","1","3","8","0","0","2","0","paragraph"
"Table 7.4: Five Firm National Concentration Ratios (%)","1","0","0","1","2","8","0","0","3","2","heading"
"Table 7. 5 Comparisons of C5 from different sources","1","0","0","1","3","9","0","0","3","2","heading"
"Other Sources: LDA","0","0","0","1","2","3","0","0","2","0","paragraph"
"AIM","0","0","0","1","1","1","0","0","1","0","paragraph"
"PBUK","0","0","0","1","1","1","0","0","1","0","paragraph"
"EH","0","0","0","1","1","1","0","0","1","0","paragraph"
"La Distribution alimentaire","0","0","0","1","3","3","0","0","1","0","paragraph"
"AIM","0","0","0","1","1","1","0","0","1","0","paragraph"
"UK Pocketbook","0","0","0","1","2","2","0","0","1","0","paragraph"
"European Handbook","0","0","0","1","2","2","0","0","1","0","paragraph"
"OXIRM referred to in ""Food Retailing in Southern European Countries"", European","0","0","0","1","3","11","0","1","3","0","paragraph"
"Regional Review, 1998 (date of estimate not reported in source)","0","0","0","1","3","10","0","1","4","0","paragraph"
"HBS Harvard Business School (date of estimate not reported in source)","0","0","0","1","3","11","0","1","4","0","paragraph"
"As a reference point, Table 7.5 digresses briefly by comparing our estimates with those from previous","0","0","0","1","3","16","0","2","3","1","paragraph"
"64","0","1","0","1","2","1","1","0","0","1","paragraph"
