"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"We received payment for your GitHub.com subscription. Thanks for your business!","1","0","0","1","3","11","0","1","5","0","paragraph"
"Questions? please contact support@github.com.","1","0","0","0","3","4","0","0","2","0","paragraph"
"Date","1","0","0","1","2","1","0","0","1","0","paragraph"
"2019-11-22 12:44PM PST","0","0","0","1","1","3","0","0","1","0","paragraph"
"Account billed AXATechLab (pierre-loic.doulcet@axa-tech.com)","1","0","0","0","3","4","0","1","2","0","paragraph"
"GitHub Plan 5 included seats + 89 additional seats ($9/month each)","1","0","0","0","3","11","0","1","3","1","paragraph"
"Data","1","0","0","1","2","1","0","0","1","0","paragraph"
"1 data pack ($5/month each)","0","0","0","1","0","5","0","0","1","1","paragraph"
"GitHub Actions 0 of 10000 included private minutes $0.00 USD","1","0","0","0","3","10","0","1","3","1","paragraph"
"GitHub Packages","1","0","0","1","2","2","0","0","1","0","paragraph"
"Actions/Packages Storage","1","0","0","1","2","2","0","0","1","0","paragraph"
"Total","1","0","0","1","2","1","0","0","0","0","paragraph"
"Charged to","1","0","0","1","2","2","0","1","0","0","paragraph"
"Transaction ID","1","0","0","1","2","2","0","0","1","0","paragraph"
"For service through","1","0","0","1","3","3","0","0","1","0","paragraph"
"Extra billing information","1","0","0","1","3","3","0","0","1","0","paragraph"
"(Added by @AXATechLab)","1","0","0","1","3","3","0","1","1","0","paragraph"
"GitHub, Inc.","1","0","1","1","2","2","0","0","1","0","paragraph"
"88 Colin P. Kelly Jr. Street","1","0","1","1","2","6","0","0","1","1","paragraph"
"San Francisco, CA 94107","1","0","1","1","2","4","0","0","2","0","paragraph"
"United States","1","0","1","1","2","2","0","0","1","0","paragraph"
"0GB of 10GB included data transfer out $0.00 USD","0","0","0","1","3","9","0","2","3","1","paragraph"
"0.0GB of 2.0GB included storage $0.00 USD","0","0","0","1","3","7","0","1","4","2","paragraph"
"$831.00 USD*","0","0","0","1","1","2","0","0","1","0","paragraph"
"PayPal account (pierre@pld.io)","1","0","0","0","3","3","0","0","2","1","paragraph"
"1V669607U96880528","0","0","0","1","1","1","0","0","0","1","paragraph"
"2019-12-21","0","0","0","1","2","1","0","0","0","0","paragraph"
"CHE-116.273.030","0","0","0","1","1","1","0","0","1","0","paragraph"
"support@github.com","1","0","1","1","0","1","0","0","0","0","paragraph"
"https://github.com/contact","1","0","1","1","0","1","0","0","0","0","paragraph"
"* VAT/GST paid directly by GitHub, where applicable","1","0","1","1","3","8","0","1","2","0","paragraph"
