"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Mr. Pierre-Loic Doulcet","1","0","0","1","2","3","0","0","1","0","paragraph"
"Av Haldimand 71","1","0","0","1","2","3","0","0","1","0","paragraph"
"Yverdon-Les-Bains 1400","1","0","0","1","2","2","0","0","1","0","paragraph"
"Switzerland","1","0","0","1","2","1","0","0","1","0","paragraph"
"Date Description","1","0","0","1","2","2","0","0","1","0","paragraph"
"Room No. :711","0","0","0","1","2","3","0","0","2","1","paragraph"
"Arrival :10-24-19","0","0","0","1","2","2","0","0","1","1","paragraph"
"Departure :10-31-19","0","0","0","1","2","2","0","0","1","1","paragraph"
"Page No. : 1 of 2","0","0","0","1","2","6","0","0","2","2","paragraph"
"Folio No. :458133","0","0","0","1","2","3","0","0","2","1","paragraph"
"Conf. No. :33046504 /","0","0","0","1","2","4","0","0","1","1","paragraph"
"HQTSJSNZ","0","0","0","1","1","1","0","0","1","0","paragraph"
"Cashier No. : 129","0","0","0","1","2","4","0","0","1","1","paragraph"
"User ID : 0922ROLEG","0","0","0","1","2","4","0","0","1","1","paragraph"
"Date :10-31-19","0","0","0","1","2","2","0","0","1","1","paragraph"
"Charges Credits","1","0","0","1","2","2","0","0","1","0","paragraph"
"39.51","0","0","0","1","2","1","0","0","0","1","paragraph"
"Mr. Pierre-Loic Doulcet","1","0","0","1","2","3","0","0","1","0","paragraph"
"Av Haldimand 71","1","0","0","1","2","3","0","0","1","0","paragraph"
"Yverdon-Les-Bains 1400","1","0","0","1","2","2","0","0","1","0","paragraph"
"Switzerland","1","0","0","1","2","1","0","0","1","0","paragraph"
"Date Description","1","0","0","1","2","2","0","0","1","0","paragraph"
"Signature","1","1","0","1","2","1","0","0","1","0","paragraph"
"Total","1","0","0","1","2","1","0","0","0","0","paragraph"
"Balance","1","0","0","1","2","1","0","0","1","0","paragraph"
"Charges Credits","1","0","0","1","2","2","0","0","1","0","paragraph"
