"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Links to sample legislation and resource documents","0","1","0","1","3","7","0","1","2","0","heading"
"References to the national and sub-national legislations currently in force that most closely","0","0","0","1","3","13","0","0","3","0","paragraph"
"conform to these best practice guidelines are provided below:","0","0","0","1","0","9","0","2","1","0","paragraph"
"(a) United Kingdom of Great Britain and Northern Ireland, Health Act 2006,","0","0","0","1","2","12","0","0","2","0","paragraph"
"http://www.opsi.gov.uk/acts/acts2006/20060028.htm","0","0","1","1","0","1","0","0","0","0","paragraph"
"(b) New Zealand, Smoke-free Environments Amendment Act","0","0","0","1","2","7","0","0","1","0","paragraph"
"2003, http://www.legislation.govt.nz/browse_vw.asp?content-set=pal_statutes","0","0","0","1","0","2","0","0","1","0","paragraph"
"(c) Norway, Act No. 14 of 9 March 1973 relating to Prevention of the Harmful Effects","0","0","0","1","3","16","0","1","5","1","paragraph"
"of Tobacco,","0","0","0","1","2","2","0","0","1","0","paragraph"
"http://odin.dep.no/hod/engelsk/regelverk/p20042245/042041990030/dok-","0","0","1","1","0","1","0","0","1","1","paragraph"
"bn.html (It should be noted, however, that the option of smoking sections is not","0","0","0","0","3","14","0","2","4","0","paragraph"
"recommended under these guidelines.)","0","0","0","1","0","4","0","1","1","0","paragraph"
"(d) Scotland,","0","0","0","1","2","2","0","0","0","0","paragraph"
"Act 2005,","0","0","0","1","2","2","0","0","1","0","paragraph"
"Smoking, Health and Social Care (Scotland)","0","0","0","1","3","6","0","0","3","0","paragraph"
"http://www.opsi.gov.uk/legislation/scotland/acts2005/20050013.htm","0","0","1","1","0","1","0","0","1","0","paragraph"
"Regulations: http://www.opsi.gov.uk/si/si2006/20061115.htm","0","0","0","0","3","2","0","0","1","0","paragraph"
"(e) Uruguay,","0","0","0","1","2","2","0","0","1","0","paragraph"
"Decreto","0","0","0","1","2","1","0","0","1","0","paragraph"
"40/006,","0","0","0","1","2","1","0","0","0","1","paragraph"
"http://www.globalsmokefreepartnership.org/files/132.doc","0","0","1","1","0","1","0","0","0","0","paragraph"
"(f) Ireland, Public Health (Tobacco) (Amendment) Act 2004,","0","0","0","1","3","8","0","0","5","0","paragraph"
"http://193.178.1.79/2004/en/act/pub/0006/index.html","0","0","1","1","0","1","0","0","0","0","paragraph"
"(g) Bermuda,","0","0","0","1","2","2","0","0","1","0","paragraph"
"Act 2005,","0","0","0","1","2","2","0","0","1","0","paragraph"
"Tobacco Products (Public Health) Amendment","0","0","0","1","3","5","0","0","3","0","paragraph"
"http://www.globalsmokefreepartnership.org/files/139.DOC","0","0","1","1","3","1","0","0","1","0","paragraph"
"Resource documents","0","0","0","1","3","2","0","0","1","0","paragraph"
"WHO policy recommendations: protection from exposure to second-hand tobacco smoke.","0","0","0","1","3","10","0","0","4","0","paragraph"
"Geneva, World Health Organization, 2007.","0","0","0","1","2","5","0","0","2","0","paragraph"
"Available at:","0","0","0","1","2","2","0","0","0","0","paragraph"
"http://www.who.int/tobacco/resources/publications/wntd/2007/who_protection_exposure_final","0","0","1","1","0","1","0","0","0","0","paragraph"
"_ 25June2007.pdf","0","0","1","1","2","2","0","0","1","0","paragraph"
"Tobacco smoke and involuntary smoking. IARC Monographs on the Evolution of Carcinogenic","0","0","0","1","3","12","0","1","5","0","paragraph"
"Risks to Humans, Vol. 83, Lyon, France, World Health Organization and International Agency","0","0","0","1","2","13","0","0","6","0","paragraph"
"for Research on Cancer, 2004. Available at: THIS LINK","0","0","0","0","2","9","0","0","3","0","paragraph"
"The health consequences of involuntary exposure to tobacco smoke: a report of the Surgeon","0","0","0","1","3","14","0","0","5","0","paragraph"
"General. Washington, DC, United States Department of Health and Human Services, 2006.","0","0","0","1","2","12","0","0","6","0","paragraph"
"Available at: http://www.surgeongeneral.gov/library/secondhandsmoke/","0","0","0","0","3","3","0","0","0","0","paragraph"
"1","0","0","0","1","2","1","1","0","0","1","paragraph"
"Proposed identification of environmental tobacco smoke as a toxic air contaminant. San","0","0","0","1","3","12","0","1","4","0","paragraph"
