"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Parsr: Turn your documents into data!","1","1","0","1","3","6","0","1","3","0","heading"
"P arsr allows a data scientist, an analyst, a developer, or an enthusiast to automatically obtain","0","0","0","0","3","16","0","2","5","0","paragraph"
"structured data from a compiled PDF or an image or scanned document. It is a minimal-footprint","0","0","0","1","3","16","0","1","6","0","paragraph"
"document cleaning, parsing and extraction toolchain which generates readily available, organized","0","0","0","1","0","11","0","2","3","0","paragraph"
"and usable data for data scientists and developers.","0","0","0","1","0","8","0","0","3","0","paragraph"
"Currently, Parsr has (but is not limited to) the following features:","0","0","0","1","3","11","0","2","2","0","paragraph"
"Text Order Detection","0","0","0","1","2","3","0","0","1","0","paragraph"
"Page Number Detection","0","0","0","1","2","3","0","0","1","0","paragraph"
"Header-Footer Detection","0","0","0","1","2","2","0","0","1","0","paragraph"
"Table Detection and Reconstruction","0","0","0","1","2","4","0","0","2","0","paragraph"
"Named Entity Recognition (Dates, Percentages, etc)","0","0","0","1","3","6","0","0","4","0","paragraph"
"Key-Value Pair Detection (for the extraction of specific form-based entries)","0","0","0","1","3","10","0","1","3","0","paragraph"
"Link Detection","0","0","0","1","2","2","0","1","1","0","paragraph"
"Heading Detection","0","0","0","1","2","2","0","1","1","0","paragraph"
"Document Hierarchy Regeneration (Words, Lines and Paragraphs)","0","0","0","1","3","7","0","0","4","0","paragraph"
"Whitespace Removal, etc","0","0","0","1","2","3","0","0","1","0","paragraph"
"Furthermore, the pipeline is extensible and one’s own module can be easily introduced.","0","0","0","1","3","13","0","2","2","0","paragraph"
"Parsr’s pipeline’s backbone is based on Typescript, but it can easily be extended using modules","0","0","0","1","3","15","0","4","4","0","paragraph"
"plugging into tools built from flavors like Python or Haskell.","0","0","0","1","3","10","0","2","4","0","paragraph"
"Parsr supports a choice among multiple extraction engines for each type of input. Parsr extracts","0","0","0","1","3","15","0","1","6","0","paragraph"
"textual data from PDF files using pdftojson and from images using OCR adapters such as tesseract.","0","0","0","1","3","16","0","2","6","0","paragraph"
"The user even has the choice to use the proprietary ABBYY FineReader solution for using a","0","0","0","1","3","16","0","2","3","0","paragraph"
"professional grade OCR as the backend for enhanced text recognition precision.","0","0","0","1","3","11","0","0","3","0","paragraph"
"Parsr provides users with clean, structured and label-enriched information set. The output","0","0","0","1","3","12","0","2","4","0","paragraph"
"(formatted as a friendly, documented JSON file) can possibly contain data with fine granularity","0","0","0","1","3","14","0","4","3","0","paragraph"
"(bounding boxes for each letter of each word), to relatively low frequency details like the sizes and","0","0","0","1","0","17","0","1","5","0","paragraph"
"margins of each page.","0","0","0","1","0","4","0","0","2","0","paragraph"
"The user can also generate outputs in the formats of Markdown, Raw Text, PDF, CSV (for tabular","0","0","0","1","3","17","0","2","8","0","paragraph"
"data), and others. New output formats can also be easily generated using an extensible output","0","0","0","1","3","15","0","3","4","0","paragraph"
"module system for easy extensibility.","0","0","0","1","0","5","0","0","2","0","paragraph"
"The Parsr toolchain’s open-source dependency set is minimal: node.js, qpdf, mupdf-tools,","0","0","0","0","3","11","0","0","2","0","paragraph"
"imagemagick, tesseract, pdf2json, pandoc and camelot. An optional proprietary dependency ABBYY","0","0","0","1","3","11","0","0","6","0","paragraph"
"FineReader is equally supported.","0","0","0","1","3","4","0","1","1","0","paragraph"
"The ready-to-use applications range from data entry and document analysis automation, archival,","0","0","0","1","3","12","0","2","4","0","paragraph"
"and many others.","0","0","0","1","0","3","0","0","1","0","paragraph"
"Furthermore, it is free and open source!","0","0","0","1","3","7","0","0","2","0","paragraph"
"Parsr was built by the community using community-made tools for the community itself. Delve right","0","0","0","1","3","15","0","4","5","0","paragraph"
"in; check it out and help improve this version 0.1 making Parsr the standard for data extraction from","0","0","0","1","3","18","0","4","4","1","paragraph"
"documents!","0","0","0","1","0","1","0","0","1","0","paragraph"
"Internal","0","0","0","1","2","1","0","0","1","0","paragraph"
