"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"TESLA’S PROBLEM: OVERESTIMATING","0","1","1","1","1","3","0","0","2","0","heading"
"AUTOMATION, UNDERESTIMATING HUMANS","0","1","1","1","1","3","0","1","1","0","heading"
"ELON MUSK'S TESLA HAS SERIOUS PRODUCTION PROBLEMS","0","1","0","1","1","7","0","2","2","0","heading"
"By IMD Professor Bettina Büchel, with Dario Floreano","0","1","0","1","2","8","0","0","2","0","heading"
"IMD","0","0","0","1","1","1","0","0","1","0","paragraph"
"Chemin de Bellerive 23","0","0","0","1","2","4","0","0","1","1","paragraph"
"PO Box 915,","0","0","0","1","2","3","0","0","1","1","paragraph"
"CH-1001 Lausanne","0","0","0","1","2","2","0","0","1","0","paragraph"
"Switzerland","0","0","0","1","2","1","0","0","1","0","paragraph"
"Tel: +41 21 618 01 11","0","0","0","1","2","6","0","0","0","0","paragraph"
"Fax: +41 21 618 07 07","0","0","0","1","2","6","0","0","1","1","paragraph"
"info@imd.org","0","0","0","1","0","1","0","0","0","0","paragraph"
"www.imd.org","0","0","0","1","0","1","0","0","1","0","paragraph"
"Copyright © 2006-2018 IMD - International Institute for Management Development. All rights, including copyright, pertaining","0","0","0","1","3","15","0","2","4","0","paragraph"
"to the content of this website/publication/document are owned or controlled for these purposes by IMD, except when expressly","0","0","0","1","3","18","0","2","4","0","paragraph"
"stated otherwise. None of the materials provided on/in this website/publication/document may be used, reproduced or","0","0","0","1","3","15","0","5","3","0","paragraph"
"transmitted, in whole or in part, in any form or by any means, electronic or mechanical, including photocopying, recording or","0","0","0","1","0","20","0","2","5","0","paragraph"
"the use of any information storage and retrieval system, without permission in writing from IMD. To request such permission","0","0","0","1","3","19","0","2","6","0","paragraph"
"and for further inquiries, please contact IMD at pressroom@imd.org. Where it is stated that copyright to any part of the IMD","0","0","0","0","3","21","0","2","6","0","paragraph"
"website/publication/document is held by a third party, requests for permission to copy, modify, translate, publish or otherwise","0","0","0","1","0","17","0","4","3","0","paragraph"
"make available such part must be addressed directly to the third party concerned.","0","0","0","1","0","13","0","4","2","0","paragraph"
"TESLA’S PROBLEM: OVERESTIMATING AUTOMATION, UNDERESTIMATING HUMANS | Elon Musk's Tesla has serious","0","0","0","1","3","12","0","1","3","0","paragraph"
"production problems","0","0","0","1","0","2","0","0","1","0","paragraph"
"Tesla was hoping to produce 5,000 new Model 3 electric cars each week in 2018. So far, it has","0","0","0","1","3","19","0","2","3","1","paragraph"
"failed to manufacture even half that number. Questioned on the matter, the company’s CEO, Elon","0","0","0","0","3","15","0","3","4","1","paragraph"
"Musk, claimed that “excessive automation was a mistake” and that “humans are underrated”.","0","0","0","0","3","13","0","1","4","0","paragraph"
"He’s not wrong – the recent drive for full automation has overlooked the importance of adaptability.","0","0","0","1","3","16","0","2","5","0","paragraph"
"Humans are still far more able to adapt to change than artificial intelligence (AI). In the long-term, AI","0","0","0","1","3","18","0","1","5","0","paragraph"
"has the potential to replace human workers, but for now leaders need to determine the right speed","0","0","0","1","0","17","0","3","4","0","paragraph"
"of change.","0","0","0","1","0","2","0","0","1","0","paragraph"
"The Tesla factory in Silicon Valley is highly automated. Early on, Musk understood that any process","0","0","0","1","3","16","0","2","4","0","paragraph"
"following a sequence of predefined steps and taking place on a fairly controlled environment, such","0","0","0","1","0","15","0","3","4","0","paragraph"
"as a factory floor, could be automated by artificial intelligence and robots. And this is something he","0","0","0","1","3","17","0","2","4","0","paragraph"
"should be credited for.","0","0","0","1","0","4","0","2","0","0","paragraph"
"But while autonomous systems are developing rapidly, humans remain far better at adapting to","0","0","0","1","3","14","0","3","2","0","paragraph"
"unforeseen changes. When it comes to complex factory work, this is something that should not be","0","0","0","1","3","16","0","2","4","0","paragraph"
"underestimated. Looking back on Tesla’s productivity issues, Musk undoubtedly missed the","0","0","0","1","3","11","0","3","2","0","paragraph"
"importance of adaptability in manufacturing. The probability of small errors and unforeseen","0","0","0","1","3","12","0","0","5","0","paragraph"
"situations is proportional to the complexity of the process, especially when the process takes place","0","0","0","1","0","15","0","1","5","0","paragraph"
"in the physical world.","0","0","0","1","0","4","0","0","1","0","paragraph"
"Adaptive intelligence","1","0","0","1","3","2","0","0","1","0","heading"
"Humans and other forms of intelligent life evolved to survive in a constantly changing world. For this","0","0","0","1","3","17","0","3","4","0","paragraph"
"reason, they can cope remarkably well with unforeseen situations and discrepancies between","0","0","0","1","0","12","0","2","3","0","paragraph"
"expected and actual events. As cognitive scientist Gary Marcus emphasises, there are a lot of","0","0","0","0","3","15","0","2","3","0","paragraph"
"things “that go into human intelligence, like our ability to attend to the right things at the same time,","0","0","0","1","0","19","0","2","5","0","paragraph"
"to reason about them to build models of what’s going on in order to anticipate what might happen","0","0","0","1","0","18","0","7","5","0","paragraph"
"next and so forth.”","0","0","0","1","0","4","0","0","0","0","paragraph"
"Humans and animals can also adapt their bodies to radically different situations in order to achieve","0","0","0","1","3","16","0","3","5","0","paragraph"
"their goals. For example, we can move forward by walking, swimming, jumping, climbing and","0","0","0","1","3","14","0","4","5","0","paragraph"
"crawling – and we can do so even if we lose the use of a limb. These dynamic aspects of biological","0","0","0","1","3","21","0","3","5","0","paragraph"
"systems help them cope with radical change under highly complex situations.","0","0","0","1","0","11","0","2","4","0","paragraph"
"Machine learning, on the other hand, is not yet at the level of human intelligence and adaptability.","0","0","0","1","3","17","0","0","5","0","paragraph"
"Sure, we have made great progress. Today, advanced AI algorithms, inspired by nervous systems,","0","0","0","1","3","14","0","3","4","0","paragraph"
"can learn to recognise similar situations like a traffic light turning red or a ball falling on the street","0","0","0","1","0","19","0","5","5","0","paragraph"
"even better than humans. Developments in robotics also mean that new robots made of soft","0","0","1","0","3","15","0","2","3","0","paragraph"
"materials can physically adapt to unforeseen objects in the physical environment. But in both cases,","0","0","0","0","3","15","0","2","4","0","paragraph"
"adaptability is limited to variations within a restricted category of objects or events.","0","0","0","1","0","13","0","1","5","0","paragraph"
"The truth is that we have not yet mastered the design of robots and AI that are resilient enough to","0","0","0","1","3","20","0","1","5","0","paragraph"
"respond to unpredictable environments. Take the example of robots used in the packaging industry.","0","0","0","0","3","14","0","3","4","0","paragraph"
"Automated guided vehicles with limited on-board intelligence can only follow simple programming","0","0","0","1","3","12","0","4","3","0","paragraph"
"instructions taking them along fixed routes in a defined environment. These robots might be able to","0","0","0","1","3","16","0","4","5","0","paragraph"
"pick up a product and place it into a carton, without the ability to do anything more complex. When","0","0","0","1","3","19","0","2","5","0","paragraph"
"the job changes, the robot will have to be replaced.","0","0","0","1","0","10","0","2","1","0","paragraph"
"More complex mobile robots are also in use. They have built-in sensors and scanners, as well as","0","0","0","1","3","17","0","1","5","0","paragraph"
"software that allows them to detect their surroundings and choose the most efficient route so that a","0","0","0","1","0","17","0","3","4","0","paragraph"
"product is not necessarily placed in the same location every time. These more complex robots are","0","0","0","1","3","16","0","1","3","0","paragraph"
"more flexible and adaptable, but they are still quite far away from what biological systems can do.","0","0","0","1","0","17","0","1","3","0","paragraph"
"IMD – www.imd.org","0","0","0","0","3","3","0","0","2","0","paragraph"
"Page 2/3","0","0","0","1","2","2","0","0","1","1","paragraph"
"TESLA’S PROBLEM: OVERESTIMATING AUTOMATION, UNDERESTIMATING HUMANS | Elon Musk's Tesla has serious","0","0","0","1","3","12","0","1","3","0","paragraph"
"production problems","0","0","0","1","0","2","0","0","1","0","paragraph"
"This could be a problem for overly automated factories where small physical discrepancies (a","0","0","0","1","3","14","0","2","2","0","paragraph"
"broken wheel, wear and tear on the ground, imprecisely positioned parts) can rapidly accumulate","0","0","0","1","0","14","0","4","4","0","paragraph"
"and result in unpredictable situations (a component is not where it should be, a robot is missing).","0","0","0","1","0","17","0","3","4","0","paragraph"
"When a process changes or the factory starts making a new product, then there is a need to","0","0","0","1","3","18","0","3","3","0","paragraph"
"reconfigure the equipment and find a different solution. This is not yet entirely within reach of AI and","0","0","0","1","3","18","0","2","4","0","paragraph"
"robotics.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Full automation","1","0","0","1","3","2","0","0","1","0","heading"
"Musk has publicly noted his desire to create a fully autonomous factory. His underlying goal is to","0","0","0","0","3","17","0","3","4","0","paragraph"
"overcome the limits of human speed. With greater speed, higher outputs can be achieved. But in","0","0","0","1","3","16","0","3","4","0","paragraph"
"complex environments, such as a highly automated factory, there is a need for highly adaptable","0","0","0","1","0","15","0","1","3","0","paragraph"
"robots that can respond to unforeseen situations and to each other like biological systems do.","0","0","0","1","0","15","0","2","3","0","paragraph"
"Introducing that sort of biological resilience in robotics and AI requires further research.","0","0","0","1","3","13","0","2","5","0","paragraph"
"The first involves testing robotic automation within a defined set of processes, such as picking raw","0","0","0","1","3","16","0","4","3","0","paragraph"
"material and placing it on the assembly line. The second involves expanding that test to multiple","0","0","0","1","3","16","0","3","4","0","paragraph"
"functions and processes, such as combining the raw material and packaging the product. The third","0","0","0","1","3","15","0","2","4","0","paragraph"
"stage is to deploy robotic co-workers and adaptive AI as human assistants. Today, this is the best","0","0","0","1","3","17","0","1","4","0","paragraph"
"we can aim for.","0","0","0","1","0","4","0","2","1","0","paragraph"
"It is not yet clear when we will have the technology for full automation without human intervention","0","0","0","1","3","17","0","1","5","0","paragraph"
"(stage four) and what form it will take but Musk should be praised for trying. He may have","0","0","0","1","3","18","0","6","5","1","paragraph"
"underestimated humans but what he is learning is precious and will help him to drive ahead of","0","0","0","1","0","17","0","4","4","0","paragraph"
"others in the future.","0","0","0","1","0","4","0","0","2","0","paragraph"
"Bettina Büchel is Professor of Strategy and Organization at IMD.","0","0","0","0","2","10","0","0","5","0","paragraph"
"Dario Floreano is Professor of Robotics and A.I., EPFL- École Polytechnique Fédérale de Lausanne","0","0","0","1","3","14","0","0","3","0","paragraph"
"Swiss Federal Institute of Technology in Lausanne","0","0","0","1","2","7","0","0","3","0","paragraph"
"IMD and EPFL jointly run TransformTECH, to help participants use new technology in their business","0","0","0","0","3","15","0","3","5","0","paragraph"
"transformations.","0","0","0","1","0","1","0","0","1","0","paragraph"
"This article was originally published in The Conversation.","0","0","0","0","3","8","0","1","2","0","paragraph"
"IMD – www.imd.org","0","0","0","0","3","3","0","0","2","0","paragraph"
"Page 3/3","0","0","0","1","2","2","0","0","1","0","paragraph"
