"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"2525 AXB Kidd Home from Home Policy.qxp:AvD 29/12/2011 15:16 Page 15","0","0","0","1","2","11","0","0","4","0","paragraph"
"If any part of this exclusion is not valid or cannot be enforced, the other parts","0","0","0","1","3","16","0","2","2","0","paragraph"
"will still be effective.","0","0","0","1","0","4","0","1","0","0","paragraph"
"4 Excess","1","0","0","1","2","2","0","0","1","1","heading"
"We will not pay the first €350 of any claim (unless otherwise shown in the","0","0","0","1","3","15","0","3","2","0","paragraph"
"policy or schedule).","0","0","0","1","0","3","0","0","2","0","paragraph"
"We will not pay for the first €5,000 of any claim for subsidence, landslip or","0","0","0","1","3","15","0","2","4","0","paragraph"
"ground heave.","0","0","0","1","0","2","0","0","1","0","paragraph"
"Claims for water escaping from , or frost damage, to a fixed water, drainage or","0","0","0","1","3","15","0","2","5","0","paragraph"
"heating installation, washing machine, dish washer, fridge freezer, waterbed or","0","0","0","1","0","10","0","1","4","0","paragraph"
"fish tank are subject to a €1,000 excess.","0","0","0","1","0","8","0","0","2","0","paragraph"
"5 Date change exclusion","1","0","0","1","3","4","0","0","1","1","heading"
"We will not pay for any loss of or damage to any computer equipment,","0","0","0","1","3","14","0","2","4","0","paragraph"
"software or microchip-controlled electrical appliance you own or control, or","0","0","0","1","0","10","0","2","3","0","paragraph"
"for any data lost from any computer, software, database or similar equipment,","0","0","0","1","0","12","0","1","5","0","paragraph"
"caused by or arising from that equipment failing to treat any calendar date as","0","0","0","1","0","14","0","4","2","0","paragraph"
"the correct date.","0","0","0","1","0","3","0","0","1","0","paragraph"
"6 Risks to computers","1","0","0","1","3","4","0","0","2","1","heading"
"This policy does not apply to liability, loss, damage, costs or expense directly","0","0","0","1","3","13","0","1","6","0","paragraph"
"or indirectly caused by or in connection with:","0","0","0","1","0","8","0","1","1","0","paragraph"
"a the loss or alteration of or damage to; or","0","0","0","1","0","10","0","1","2","0","paragraph"
"b a reduction in how a system works of","0","0","0","1","0","9","0","1","2","0","paragraph"
"a computer system, hardware programme, software, data-information","0","0","0","1","0","7","0","0","4","0","paragraph"
"store, microchip, integrated circuit or similar device in computer equipment","0","0","0","1","0","10","0","0","5","0","paragraph"
"or non-computer equipment that results from deliberately or negligently","0","0","0","1","0","9","0","1","1","0","paragraph"
"transferring (electronic or otherwise) a computer programme that contains","0","0","0","1","0","9","0","1","1","0","paragraph"
"any damaging code including computer viruses, worms, logic bombs,","0","0","0","1","0","9","0","1","4","0","paragraph"
"or trojan horses.","0","0","0","1","0","3","0","0","1","0","paragraph"
"7 Wear and Tear","1","0","0","1","2","4","0","0","2","0","heading"
"Your policy is intended to cover you against unforeseen events like fire or theft.","0","0","0","1","3","14","0","2","5","0","paragraph"
"It does not cover wear and tear or damage that occurs gradually over time.","0","0","0","1","3","14","0","2","5","0","paragraph"
"[ 15 ]","0","0","0","1","2","3","0","0","0","1","paragraph"
