"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Training Certification","1","1","0","1","2","2","0","1","1","0","heading"
"Brochure Of The EBX Development Bronze Certification For Individuals","1","1","0","1","2","9","0","0","3","0","paragraph"
"Objectives","1","0","0","1","2","1","0","0","1","0","heading"
"Test","1","0","0","1","2","1","0","0","1","0","heading"
"Customers using the EBX product often need the services of","0","0","0","1","3","10","0","2","3","0","paragraph"
"partners of TIBCO Software to build their EBX applications.","0","0","0","1","3","9","0","1","3","0","paragraph"
"This brochure describes a certification intended to let:","0","0","0","1","3","8","0","3","2","0","paragraph"
"A customer trust selected knowledge and skills of a partner,","0","0","0","1","3","10","0","1","4","0","paragraph"
"A partner highlight selected knowledge and skills to a customer.","0","0","0","1","3","10","0","1","4","0","paragraph"
"This certification can be taken by an employee of a partner,","0","0","0","1","3","11","0","2","3","0","paragraph"
"willing to be candidate.","0","0","0","1","0","4","0","0","0","0","paragraph"
"The selected knowledge and skills span, at elementary level,","0","0","0","1","3","9","0","2","2","0","paragraph"
"the content domain of the EBX Development training.","0","0","0","1","3","8","0","0","2","0","paragraph"
"Candidates","1","0","0","1","2","1","0","0","1","0","heading"
"This certification is intended mainly for these candidate profiles:","0","0","0","1","3","9","0","1","2","0","paragraph"
"Developers","0","0","0","1","2","1","0","0","1","0","paragraph"
"Architects","0","0","0","1","2","1","0","0","1","0","paragraph"
"Project managers","0","0","0","1","3","2","0","0","1","0","paragraph"
"Prerequisites","1","0","0","1","2","1","0","0","1","0","heading"
"To take this certification, a candidate is required to have passed:","0","0","0","1","3","11","0","3","2","0","paragraph"
"The EBX Foundations Bronze certification.","0","0","0","1","3","5","0","0","1","0","paragraph"
"Process","1","0","0","1","2","1","0","0","1","0","heading"
"To take this certification, a candidate has to follow these steps:","0","0","0","1","3","11","0","2","3","0","paragraph"
"Browsing the certification website for information.","0","0","0","1","3","6","0","1","2","0","paragraph"
"Selecting a test date and location in the website calendar.","0","0","0","1","3","10","0","1","3","0","paragraph"
"Registering for this test using the website registration form.","0","0","0","1","3","9","0","2","2","0","paragraph"
"Preparing thoroughly the test in the entire content domain.","0","0","0","1","3","9","0","1","2","0","paragraph"
"Taking the test at the chosen date and location.","0","0","0","1","3","9","0","2","3","0","paragraph"
"Receiving the test result within 1 week following the test.","0","0","0","1","3","10","0","2","3","0","paragraph"
"If passed, receiving the certificate attached to the test result.","0","0","0","1","3","10","0","3","2","0","paragraph"
"If failed, retaking a test after a delay of at least 1 month.","0","0","0","1","3","13","0","2","3","0","paragraph"
"Preparation","1","0","0","1","2","1","0","0","1","0","heading"
"To prepare a test, a candidate is recommended these actions:","0","0","0","1","3","10","0","2","3","0","paragraph"
"Attending the EBX Development training,","0","0","0","1","3","5","0","1","1","0","paragraph"
"Studying the training material in the entire content domain,","0","0","0","1","3","9","0","1","2","0","paragraph"
"Using the product in the content domain,","0","0","0","1","3","7","0","1","2","0","paragraph"
"Studying the product documentation in the content domain.","0","0","0","1","3","8","0","1","2","0","paragraph"
"A test has this format:","0","0","0","1","3","5","0","0","2","0","paragraph"
"The form is multiple choice.","0","0","0","1","3","5","0","0","2","0","paragraph"
