"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Trace-based Just-in-Time Type Specialization for Dynamic","0","1","0","1","2","6","0","1","2","0","heading"
"Languages","0","1","0","1","2","1","0","0","1","0","heading"
"Andreas Gal∗+, Brendan Eich∗, Mike Shaver∗, David Anderson∗, David Mandelin∗,","0","1","0","1","2","10","0","0","2","0","paragraph"
"Mohammad R. Haghighat$, Blake Kaplan∗, Graydon Hoare∗, Boris Zbarsky∗, Jason Orendorff∗,","0","1","0","1","2","11","0","0","5","0","paragraph"
"Jesse Ruderman∗, Edwin Smith#, Rick Reitmaier#, Michael Bebenita+, Mason Chang+#, Michael Franz+","0","1","0","1","2","12","0","0","5","0","paragraph"
"Mozilla Corporation∗","0","0","0","1","2","2","0","0","1","0","paragraph"
"{gal,brendan,shaver,danderson,dmandelin,mrbkap,graydon,bz,jorendorff,jruderman}@mozilla.com","0","0","0","1","0","1","0","0","1","0","paragraph"
"Adobe Corporation#","0","0","0","1","2","2","0","0","2","0","paragraph"
"{edwsmith,rreitmai}@adobe.com","0","0","0","1","0","1","0","0","0","0","paragraph"
"Intel Corporation$","0","0","0","1","2","2","0","0","1","0","paragraph"
"{mohammad.r.haghighat}@intel.com","0","0","0","1","0","1","0","0","1","0","paragraph"
"University of California, Irvine+","0","0","0","1","2","4","0","0","2","0","paragraph"
"{mbebenit,changm,franz}@uci.edu","0","0","0","1","0","1","0","0","1","0","paragraph"
"Abstract","0","1","0","1","2","1","0","0","1","0","heading"
"Dynamic languages such as JavaScript are more difﬁcult to com-","0","0","0","1","3","10","0","0","3","0","paragraph"
"pile than statically typed ones. Since no concrete type information","0","0","0","1","3","10","0","1","3","0","paragraph"
"isavailable,traditionalcompilersneedtoemitgenericcodethatcan","0","0","0","1","0","1","0","0","0","0","paragraph"
"handle all possible type combinations at runtime. We present an al-","0","0","0","1","3","11","0","2","3","0","paragraph"
"ternative compilation technique for dynamically-typed languages","0","0","0","1","0","6","0","1","2","0","paragraph"
"that identiﬁes frequently executed loop traces at run-time and then","0","0","0","1","0","10","0","1","3","0","paragraph"
"generates machine code on the ﬂy that is specialized for the ac-","0","0","0","1","0","12","0","1","4","0","paragraph"
"tual dynamic types occurring on each path through the loop. Our","0","0","0","1","3","11","0","1","3","0","paragraph"
"method provides cheap inter-procedural type specialization, and an","0","0","0","1","0","8","0","1","2","0","paragraph"
"elegant and efﬁcient way of incrementally compiling lazily discov-","0","0","0","1","0","9","0","1","1","0","paragraph"
"ered alternative paths through nested loops. We have implemented","0","0","0","1","3","9","0","2","3","0","paragraph"
"a dynamic compiler for JavaScript based on our technique and we","0","0","0","1","3","11","0","1","4","0","paragraph"
"have measured speedups of 10x and more for certain benchmark","0","0","0","1","0","10","0","1","3","0","paragraph"
