"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"Great Lakes region, south Florida, central Ontario, and coastal regions of Georgia, South Carolina and","0","0","0","1","3","15","0","0","6","0","paragraph"
"North Carolina.","0","0","0","1","2","2","0","0","1","0","paragraph"
"The scope of the present Report was intended to be national in scale. It was determined,","0","0","0","1","3","16","0","2","4","0","paragraph"
"therefore, that any effort to assess the risk of mercury to a given species living in a defined location","0","0","0","1","0","19","0","4","4","0","paragraph"
"would be inappropriate. Instead, an effort was made to compare mercury exposure and effects in a","0","0","0","1","3","16","0","3","3","0","paragraph"
"general way using data collected from throughout the country and, in so doing, to develop qualitative","0","0","0","1","0","16","0","4","3","0","paragraph"
"statements about risk.","0","0","0","1","0","3","0","0","2","0","paragraph"
"Consistent with this broader-scale approach, an effort was made to derive a wildlife criterion","0","0","0","1","3","14","0","2","3","0","paragraph"
"(WC) value for mercury that is protective of piscivorous wildlife. This WC is defined as the","0","0","0","1","3","16","0","1","4","0","paragraph"
"concentration of mercury in water that, if not exceeded, protects avian and mammalian wildlife","0","0","0","1","0","14","0","2","4","0","paragraph"
"populations from adverse effects resulting from ingestion of surface waters and from ingestion of aquatic","0","0","0","1","0","15","0","1","5","0","paragraph"
"life taken from these surface waters. The health of wildlife populations may, therefore, be considered the","0","0","0","1","3","16","0","3","4","0","paragraph"
"assessment endpoint of concern. Although not generally derived for the purpose of ecological risk","0","0","0","1","3","14","0","1","4","0","paragraph"
"assessment, WC values incorporate the same type of exposure and effects information used in more","0","0","0","1","3","15","0","2","3","0","paragraph"
"standard approaches. Such calculations also provide for a simple assessment of risk in any given","0","0","0","1","3","15","0","2","4","0","paragraph"
"situation; that is, by determining whether the concentration of mercury in water exceeds the criterion","0","0","0","1","0","15","0","2","5","0","paragraph"
"value.","0","0","0","1","0","1","0","0","1","0","paragraph"
"The principal factors used to select wildlife species for WC development were: (1) exposure to","0","0","0","1","3","15","0","2","4","1","paragraph"
"bioaccumulative contaminants; (2) species distributions; (3) availability of information with which to","0","0","0","1","0","12","0","0","4","2","paragraph"
"calculate criterion values; and (4) evidence for bioaccumulation and/or adverse effects. All of the species","0","0","0","1","3","15","0","0","6","1","paragraph"
"selected feed on or near the top of aquatic food webs. The avian species selected were the bald eagle","0","0","0","1","3","19","0","2","5","0","paragraph"
"(Haliaeetus leucocephalus), osprey (Pandion haliaetus), common loon (Gavia immer) and belted","0","0","0","0","3","11","0","2","3","0","paragraph"
"kingfisher (Ceryle alcyon).","0","0","0","0","3","3","0","0","2","0","paragraph"
"otter (Lutra canadensis).","0","0","0","0","3","3","0","0","2","0","paragraph"
"The mammalian species selected were the mink (Mustela vison) and river","0","0","0","0","3","11","0","1","4","0","paragraph"
"Because this assessment depends to a large extent on the assignment of BAFs for mercury in fish","0","0","0","1","3","17","0","1","6","0","paragraph"
"at trophic levels 3 and 4, an effort was made to review published field data from which these BAFs could","0","0","0","1","3","20","0","4","4","2","paragraph"
